# element_ind cluster_ind center? dist
    0 0 0     0.025
    1 0 0     0.026
    2 0 0     0.026
    3 0 0     0.027
    4 0 0     0.028
    5 0 0     0.028
    6 0 0     0.028
    7 0 0     0.028
    8 0 0     0.028
    9 0 0     0.027
   10 0 0     0.028
   11 0 0     0.028
   12 0 0     0.027
   13 0 0     0.028
   14 0 0     0.027
   15 0 0     0.027
   16 0 0     0.028
   17 0 0     0.028
   18 0 0     0.030
   19 0 0     0.029
   20 0 0     0.028
   21 0 0     0.026
   22 0 0     0.028
   23 0 0     0.028
   24 0 0     0.029
   25 0 0     0.028
   26 0 0     0.028
   27 0 0     0.027
   28 0 0     0.026
   29 0 0     0.027
   30 0 0     0.027
   31 0 0     0.028
   32 0 0     0.026
   33 0 0     0.027
   34 0 0     0.028
   35 0 0     0.027
   36 0 0     0.027
   37 0 0     0.027
   38 0 0     0.027
   39 0 0     0.027
   40 0 0     0.028
   41 0 0     0.026
   42 0 0     0.027
   43 0 0     0.028
   44 0 0     0.028
   45 0 0     0.026
   46 0 0     0.026
   47 0 0     0.027
   48 0 0     0.027
   49 0 0     0.028
   50 0 0     0.027
   51 0 0     0.025
   52 0 0     0.025
   53 0 0     0.027
   54 0 0     0.026
   55 0 0     0.024
   56 0 0     0.026
   57 0 0     0.025
   58 0 0     0.026
   59 0 0     0.024
   60 0 0     0.023
   61 0 0     0.024
   62 0 0     0.024
   63 0 0     0.024
   64 0 0     0.024
   65 0 0     0.024
   66 0 0     0.023
   67 0 0     0.023
   68 0 0     0.022
   69 0 0     0.024
   70 0 0     0.022
   71 0 0     0.023
   72 0 0     0.024
   73 0 0     0.022
   74 0 0     0.024
   75 0 0     0.023
   76 0 0     0.022
   77 0 0     0.024
   78 0 0     0.024
   79 0 0     0.022
   80 0 0     0.024
   81 0 0     0.023
   82 0 0     0.023
   83 0 0     0.025
   84 0 0     0.024
   85 0 0     0.024
   86 0 0     0.025
   87 0 0     0.022
   88 0 0     0.023
   89 0 0     0.023
   90 0 0     0.023
   91 0 0     0.023
   92 0 0     0.024
   93 0 0     0.024
   94 0 0     0.023
   95 0 0     0.022
   96 0 0     0.021
   97 0 0     0.022
   98 0 0     0.023
   99 0 0     0.023
  100 0 0     0.023
  101 0 0     0.021
  102 0 0     0.022
  103 0 0     0.022
  104 0 0     0.022
  105 0 0     0.022
  106 0 0     0.022
  107 0 0     0.020
  108 0 0     0.020
  109 0 0     0.020
  110 0 0     0.020
  111 0 0     0.019
  112 0 0     0.017
  113 0 1     0.000
  114 0 0     0.019
  115 0 0     0.019
  116 0 0     0.020
  117 0 0     0.020
  118 0 0     0.020
  119 0 0     0.020
  120 0 0     0.021
  121 0 0     0.021
  122 0 0     0.021
  123 0 0     0.023
  124 0 0     0.022
  125 0 0     0.024
  126 0 0     0.022
  127 0 0     0.023
  128 0 0     0.023
  129 0 0     0.022
  130 0 0     0.023
  131 0 0     0.023
  132 0 0     0.022
  133 0 0     0.024
  134 0 0     0.025
  135 0 0     0.024
  136 0 0     0.024
  137 0 0     0.023
  138 0 0     0.023
  139 0 0     0.025
  140 0 0     0.025
  141 0 0     0.024
  142 0 0     0.023
  143 0 0     0.024
  144 0 0     0.025
  145 0 0     0.027
  146 0 0     0.027
  147 0 0     0.024
  148 0 0     0.024
  149 0 0     0.024
  150 0 0     0.024
  151 0 0     0.025
  152 0 0     0.024
  153 0 0     0.024
  154 0 0     0.024
  155 0 0     0.024
  156 0 0     0.023
  157 0 0     0.022
  158 0 0     0.022
  159 0 0     0.022
  160 0 0     0.024
  161 0 0     0.023
  162 0 0     0.023
  163 0 0     0.024
  164 0 0     0.023
  165 0 0     0.023
  166 0 0     0.021
  167 0 0     0.024
  168 0 0     0.024
  169 0 0     0.024
  170 0 0     0.024
  171 0 0     0.022
  172 0 0     0.023
  173 0 0     0.023
  174 0 0     0.023
  175 0 0     0.025
  176 0 0     0.025
  177 0 0     0.024
  178 0 0     0.023
  179 0 0     0.024
  180 0 0     0.025
  181 0 0     0.026
  182 0 0     0.026
  183 0 0     0.025
  184 0 0     0.027
  185 0 0     0.026
  186 0 0     0.025
  187 1 0     0.032
  188 1 0     0.032
  189 1 0     0.032
  190 1 0     0.032
  191 1 0     0.033
  192 1 0     0.032
  193 1 0     0.031
  194 1 0     0.032
  195 1 0     0.031
  196 1 0     0.033
  197 1 0     0.031
  198 1 0     0.031
  199 1 0     0.031
  200 1 0     0.034
  201 1 0     0.032
  202 1 0     0.031
  203 1 0     0.032
  204 1 0     0.031
  205 1 0     0.030
  206 1 0     0.031
  207 1 0     0.029
  208 1 0     0.029
  209 1 0     0.030
  210 1 0     0.029
  211 1 0     0.029
  212 1 0     0.030
  213 1 0     0.030
  214 1 0     0.030
  215 1 0     0.029
  216 1 0     0.029
  217 1 0     0.029
  218 1 0     0.030
  219 1 0     0.030
  220 1 0     0.031
  221 1 0     0.032
  222 1 0     0.031
  223 1 0     0.031
  224 1 0     0.032
  225 1 0     0.032
  226 1 0     0.030
  227 1 0     0.030
  228 1 0     0.030
  229 1 0     0.029
  230 1 0     0.029
  231 1 0     0.031
  232 1 0     0.029
  233 1 0     0.030
  234 1 0     0.030
  235 1 0     0.029
  236 1 0     0.029
  237 1 0     0.029
  238 1 0     0.030
  239 1 0     0.030
  240 1 0     0.029
  241 1 0     0.029
  242 1 0     0.029
  243 1 0     0.029
  244 1 0     0.029
  245 1 0     0.028
  246 1 0     0.027
  247 1 0     0.027
  248 1 0     0.029
  249 1 0     0.027
  250 1 0     0.028
  251 1 0     0.028
  252 1 0     0.028
  253 1 0     0.028
  254 1 0     0.027
  255 1 0     0.026
  256 1 0     0.027
  257 1 0     0.026
  258 1 0     0.027
  259 1 0     0.027
  260 1 0     0.027
  261 1 0     0.027
  262 1 0     0.027
  263 1 0     0.028
  264 1 0     0.028
  265 1 0     0.027
  266 1 0     0.027
  267 1 0     0.025
  268 1 0     0.027
  269 1 0     0.027
  270 1 0     0.026
  271 1 0     0.027
  272 1 0     0.026
  273 1 0     0.026
  274 1 0     0.026
  275 1 0     0.026
  276 1 0     0.026
  277 1 0     0.026
  278 1 0     0.026
  279 1 0     0.025
  280 1 0     0.026
  281 1 0     0.027
  282 1 0     0.029
  283 1 0     0.027
  284 1 0     0.027
  285 1 0     0.027
  286 1 0     0.026
  287 1 0     0.026
  288 1 0     0.027
  289 1 0     0.027
  290 1 0     0.026
  291 1 0     0.027
  292 1 0     0.026
  293 1 0     0.025
  294 1 0     0.026
  295 1 0     0.025
  296 1 0     0.026
  297 1 0     0.025
  298 1 0     0.025
  299 1 0     0.026
  300 1 0     0.026
  301 1 0     0.026
  302 1 0     0.027
  303 1 0     0.026
  304 1 0     0.025
  305 1 0     0.026
  306 1 0     0.026
  307 1 0     0.025
  308 1 0     0.025
  309 1 0     0.025
  310 1 0     0.024
  311 1 0     0.024
  312 1 0     0.025
  313 1 0     0.025
  314 1 0     0.024
  315 1 0     0.024
  316 1 0     0.023
  317 1 0     0.025
  318 1 0     0.024
  319 1 0     0.024
  320 1 0     0.024
  321 1 0     0.024
  322 1 0     0.024
  323 1 0     0.024
  324 1 0     0.024
  325 1 0     0.023
  326 1 0     0.022
  327 1 0     0.023
  328 1 0     0.023
  329 1 0     0.023
  330 1 0     0.022
  331 1 0     0.022
  332 1 0     0.022
  333 1 0     0.021
  334 1 1     0.000
  335 1 0     0.021
  336 1 0     0.021
  337 1 0     0.022
  338 1 0     0.022
  339 1 0     0.023
  340 1 0     0.023
  341 1 0     0.025
  342 1 0     0.024
  343 1 0     0.024
  344 1 0     0.025
  345 1 0     0.024
  346 1 0     0.024
  347 1 0     0.023
  348 1 0     0.024
  349 1 0     0.024
  350 1 0     0.023
  351 1 0     0.025
  352 1 0     0.025
  353 1 0     0.025
  354 1 0     0.024
  355 1 0     0.024
  356 1 0     0.024
  357 1 0     0.023
  358 1 0     0.024
  359 1 0     0.024
  360 1 0     0.023
  361 1 0     0.025
  362 1 0     0.025
  363 1 0     0.024
  364 1 0     0.023
  365 1 0     0.025
  366 1 0     0.024
  367 1 0     0.025
  368 1 0     0.024
  369 1 0     0.023
  370 1 0     0.024
  371 1 0     0.025
  372 1 0     0.024
  373 1 0     0.024
  374 1 0     0.025
  375 1 0     0.025
  376 1 0     0.025
  377 1 0     0.025
  378 1 0     0.024
  379 1 0     0.025
  380 1 0     0.025
  381 1 0     0.025
  382 1 0     0.026
  383 1 0     0.025
  384 1 0     0.025
  385 1 0     0.025
  386 1 0     0.027
  387 1 0     0.026
  388 1 0     0.027
  389 1 0     0.027
  390 1 0     0.027
  391 1 0     0.028
  392 1 0     0.027
  393 1 0     0.027
  394 1 0     0.027
  395 1 0     0.026
  396 1 0     0.028
  397 1 0     0.027
  398 1 0     0.028
  399 1 0     0.029
  400 1 0     0.028
  401 1 0     0.029
  402 1 0     0.027
  403 1 0     0.027
  404 1 0     0.027
  405 1 0     0.029
  406 1 0     0.028
  407 1 0     0.028
  408 1 0     0.028
  409 1 0     0.028
  410 1 0     0.028
  411 1 0     0.029
  412 1 0     0.029
  413 1 0     0.029
  414 1 0     0.029
  415 1 0     0.030
  416 1 0     0.030
  417 1 0     0.029
  418 1 0     0.028
  419 1 0     0.028
  420 1 0     0.028
  421 1 0     0.028
  422 1 0     0.028
  423 1 0     0.027
  424 1 0     0.028
  425 1 0     0.027
  426 1 0     0.027
  427 1 0     0.028
  428 1 0     0.029
  429 1 0     0.028
  430 1 0     0.028
  431 1 0     0.030
  432 1 0     0.030
  433 1 0     0.030
  434 1 0     0.031
  435 1 0     0.030
  436 1 0     0.031
  437 1 0     0.030
  438 1 0     0.030
  439 1 0     0.029
  440 1 0     0.029
  441 1 0     0.029
  442 1 0     0.030
  443 1 0     0.028
  444 1 0     0.029
  445 1 0     0.029
  446 1 0     0.029
  447 1 0     0.029
  448 1 0     0.029
  449 1 0     0.030
  450 1 0     0.029
  451 1 0     0.030
  452 1 0     0.031
  453 1 0     0.030
  454 1 0     0.029
  455 1 0     0.029
  456 1 0     0.029
  457 1 0     0.030
  458 1 0     0.029
  459 1 0     0.030
  460 1 0     0.031
  461 1 0     0.029
  462 1 0     0.030
  463 1 0     0.031
  464 1 0     0.030
  465 1 0     0.030
  466 1 0     0.030
  467 1 0     0.030
  468 1 0     0.030
  469 1 0     0.031
  470 1 0     0.030
  471 1 0     0.029
  472 1 0     0.029
  473 1 0     0.029
  474 1 0     0.029
  475 1 0     0.029
