Tetrahedral	Seesaw	V-trigonal-bipyramid
0,848	9,358	2,358
0,658	8,771	2,418
0,687	8,114	1,827
0,663	8,334	2,319
0,55	8,001	2,097
1,041	7,969	1,841
0,558	8,604	3,163
0,71	7,793	1,429
0,984	8,367	2,461
0,418	8,737	2,425
0,485	8,178	2,479
0,576	7,298	2,62
0,584	8,538	2,811
0,725	8,441	1,689
0,553	8,25	2,493
0,514	8,453	2,052
0,655	8,941	2,092
0,806	7,83	1,86
0,785	7,513	1,88
0,453	8,48	2,956
0,753	7,975	2,558
0,825	8,339	1,645
0,608	8,842	2,114
0,843	8,424	1,697
0,575	8,234	1,719
1,422	7,038	1,27
0,387	8,3	2,649
0,313	8,708	3,135
0,65	7,559	2,324
0,93	7,436	1,586
0,377	8,547	2,566
0,46	8,496	2,145
0,556	8,148	2,839
0,777	8,204	1,567
1,04	7,863	1,929
0,316	9,428	3,421
0,717	8,228	2,691
0,499	7,554	2,03
0,793	8,759	2,187
0,972	8,093	1,964
0,454	9,017	2,577
0,539	8,509	2,301
0,887	8,17	2,478
0,24	8,589	2,438
0,59	8,787	2,481
0,698	8,163	2,425
1,016	6,642	2,031
0,772	8,136	1,735
0,887	7,702	2,652
0,563	9,251	2,641
0,867	8,441	1,92
0,718	7,175	2,209
1,034	7,167	2,706
0,62	8,268	2,787
0,478	9,011	2,644
0,481	8,67	3,014
0,711	8,901	2,729
1,077	8,062	2,727
0,524	8,469	2,29
0,549	8,77	2,432
1,006	7,161	1,843
0,581	8,082	2,24
0,668	7,419	3,033
0,456	8,376	2,46
0,885	7,867	1,566
1,04	8,635	2,524
0,738	8,335	2,356
0,586	8,51	2,377
0,645	8,28	2,508
0,946	7,453	1,966
0,95	7,941	2,774
0,83	8,024	1,697
1,684	5,682	1,586
0,552	7,886	2,667
1,14	7,885	1,75
0,761	8,573	2,276
0,549	7,948	2,478
0,831	8,166	1,936
0,425	7,929	2,583
0,386	9,189	2,895
0,427	8,57	3,213
0,829	8,257	2,351
0,615	8,808	2,208
0,673	8,508	2,466
0,562	8,462	2,45
0,517	7,575	2,607
0,991	8,611	1,926
0,989	7,62	1,834
0,452	8,094	3,001
1,058	7,738	1,614
1,104	7,024	1,81
0,603	8,707	2,419
1,226	7,025	1,685
0,593	8,307	2,405
0,783	7,766	1,833
0,766	8,801	2,275
0,738	8,466	2,061
1,08	7,394	2,655
0,649	7,526	2,336
0,887	6,835	2,273
0,513	8,28	2,464
0,547	9,108	2,27
0,541	7,814	2,599
1,071	7,53	2,101
0,558	8,799	2,126
0,454	9,086	3,031
0,834	8,742	2,247
0,966	6,721	2,13
0,773	8,431	1,955
0,677	8,379	2,353
0,71	9,008	2,51
0,575	8,289	2,039
0,778	7,505	2,713
0,551	6,562	2,275
0,573	8,024	1,987
0,652	8,282	1,906
0,981	8,332	1,27
0,754	8,282	2,629
0,66	8,979	2,256
0,41	9,226	2,56
1,059	6,983	2,329
1,208	7,231	1,824
0,425	8,665	2,848
0,807	8,278	2,135
1,159	8,442	2,557
0,603	7,855	2,165
0,775	7,945	1,505
0,871	7,306	1,482
0,521	8,418	2,655
0,604	7,08	2,443
0,558	8,578	1,816
0,887	7,072	1,945
0,501	8,741	2,917
0,517	8,9	2,764
0,659	7,649	2,074
0,706	7,458	2,655
0,93	7,719	2,926
0,783	6,959	2,649
0,516	8,89	2,957
0,597	8,442	2,141
0,82	9,261	2,424
0,743	8,53	2,189
0,871	7,646	2,184
0,216	9,161	3,214
0,798	8,377	1,997
0,414	7,657	3,449
0,921	8,493	1,584
0,819	7,736	2,095
0,627	7,815	2,118
1,136	8,144	2,529
0,454	8,107	2,183
0,833	6,901	2,428
0,887	8,307	1,649
0,532	8,553	1,938
0,294	8,263	2,207
0,966	8,129	2,008
0,507	7,835	2,897
0,526	8,536	2,165
1,002	8,381	1,836
0,744	8,374	2,253
1,074	6,613	1,838
0,809	7,541	1,862
0,926	7,851	2,732
0,651	8,708	2,427
0,369	8,921	3,161
0,872	7,902	2,132
0,536	8,772	2,65
0,622	7,577	2,8
0,525	8,451	2,517
0,932	7,758	1,706
0,526	8,036	2,794
1,269	7,669	3,153
0,527	8,336	2,923
0,457	8,914	2,499
0,355	9,165	2,697
0,492	8,613	3,023
0,823	7,922	3,053
0,556	8,817	2,673
0,41	8,97	3,0
0,557	8,542	2,177
0,615	7,541	2,355
0,563	8,917	2,201
0,724	8,393	2,23
0,707	7,285	2,096
0,533	8,617	3,266
0,989	6,881	3,057
0,676	8,545	1,975
1,074	8,484	1,824
0,408	8,276	2,854
0,719	7,139	1,979
0,862	8,322	1,536
0,419	9,102	2,259
1,159	6,799	2,339
0,326	8,909	2,628
0,957	8,336	2,21
1,429	7,302	1,442
0,822	7,022	2,205
0,512	8,626	2,499
1,181	7,575	3,076
0,802	8,272	1,609
1,265	5,565	2,885
0,469	8,512	2,548
0,709	8,206	2,905
0,938	7,495	2,239
0,508	8,69	2,189
0,727	8,759	3,28
0,516	8,317	2,211
0,608	7,971	2,37
0,814	7,432	2,123
0,468	8,747	2,614
0,33	8,438	3,16
0,58	8,528	2,565
0,66	7,42	2,281
0,879	7,852	2,537
1,041	8,203	1,676
0,911	7,414	2,292
0,51	8,44	2,559
0,55	8,336	2,386
0,9	6,694	3,313
0,491	8,855	2,986
0,634	7,961	3,186
0,997	8,233	2,958
0,428	7,89	2,146
1,095	6,026	2,686
0,279	8,99	2,664
0,694	8,41	1,906
0,729	7,728	3,162
0,593	7,915	2,326
0,911	6,512	2,018
0,993	7,033	2,553
0,844	8,652	2,045
0,878	7,893	3,042
0,427	7,491	1,945
0,468	9,378	2,968
0,531	7,069	2,365
0,331	8,85	2,469
0,763	8,768	2,425
1,037	7,169	1,887
0,988	7,592	1,519
0,761	8,103	2,667
0,67	8,736	1,805
0,446	8,091	2,402
0,524	8,713	2,208
0,615	8,213	3,445
0,699	6,915	2,626
0,694	7,663	1,732
0,591	8,327	1,816
0,828	8,271	2,411
0,685	8,137	1,932
1,403	6,786	3,008
0,995	6,476	2,038
0,577	7,982	3,129
0,57	8,136	2,626
0,908	7,229	1,985
0,379	9,146	2,753
0,298	7,911	2,812
0,394	8,572	2,683
0,822	7,524	3,203
0,896	7,8	2,008
0,479	8,243	3,464
0,643	9,374	2,562
0,301	8,913	3,16
1,059	6,583	1,444
0,289	8,267	2,733
0,53	9,331	3,235
0,491	8,128	2,709
0,444	8,123	3,174
1,051	7,733	2,558
0,479	9,181	2,687
0,774	7,547	2,11
0,502	8,318	2,379
0,907	7,486	2,38
0,864	7,152	2,759
1,065	7,266	1,767
0,529	8,407	2,064
0,598	9,157	2,551
0,441	8,235	2,687
0,347	8,873	2,972
0,607	8,305	2,089
1,001	8,103	1,577
0,328	9,227	3,155
1,028	7,957	1,64
1,017	7,263	2,295
0,813	8,151	2,025
0,782	7,925	2,459
0,488	8,004	3,184
0,752	8,552	1,794
0,363	7,971	2,569
0,592	8,407	1,869
0,839	6,863	2,469
0,549	8,338	2,402
0,532	8,95	2,288
0,822	7,89	2,687
0,46	8,506	2,723
0,657	8,417	1,971
0,67	8,311	2,528
0,394	8,976	2,588
0,812	8,772	2,663
0,81	7,122	2,756
0,289	8,641	2,996
0,995	7,732	2,819
0,141	9,237	3,256
0,795	8,536	2,122
0,759	7,232	1,732
0,744	7,518	2,28
0,4	9,17	2,788
0,766	7,792	1,948
0,563	8,192	2,594
0,323	8,142	2,792
0,686	7,348	2,985
0,438	8,461	2,544
0,438	8,489	2,296
0,972	7,681	1,659
0,251	8,353	2,523
1,386	5,91	2,676
0,466	8,237	2,373
0,805	8,882	2,696
0,73	7,491	2,338
0,589	7,462	2,261
0,697	7,109	2,109
0,745	8,549	2,146
0,366	8,65	2,744
0,69	7,914	2,092
0,532	8,5	2,364
0,48	8,692	2,272
0,537	8,374	1,605
0,6	8,15	2,237
0,538	7,669	2,478
0,656	7,883	2,62
0,638	8,972	2,115
0,656	7,758	2,729
0,442	7,112	2,521
0,586	8,748	2,54
0,568	8,553	2,293
0,67	8,434	2,339
0,763	8,212	2,617
0,937	6,548	3,654
0,826	7,42	1,715
0,566	8,467	2,353
1,638	6,713	0,975
1,001	8,435	1,837
0,61	7,444	2,669
0,605	8,534	2,884
0,439	9,061	2,51
0,638	7,608	2,517
0,698	8,43	2,943
0,805	7,784	2,396
0,4	8,998	2,491
0,519	8,295	2,683
0,408	8,392	2,363
0,564	8,638	1,889
0,591	8,295	2,875
0,537	8,572	2,385
0,571	8,849	2,44
0,42	8,774	2,665
0,374	9,219	2,811
0,468	8,35	2,537
0,508	8,245	2,946
0,715	7,999	2,254
0,536	8,128	2,277
0,326	8,271	2,489
0,559	7,783	3,206
0,436	9,023	2,902
0,479	8,382	2,238
0,524	8,369	2,437
0,542	8,803	2,805
0,965	7,372	2,112
0,431	8,573	2,197
0,735	9,039	2,275
1,117	6,347	2,084
0,545	7,852	2,377
0,897	6,484	2,149
0,714	8,19	1,889
0,677	7,958	3,278
0,395	9,017	2,761
0,413	8,429	2,288
0,611	8,953	2,547
0,382	8,759	3,188
0,339	8,158	3,195
0,511	8,393	3,377
0,636	7,623	2,352
0,534	7,747	2,295
0,614	7,667	3,095
0,542	8,538	2,44
0,859	8,398	2,777
0,697	8,066	1,844
0,457	8,987	3,056
0,796	8,252	2,019
0,503	8,251	3,368
0,639	8,473	2,107
0,422	7,796	2,242
0,425	9,05	2,998
0,444	8,553	2,897
0,625	9,138	2,138
0,36	8,552	2,542
0,737	7,36	2,467
0,431	8,206	2,836
0,907	6,865	1,863
0,84	7,867	1,709
0,482	7,664	2,347
0,919	8,222	2,108
0,547	8,121	2,638
0,618	9,015	2,75
0,756	7,688	2,046
0,66	8,756	2,623
0,459	8,87	2,515
0,524	8,832	2,39
1,271	6,048	2,464
1,309	7,924	1,446
0,596	7,881	2,573
0,578	9,279	2,728
0,698	8,113	1,694
0,922	8,371	2,189
0,343	8,949	2,659
1,363	5,807	2,049
0,549	8,579	2,815
0,566	8,279	3,232
0,7	8,319	2,105
0,444	8,595	3,024
0,743	7,378	2,27
0,674	8,088	2,779
0,878	6,23	2,632
0,55	8,057	2,4
0,703	8,248	1,997
1,003	8,561	1,577
0,748	8,213	2,403
0,669	7,458	2,601
0,793	8,5	2,219
0,995	8,219	1,481
0,668	8,977	2,618
0,554	9,23	2,669
0,506	8,114	2,549
0,449	8,313	2,027
0,426	8,966	2,308
0,414	8,957	2,766
0,747	7,949	1,758
0,469	7,883	2,218
0,618	8,183	2,528
0,856	8,41	1,846
0,461	8,776	3,028
0,591	8,688	2,323
0,719	7,568	2,019
1,599	6,283	2,406
1,025	8,157	2,387
0,581	8,264	2,863
0,511	8,722	2,532
0,762	8,095	1,89
0,543	8,057	1,788
0,52	8,639	2,687
0,486	8,522	2,515
0,917	7,568	1,704
0,775	7,836	1,79
0,668	8,557	2,734
0,534	8,718	2,897
0,644	8,574	2,791
0,436	8,882	2,353
0,714	7,885	3,37
0,535	7,637	2,789
0,356	8,428	2,604
0,669	8,543	2,423
1,288	6,321	1,936
0,264	9,074	3,497
0,53	8,914	2,831
0,386	8,545	3,51
0,508	8,31	2,417
0,722	8,012	2,063
0,622	8,002	2,139
0,52	8,577	2,11
0,805	7,864	2,144
0,55	7,772	1,965
0,716	8,074	2,736
0,171	9,062	2,994
0,31	8,852	3,365
0,468	8,057	3,326
0,563	7,93	2,359
0,394	7,888	3,344
0,435	8,278	2,662
0,561	7,993	2,458
0,47	9,184	2,975
0,437	8,515	2,346
0,296	9,161	3,66
0,455	8,649	2,876
0,534	9,098	2,751
0,672	7,998	1,858
0,702	8,04	2,38
0,686	8,764	2,116
0,307	9,19	3,292
0,448	7,948	2,609
0,295	8,525	2,457
0,573	8,058	3,351
0,302	8,252	2,883
0,51	8,872	2,819
0,369	7,597	2,684
0,567	8,428	2,375
0,354	7,827	2,467
