Tetrahedral	Seesaw	V-trigonal-bipyramid
0,7	8,189	1,964
0,813	8,44	1,766
0,491	8,348	2,148
0,637	7,578	2,079
0,55	8,732	2,005
1,048	8,604	1,454
0,493	8,342	2,331
0,997	8,759	1,951
1,232	8,049	1,786
0,9	7,673	1,628
0,969	7,949	1,663
0,667	8,937	3,15
0,599	7,255	2,141
0,934	7,369	1,69
1,01	7,716	1,545
1,401	6,422	1,592
0,924	7,656	2,049
0,618	8,394	1,98
1,147	6,41	2,784
1,045	7,865	1,264
1,032	6,881	1,639
1,088	6,622	2,074
1,336	6,15	2,1
0,609	8,985	2,055
0,481	8,896	2,42
0,839	8,006	1,946
0,628	7,841	2,285
0,983	7,848	1,473
0,632	8,019	2,095
0,409	8,48	2,501
0,818	8,329	1,8
1,105	8,037	1,976
0,975	8,955	1,89
1,001	6,698	1,725
0,544	8,213	2,549
0,875	6,906	2,442
0,553	7,886	2,513
0,457	7,521	2,632
0,755	7,724	2,094
0,624	6,792	2,581
1,35	6,81	1,931
0,969	8,421	1,748
0,687	7,947	3,149
0,608	8,417	2,733
0,661	8,233	2,878
0,741	7,909	1,791
0,661	8,467	2,318
1,306	7,479	1,626
0,697	7,942	2,718
0,68	7,261	2,359
0,832	7,995	1,861
0,954	7,469	1,904
0,663	8,206	1,88
0,735	7,478	2,28
0,908	7,303	1,526
0,766	7,236	2,862
0,649	7,186	2,14
0,879	7,679	1,599
1,486	5,013	2,47
0,748	7,252	2,13
1,231	6,851	1,6
1,112	7,496	2,121
0,839	6,392	2,227
0,908	8,217	1,646
0,74	7,707	2,057
0,562	7,87	2,095
1,015	6,85	1,871
0,349	8,624	2,676
0,526	8,283	2,36
0,519	7,863	2,632
1,256	6,463	1,694
0,412	8,855	2,553
0,459	7,728	2,28
1,194	5,561	2,593
0,684	7,728	1,773
0,744	7,848	1,97
1,124	6,947	2,336
0,753	8,522	2,099
1,232	6,509	2,466
0,621	8,515	2,097
0,522	8,268	2,623
1,098	6,5	2,179
0,529	8,525	2,906
0,928	6,214	2,231
0,889	7,549	2,295
1,041	6,947	1,782
0,69	8,499	2,183
0,543	8,529	2,028
0,514	8,032	2,786
0,481	9,085	2,472
1,146	6,17	1,998
0,677	8,0	2,168
0,794	8,852	2,168
1,106	7,083	1,926
0,436	8,212	1,76
0,621	8,578	1,7
0,673	8,51	1,979
0,438	8,05	2,619
0,685	7,772	2,24
0,515	8,644	2,284
0,534	7,749	2,161
0,446	9,317	2,658
0,567	8,034	2,589
0,683	7,246	1,859
