Tetrahedral	Seesaw	V-trigonal-bipyramid
0,7	8,189	1,964
0,683	8,323	2,527
0,576	8,625	2,493
0,742	8,634	2,521
0,37	7,787	3,227
1,05	7,435	1,63
0,807	7,083	2,694
0,756	7,212	2,025
0,43	8,375	3,0
0,887	6,761	1,858
1,623	5,849	1,423
0,595	8,309	2,53
0,592	8,485	1,841
0,801	7,886	1,696
1,072	6,311	1,751
1,104	7,022	1,518
0,433	9,097	2,719
1,267	7,604	1,79
0,945	7,116	1,596
0,789	7,391	2,229
0,989	6,344	2,009
1,171	5,785	1,91
0,526	8,824	2,7
0,373	9,036	3,231
0,495	8,961	2,475
0,64	8,096	2,277
0,63	7,238	2,642
0,519	8,598	2,373
0,622	8,916	1,895
0,228	8,957	2,683
0,561	6,965	2,643
0,929	8,857	2,503
1,263	6,119	1,688
0,429	8,358	2,472
0,642	8,814	2,289
0,865	6,753	2,107
0,674	7,324	1,926
0,567	7,968	2,392
0,604	7,522	2,691
0,88	7,936	2,052
0,623	7,882	2,069
0,593	9,078	2,907
0,629	7,733	2,507
0,794	8,504	3,075
0,521	8,64	2,408
0,678	7,54	2,555
0,767	8,121	1,87
1,138	8,472	2,332
0,593	8,139	1,855
0,479	9,196	2,841
0,642	8,841	2,098
0,617	8,864	2,771
0,64	7,705	2,247
0,767	8,742	1,738
0,32	8,83	2,369
0,851	7,037	2,262
0,625	8,274	1,944
0,432	8,14	2,521
0,552	9,044	2,526
0,676	8,04	1,896
0,675	7,591	2,173
0,337	8,222	3,054
0,814	7,26	2,057
0,721	7,293	2,274
0,46	8,677	2,446
1,028	7,97	1,702
0,849	7,06	2,676
0,707	8,569	2,256
0,596	8,545	2,405
0,559	7,858	3,163
0,804	6,426	2,072
0,636	7,597	3,41
0,772	8,368	1,877
0,619	8,1	2,857
0,429	8,546	3,375
0,617	7,22	2,672
0,587	8,539	3,125
0,68	9,145	2,446
0,719	8,032	2,614
0,486	8,031	3,308
0,398	8,759	3,163
0,721	8,458	2,38
0,773	7,599	1,97
0,969	8,166	1,251
0,498	8,261	2,071
0,597	8,062	2,892
0,562	8,107	2,76
0,733	8,131	1,736
0,413	8,517	2,201
1,035	6,962	2,476
0,831	8,996	2,491
0,478	8,771	2,088
0,755	7,462	1,864
0,462	8,632	3,196
0,43	8,34	2,893
1,002	8,427	1,675
0,823	7,034	2,2
0,575	9,191	3,046
0,443	8,959	3,447
0,693	8,262	2,768
0,852	7,436	1,682
0,885	7,953	1,892
0,975	6,631	2,25
0,777	8,404	2,209
0,581	8,845	2,366
0,653	9,262	3,176
0,719	8,684	1,889
0,854	6,91	2,27
0,551	8,228	2,391
0,595	8,15	2,405
1,041	7,415	3,175
0,684	8,408	2,687
0,515	8,399	2,32
0,356	8,749	2,46
1,563	4,826	1,86
0,51	7,69	2,413
0,587	8,474	2,519
0,718	8,459	2,019
1,421	6,932	1,372
0,691	7,339	2,835
0,821	7,382	1,908
0,712	7,957	1,803
0,748	7,461	2,147
1,135	7,854	1,651
0,813	7,635	1,745
1,2	7,683	1,248
0,616	7,989	2,173
1,106	6,85	2,284
0,988	8,535	1,985
0,678	8,055	2,629
1,358	6,345	1,685
0,985	7,267	1,691
0,991	6,031	2,191
1,681	6,28	1,357
1,361	6,387	1,632
0,857	8,572	1,826
1,198	6,359	2,76
0,754	7,724	2,237
0,734	8,217	1,37
1,009	6,283	2,304
0,736	7,509	2,504
0,698	8,524	2,162
1,245	8,326	2,286
1,23	6,66	2,009
0,814	8,431	1,77
0,871	7,526	2,003
1,223	7,397	1,87
0,77	7,677	1,707
1,201	7,931	2,801
0,896	8,575	1,928
1,003	6,798	1,834
1,063	7,284	2,314
0,928	8,22	2,131
1,106	7,659	2,776
0,664	8,676	3,126
1,063	7,969	1,683
0,617	8,207	2,193
1,105	6,457	2,293
1,13	8,71	2,152
0,621	8,515	1,93
0,329	8,647	2,823
0,857	8,311	1,925
0,608	7,434	2,707
0,515	8,544	2,948
1,493	5,929	1,701
0,408	9,377	3,151
0,707	7,523	2,345
0,604	8,476	2,479
0,364	8,572	2,303
0,658	8,593	1,755
0,443	8,406	2,799
0,627	7,979	2,182
0,761	7,566	1,672
0,516	9,141	2,628
0,61	7,712	2,14
0,697	8,984	2,141
0,672	8,728	1,836
0,546	8,231	2,471
0,745	8,317	3,117
0,483	7,634	3,225
1,141	7,855	2,383
0,594	8,224	2,723
0,318	8,758	2,469
0,522	7,898	2,758
0,466	8,393	2,522
0,45	8,799	2,551
0,601	8,269	2,215
1,058	5,889	2,33
0,646	7,473	2,186
