Tetrahedral	Seesaw	V-trigonal-bipyramid
8.565	1.328	5.976
10.564	0.566	8.624
8.984	0.443	7.13
13.354	0.959	9.677
8.623	0.458	6.046
9.01	1.231	6.188
7.971	0.647	6.228
10.557	0.34	7.947
12.311	0.788	9.102
8.596	1.079	6.233
9.153	1.168	7.383
11.256	0.416	9.101
8.671	0.66	6.573
8.684	0.876	6.921
8.54	0.892	6.479
9.042	0.852	6.442
8.5	1.241	6.619
8.514	1.803	5.835
8.406	1.193	6.883
9.334	0.748	5.904
8.195	0.953	5.809
8.578	0.548	6.105
8.446	1.032	5.23
9.901	0.516	6.906
9.707	0.255	7.822
8.794	0.752	6.309
8.845	0.514	6.199
9.565	0.616	7.916
8.779	1.09	5.652
10.148	1.166	7.137
10.271	0.702	7.58
10.324	0.712	7.635
10.172	0.569	7.086
10.628	0.576	8.107
10.635	1.27	6.507
10.608	0.442	8.903
11.534	0.737	8.243
10.345	0.466	8.339
12.145	0.822	9.394
9.542	1.4	5.692
8.085	0.889	5.579
11.531	0.673	7.898
9.933	0.365	8.009
7.655	0.76	5.208
8.807	0.591	6.796
9.615	0.99	6.396
9.685	0.608	6.888
7.719	0.847	5.78
11.202	0.889	7.975
12.979	1.202	10.466
12.03	0.544	9.184
9.742	0.405	7.597
12.516	1.115	9.1
11.568	0.723	9.347
10.494	0.493	8.025
8.246	1.044	6.213
9.468	0.268	7.32
9.789	0.273	8.315
8.252	1.915	5.234
9.47	0.244	8.4
13.991	1.053	10.63
9.96	0.478	7.549
9.876	0.46	7.211
9.103	0.415	6.908
10.622	0.508	8.742
12.674	0.855	8.921
10.58	0.522	7.365
10.449	0.506	9.439
7.785	0.941	5.843
11.342	0.78	8.72
11.053	0.421	9.392
10.545	0.806	7.382
11.666	0.756	9.39
11.651	0.649	9.344
9.288	0.697	6.384
8.231	0.648	5.956
8.63	0.815	5.831
9.095	0.533	6.278
8.79	0.502	6.452
12.491	0.814	10.021
10.173	0.681	7.461
8.944	0.584	7.096
11.198	0.568	7.585
9.755	0.582	7.227
10.686	0.478	8.258
11.317	0.769	8.894
10.846	0.805	6.999
9.473	0.614	7.117
10.85	0.722	7.969
9.613	0.224	7.459
10.562	0.478	8.768
9.818	0.513	8.277
8.725	0.622	6.531
8.969	1.335	5.953
10.554	0.566	8.883
10.315	0.714	8.68
11.61	0.699	8.453
10.462	0.503	7.779
10.56	0.6	8.162
10.244	0.834	6.592
9.513	0.611	6.244
9.094	0.417	7.431
10.137	0.729	7.356
11.367	0.784	8.005
12.571	1.203	7.743
9.925	0.638	7.238
10.121	0.431	7.202
9.056	1.233	5.78
10.92	0.342	7.628
9.56	0.345	7.675
10.602	0.881	7.206
11.62	0.668	8.608
8.625	0.808	5.729
8.468	0.516	7.119
11.73	0.738	9.663
12.341	1.142	8.701
9.311	0.503	6.882
11.46	0.952	7.317
10.072	0.372	7.479
9.789	0.749	7.468
8.066	0.535	6.979
10.62	0.397	7.898
10.645	0.298	8.246
9.634	0.374	7.492
8.344	0.668	5.717
8.865	0.628	6.416
9.399	0.703	7.423
12.241	0.527	10.433
8.524	0.974	5.495
12.876	1.158	10.029
13.34	0.832	10.109
10.072	0.727	8.049
10.991	0.527	7.403
10.966	0.896	7.309
10.202	0.507	8.187
10.383	0.63	7.333
10.699	0.752	7.215
9.662	0.835	6.217
9.645	0.909	6.635
8.999	0.623	6.626
10.75	0.646	7.545
8.152	1.132	5.98
10.201	0.637	7.743
10.655	0.464	8.304
11.771	1.546	8.226
9.299	1.144	7.002
10.754	1.063	7.503
9.985	0.729	7.226
10.615	0.916	6.71
10.053	0.504	7.221
10.087	1.093	6.673
8.617	0.581	6.714
9.494	0.385	7.547
9.415	0.724	6.745
11.124	1.201	7.608
7.813	1.379	5.198
8.861	1.14	5.554
6.592	1.469	5.092
7.371	1.137	5.446
6.792	0.877	4.854
9.499	0.639	6.373
9.926	0.893	7.164
11.599	1.079	7.263
12.745	0.96	9.613
8.558	1.245	5.501
7.559	0.726	5.834
8.09	0.754	5.414
10.294	0.284	8.041
11.086	0.432	7.861
11.831	0.964	7.881
9.875	1.084	6.276
11.138	0.872	7.288
10.747	0.498	7.253
10.971	0.811	7.763
9.142	0.892	7.314
8.836	0.535	7.469
10.062	0.86	8.605
9.975	0.647	7.82
9.33	0.589	6.593
10.092	0.44	7.024
10.754	0.425	8.295
10.453	0.858	8.126
10.057	0.507	7.506
7.933	0.958	5.329
10.06	0.297	7.81
11.998	0.746	9.635
9.356	1.134	7.164
8.536	0.274	6.291
8.72	0.401	6.958
9.238	0.199	7.546
10.19	0.992	6.23
9.852	0.52	7.348
9.851	0.632	6.86
10.072	0.7	8.576
8.379	0.416	6.887
10.31	0.792	8.378
9.073	0.871	6.321
10.238	0.676	7.793
8.829	0.872	5.455
8.867	1.153	5.279
10.415	0.806	7.422
11.103	0.557	8.107
10.321	0.732	7.385
9.308	1.17	5.604
9.82	0.494	7.736
11.097	0.7	9.095
10.427	0.783	7.061
8.783	0.493	6.803
10.182	0.46	9.095
9.019	0.67	6.443
8.647	0.349	6.111
7.845	0.663	6.205
10.358	0.39	7.967
11.648	0.485	9.53
8.98	0.769	6.719
11.667	0.615	8.883
11.797	0.567	9.479
8.147	1.1	4.899
6.868	1.442	4.487
10.308	0.898	7.986
8.807	0.633	6.627
11.668	0.798	9.142
11.444	1.51	6.62
11.839	0.745	8.01
11.522	0.816	8.826
10.263	0.313	7.903
8.767	1.007	5.381
10.774	0.438	8.301
10.317	0.79	6.311
10.782	0.684	7.363
11.605	1.084	7.492
6.848	1.229	5.633
8.849	0.407	6.99
8.486	0.801	6.404
10.691	0.645	8.442
9.442	0.443	6.967
10.614	0.984	7.91
11.245	0.287	8.936
9.25	0.607	7.385
12.022	1.009	8.32
10.129	0.542	7.228
13.723	1.027	10.049
8.469	0.906	5.933
11.088	0.932	7.873
10.333	0.405	8.612
7.921	1.04	5.192
9.656	0.692	6.938
11.741	0.881	8.628
10.792	0.565	8.29
9.574	0.563	6.975
10.652	1.248	7.272
9.946	0.785	6.601
9.743	0.418	7.536
11.701	1.67	6.333
7.747	0.68	6.826
8.332	0.659	7.462
8.84	0.617	7.896
9.426	0.624	6.649
12.73	1.34	8.712
11.267	0.666	8.365
10.519	0.838	7.923
7.49	0.785	4.945
9.681	0.581	6.496
11.539	0.351	9.002
8.758	0.611	6.472
9.643	0.261	7.529
10.556	0.641	7.264
10.132	0.342	8.633
8.127	1.259	4.754
9.183	0.681	7.157
11.051	0.504	7.894
10.351	0.777	7.693
8.108	0.739	6.267
10.596	0.968	6.811
10.292	1.033	6.372
9.381	0.695	6.732
10.076	0.782	8.032
9.122	1.131	7.585
11.338	0.753	8.425
9.502	0.726	6.298
8.891	0.937	5.722
10.108	0.538	8.565
10.606	0.987	7.226
6.466	0.943	5.242
8.255	0.381	6.996
8.932	0.665	6.389
11.469	0.61	7.949
