Tetrahedral	Seesaw	V-trigonal-bipyramid
5.423	1.761	4.606
5.876	1.538	5.71
6.273	0.857	5.69
4.608	1.453	4.555
5.325	1.559	4.054
5.301	1.129	5.086
5.182	1.355	5.139
6.811	2.19	6.236
5.205	1.473	4.304
6.151	0.956	5.895
6.353	0.963	4.838
5.211	1.301	5.091
6.709	0.891	5.555
4.936	1.32	4.043
7.125	1.077	6.937
6.111	0.896	5.145
6.291	1.139	6.274
5.705	1.285	5.226
5.771	1.003	5.129
6.288	1.422	5.975
6.179	0.895	5.948
6.397	1.089	5.931
6.477	0.817	5.418
6.817	0.982	5.328
6.65	0.987	5.826
5.748	1.408	5.097
6.679	2.431	5.386
6.489	0.896	5.312
5.065	2.065	4.35
6.487	0.868	5.992
6.339	1.364	6.6
5.288	1.381	4.694
6.296	0.929	5.237
5.12	1.629	4.754
6.675	1.007	6.632
6.954	0.833	4.927
5.703	1.534	5.359
4.133	2.06	3.497
5.551	1.489	4.964
6.702	1.221	5.683
6.308	1.496	5.97
5.284	1.31	5.005
5.239	1.336	4.593
4.954	1.588	3.646
6.258	1.885	5.703
6.301	0.896	6.106
6.793	0.722	6.392
6.836	0.96	5.712
7.037	0.968	6.044
5.941	1.387	4.588
6.932	1.478	5.911
6.133	1.648	5.978
4.083	1.923	4.392
5.655	2.019	5.947
5.185	1.51	5.274
4.587	1.805	4.253
5.937	1.484	4.435
6.095	1.697	5.253
5.406	1.174	4.433
7.211	1.135	6.299
6.818	1.503	6.26
5.252	1.103	4.671
6.174	1.3	5.825
6.427	0.879	5.286
6.449	1.55	5.973
8.647	1.028	8.166
7.007	0.636	5.896
6.689	0.754	5.294
6.449	1.878	6.663
5.625	1.36	4.79
6.807	1.644	5.454
6.269	1.275	5.608
5.071	1.416	4.542
5.415	1.35	5.604
7.1	0.709	6.397
6.482	1.185	6.685
6.258	1.64	6.164
6.784	1.212	5.45
6.636	1.553	4.957
5.69	1.292	5.645
5.943	1.3	6.08
5.664	1.121	4.759
6.738	1.117	5.863
5.699	1.757	5.279
5.486	1.397	5.245
