Coordination,R1-CHARMM36m,CHARMM36m(NH2-CT3),R2-CHARMM36m,R3-CHARMM36m,R1-a99sb-ILDN,R2-a99sb-ILDN,R3-a99sb-ILDN,R1-a99sb*-ILDN,R2-a99sb*-ILDN,R3-a99sb*-ILDN
Tetrahedral,10.193,8.445,11.23,10.293,0.636,0.528,5.594,0.875,2.992,0.613
Tetrahedral,10.316,6.681,8.104,9.338,1.01,0.278,0.847,0.762,6.338,0.445
Tetrahedral,9.644,7.815,11.686,10.182,0.623,0.359,0.169,0.877,3.113,0.469
Tetrahedral,9.99,7.872,9.503,8.846,0.612,0.618,3.321,0.986,6.748,0.622
Tetrahedral,8.858,11.036,10.199,9.342,0.613,0.17,9.451,0.277,8.801,0.272
Tetrahedral,9.916,10.964,8.553,10.468,0.504,0.339,6.113,1.165,9.983,0.489
Tetrahedral,9.845,8.509,9.452,8.756,0.579,0.281,0.949,1.301,8.083,0.41
Tetrahedral,9.99,10.493,10.053,9.95,0.292,0.756,1.443,0.375,9.337,0.287
Tetrahedral,7.389,11.85,11.21,7.164,0.634,0.596,0.786,0.982,6.569,0.297
Tetrahedral,8.87,10.473,8.429,7.828,0.133,0.852,0.405,0.744,7.521,0.516
Tetrahedral,9.009,9.027,8.652,10.357,0.941,0.442,0.967,0.344,8.421,0.154
Tetrahedral,11.587,8.485,8.406,10.776,0.917,1.034,0.956,0.573,5.818,0.111
Tetrahedral,9.541,9.319,7.838,8.059,0.802,0.389,0.475,1.206,6.706,1.608
Tetrahedral,7.691,10.621,8.569,8.919,1.093,0.28,0.732,0.754,4.176,0.713
Tetrahedral,8.949,9.331,10.274,10.204,0.547,0.661,0.765,0.165,3.112,0.673
Tetrahedral,8.855,10.28,9.288,10.279,0.298,0.37,0.848,0.527,6.683,0.215
Tetrahedral,10.182,10.724,11.266,9.752,0.349,0.715,0.716,1.718,6.19,1.032
Tetrahedral,11.927,11.869,7.652,11.615,0.386,1.223,0.205,0.708,0.399,0.462
Tetrahedral,10.653,8.868,10.779,9.593,0.448,1.357,0.703,0.276,0.684,0.584
Tetrahedral,8.826,9.35,9.123,12.094,1.246,0.49,0.571,0.233,0.593,0.225
Tetrahedral,11.575,11.655,11.89,10.137,0.579,0.68,1.998,0.954,0.242,0.401
Tetrahedral,8.148,11.154,7.556,11.302,0.07,0.296,0.264,0.611,0.425,1.203
Tetrahedral,9.763,9.727,11.09,13.231,0.322,0.31,0.967,0.627,0.416,0.349
Tetrahedral,7.759,9.501,10.063,10.178,0.366,0.354,2.608,0.266,1.148,0.614
Tetrahedral,11.01,8.809,9.191,9.484,0.3,0.379,1.193,0.85,5.482,0.699
Tetrahedral,11.731,8.643,7.707,10.301,0.539,0.808,0.442,0.468,7.695,0.331
Tetrahedral,9.444,9.359,9.2,9.454,0.502,0.592,0.288,0.556,9.873,0.615
Tetrahedral,7.757,8.969,8.334,8.521,0.977,0.238,0.545,0.514,8.757,1.154
Tetrahedral,8.37,10.926,7.768,9.642,0.779,1.017,0.735,0.206,8.743,0.428
Tetrahedral,10.881,9.978,9.128,10.013,1.548,0.839,0.465,0.975,8.371,0.282
Tetrahedral,10.709,10.937,11.047,9.516,1.548,1.119,0.469,0.375,5.979,0.672
Tetrahedral,8.461,9.848,8.508,9.088,0.971,0.19,1.837,0.427,4.876,0.275
Tetrahedral,10.685,9.198,11.646,9.179,0.506,1.739,1.155,0.829,7.177,0.406
Tetrahedral,8.796,11.045,8.801,9.624,0.469,1.071,6.972,0.914,5.899,0.474
Tetrahedral,9.589,9.624,9.745,9.553,0.141,0.742,1.168,0.624,7.612,0.592
Tetrahedral,7.131,10.734,9.992,10.712,0.708,0.64,0.273,0.344,10.042,0.682
Tetrahedral,9.299,8.99,7.655,8.615,0.857,0.335,0.385,0.581,6.179,0.444
Tetrahedral,8.154,12.338,10.099,10.081,0.643,0.374,0.483,0.332,6.289,0.183
Tetrahedral,8.859,8.583,9.033,9.664,0.434,0.322,0.466,0.402,2.519,1.238
Tetrahedral,9.63,12.86,9.633,13.343,0.22,0.142,0.217,0.4,7.374,0.396
Tetrahedral,12.027,10.825,10.087,9.397,0.44,0.623,0.62,1.069,9.59,0.208
Tetrahedral,12.297,7.861,7.32,9.459,0.479,0.281,0.907,0.83,9.039,0.383
Tetrahedral,8.346,9.57,7.735,11.242,0.633,0.379,0.464,0.752,7.7,0.738
Tetrahedral,9.179,9.678,8.529,10.93,0.585,0.505,0.683,1.037,0.71,0.225
Tetrahedral,9.094,9.668,9.834,13.188,0.402,0.531,0.872,0.304,7.333,0.609
Tetrahedral,11.059,7.453,8.948,10.842,0.385,1.195,0.282,0.252,6.3,0.472
Tetrahedral,8.686,8.249,7.138,10.169,0.511,0.62,1.335,0.32,5.307,0.411
Tetrahedral,7.831,9.529,9.68,9.51,0.365,0.901,1.951,1.14,8.036,0.354
Tetrahedral,8.435,7.563,8.706,8.279,0.432,0.323,0.988,0.69,7.685,0.363
Tetrahedral,11.203,10.569,8.414,8.489,1.275,0.521,0.297,0.554,8.102,0.349
Tetrahedral,11.243,8.734,8.961,12.356,1.064,0.942,0.404,1.249,5.937,1.122
Tetrahedral,10.403,10.576,9.909,7.569,0.469,0.593,1.349,0.273,7.967,1.399
Tetrahedral,11.495,7.33,9.647,8.543,1.032,0.41,2.401,0.936,8.795,1.563
Tetrahedral,11.041,9.351,9.741,8.381,0.498,0.231,5.997,1.169,5.219,0.491
Tetrahedral,7.666,10.43,10.291,8.823,0.509,0.477,6.166,0.682,7.588,0.85
Tetrahedral,9.527,10.125,9.537,10.939,0.346,1.303,9.019,0.607,8.697,0.886
Tetrahedral,11.117,8.925,7.521,10.626,0.1,0.65,5.667,0.477,9.568,0.092
Tetrahedral,10.724,10.934,7.359,9.105,0.752,0.532,6.66,0.337,7.848,0.956
Tetrahedral,8.501,11.036,10.436,9.189,0.317,0.559,7.149,0.342,7.952,0.375
Tetrahedral,10.849,9.613,9.654,9.469,0.929,0.418,7.186,0.434,4.655,0.375
Tetrahedral,10.819,10.807,7.9,10.04,0.705,0.393,7.41,0.332,6.15,0.283
Tetrahedral,11.26,10.598,8.349,10.487,0.523,0.486,7.553,0.371,7.623,1.204
Tetrahedral,12.209,10.545,8.818,9.4,1.181,0.823,6.842,0.203,7.968,0.751
Tetrahedral,10.843,10.791,9.692,9.703,0.664,0.535,3.392,0.501,7.28,0.993
Tetrahedral,8.331,8.862,10.206,10.444,0.7,0.195,7.708,0.708,6.307,0.322
Tetrahedral,8.801,7.699,8.205,8.289,0.234,0.875,9.91,1.044,7.282,0.235
Tetrahedral,8.796,9.139,8.669,11.387,0.532,1.409,8.138,0.264,7.137,0.386
Tetrahedral,8.524,10.351,8.844,10.979,0.371,0.138,10.827,0.401,7.232,0.302
Tetrahedral,9.43,10.692,11.886,10.247,0.453,0.415,7.176,0.386,7.327,0.996
Tetrahedral,8.979,9.759,12.332,10.082,0.356,0.812,8.723,0.388,9.11,1.125
Tetrahedral,7.933,9.45,6.714,9.305,0.79,0.808,7.754,0.614,8.168,0.552
Tetrahedral,10.972,8.267,11.293,8.719,0.732,0.839,10.567,0.987,3.555,1.079
Tetrahedral,6.676,8.492,9.493,8.202,0.42,0.993,8.091,0.448,8.679,0.879
Tetrahedral,8.933,9.677,8.799,9.126,0.554,0.176,10.45,0.385,7.97,0.811
Tetrahedral,12.319,13.008,9.571,9.145,0.919,0.602,5.349,0.444,6.77,0.836
Tetrahedral,9.33,8.975,8.309,9.11,0.514,0.219,15.328,0.306,7.228,0.511
Tetrahedral,10.728,8.347,44.738,10.583,0.652,0.408,8.535,0.19,7.406,0.48
Tetrahedral,8.857,7.112,33.96,10.105,0.994,0.948,7.657,0.658,6.398,0.522
Tetrahedral,9.335,9.809,46.956,8.712,0.96,0.286,9.438,0.383,6.247,0.143
Tetrahedral,9.856,9.664,44.382,11.106,0.309,0.723,7.379,1.922,9.639,0.993
Tetrahedral,10.892,11.314,32.694,10.288,0.106,0.387,5.599,1.324,9.088,1.022
Tetrahedral,9.7,12.95,40.141,8.592,0.587,1.334,5.489,0.331,6.436,0.553
Tetrahedral,7.829,9.432,45.958,10.659,0.114,0.721,8.041,0.963,6.924,0.538
Tetrahedral,9.744,7.797,44.999,11.786,0.487,0.764,8.437,0.271,7.231,1.122
Tetrahedral,10.404,9.819,46.985,10.986,0.596,0.7,8.36,0.564,6.519,0.929
Tetrahedral,10.977,9.237,28.719,12.396,0.248,1.014,8.37,0.656,6.926,0.371
Tetrahedral,8.325,10.879,48.939,13.175,0.542,0.418,7.953,0.355,7.606,0.995
Tetrahedral,10.232,8.25,45.842,8.937,0.491,0.925,10.681,0.576,8.449,0.472
Tetrahedral,9.637,10.444,43.954,10.066,0.147,0.515,7.636,0.44,8.913,0.457
Tetrahedral,10.532,9.313,42.337,7.485,1.086,0.467,7.749,0.841,8.64,0.828
Tetrahedral,10.566,11.827,44.459,9.262,0.267,0.834,8.168,0.185,8.418,0.549
Tetrahedral,10.127,7.55,48.82,10.139,0.378,0.276,7.042,0.626,7.808,0.564
Tetrahedral,9.403,9.675,43.056,9.694,0.369,0.611,8.241,0.394,8.07,0.489
Tetrahedral,10.198,8.605,48.427,8.82,0.473,0.653,7.803,0.626,7.401,0.878
Tetrahedral,7.448,11.327,48.023,8.185,0.788,1.553,7.93,0.218,7.216,0.616
Tetrahedral,10.839,9.03,46.227,7.675,0.799,0.469,6.008,0.41,6.176,0.448
Tetrahedral,8.616,7.997,48.524,9.553,0.57,0.207,11.779,0.22,7.344,0.406
Tetrahedral,8.508,9.789,46.018,8.935,1.062,0.41,7.522,0.317,8.009,0.696
Tetrahedral,10.332,10.686,48.485,9.315,0.494,0.524,9.071,0.433,7.742,0.415
Tetrahedral,11.91,8.906,44.737,10.529,0.506,0.468,7.354,0.851,7.982,0.532
Tetrahedral,10.214,11.092,44.891,9.846,0.66,0.636,9.692,0.85,7.68,0.641
Tetrahedral,9.304,6.551,47.029,11.169,0.458,1.068,5.477,0.267,7.05,0.532
Tetrahedral,9.356,9.533,46.475,10.749,0.168,0.468,8.414,1.372,9.446,0.342
Tetrahedral,8.243,8.616,41.752,9.909,0.538,0.956,7.447,0.336,7.733,1.132
Tetrahedral,9.082,10.432,42.719,7.761,0.938,0.575,8.86,0.808,6.534,0.777
Tetrahedral,10.855,10.186,42.305,9.702,1.322,0.384,5.901,0.673,7.748,0.545
Tetrahedral,9.12,8.465,48.424,11.747,1.187,0.655,1.847,0.506,8.681,0.736
Tetrahedral,11.137,8.526,52.812,11.318,0.971,0.245,8.439,0.375,7.282,0.488
Tetrahedral,10.363,10.4,41.022,10.219,0.443,0.605,7.064,0.394,7.414,0.559
Tetrahedral,11.034,8.566,50.581,11.845,1.186,0.245,6.213,0.561,8.899,0.286
Tetrahedral,10.982,7.603,49.888,9.538,0.486,0.346,6.452,0.424,6.21,0.858
Tetrahedral,9.379,7.931,43.904,10.275,0.208,0.938,6.099,0.398,2.839,0.605
Tetrahedral,11.944,8.836,52.033,9.942,0.463,0.408,10.557,0.757,7.436,0.805
Tetrahedral,7.981,10.129,49.177,10.451,0.207,1.056,8.925,0.559,5.631,0.772
Tetrahedral,9.702,6.839,44.903,11.102,0.203,0.347,7.437,0.361,7.285,0.436
Tetrahedral,8.35,9.339,45.948,9.288,0.324,0.751,6.872,0.2,4.262,0.221
Tetrahedral,11.546,8.49,44.159,10.818,0.829,1.013,5.129,0.996,9.708,0.705
Tetrahedral,8.652,9.974,50.929,8.28,0.34,0.759,6.961,1.06,7.378,0.608
Tetrahedral,11.073,8.018,43.539,11.512,0.482,0.773,5.831,0.575,7.038,0.17
Tetrahedral,12.498,10.582,44.187,10.671,0.444,0.66,6.453,1.798,6.303,0.776
Tetrahedral,8.483,10.187,51.137,9.63,0.58,0.233,8.138,0.819,3.87,0.413
Tetrahedral,8.772,10.83,51.796,10.565,0.193,0.499,10.518,0.344,1.308,0.113
Tetrahedral,10.438,10.663,47.925,11.286,0.231,0.274,6.472,0.611,0.625,1.131
Tetrahedral,13.197,12.363,45.183,10.004,0.188,0.529,7.896,0.941,1.987,0.736
Tetrahedral,9.414,9.56,49.601,11.169,0.138,1.063,6.487,0.203,9.081,0.605
Tetrahedral,10.457,9.908,42.922,10.628,0.518,0.323,6.293,0.312,7.262,0.545
Tetrahedral,11.71,8.913,53.522,8.988,0.337,0.388,6.645,0.226,5.984,0.399
Tetrahedral,10.249,6.992,49.503,10.342,0.392,0.33,8.266,0.632,5.968,0.41
Tetrahedral,10.581,9.645,47.18,10.251,1.219,0.476,7.953,0.451,9.021,0.863
Tetrahedral,7.927,11.266,51.798,10.252,0.16,0.238,6.898,2.208,0.767,0.773
Tetrahedral,9.967,8.259,48.978,11.15,0.167,0.544,5.882,0.861,0.574,0.35
Tetrahedral,11.569,10.484,42.354,12.097,0.356,0.286,5.741,0.297,0.272,0.237
Tetrahedral,9.922,10.686,49.144,10.795,0.438,1.104,8.514,0.701,0.755,0.78
Tetrahedral,10.12,9.346,51.402,12.215,0.597,0.968,7.51,0.584,0.283,0.28
Tetrahedral,11.119,10.923,46.767,10.72,0.876,0.263,8.404,0.694,0.783,0.5
Tetrahedral,10.27,8.219,45.373,11.361,0.519,0.644,6.438,0.571,1.165,0.632
Tetrahedral,9.369,11.746,48.327,10.627,0.749,0.916,7.756,0.172,0.85,1.065
Tetrahedral,8.678,12.523,45.179,11.057,0.463,0.337,9.827,0.64,1.041,0.38
Tetrahedral,11.615,8.373,47.787,9.148,0.763,0.775,9.092,0.445,1.022,0.374
Tetrahedral,11.582,9.762,46.7,11.665,1.464,0.163,8.712,0.693,0.393,0.74
Tetrahedral,9.039,9.079,42.68,9.941,0.576,0.392,8.739,0.766,0.856,0.679
Tetrahedral,9.807,8.052,46.407,11.276,0.551,0.38,8.241,0.347,0.895,0.593
Tetrahedral,7.8,9.91,53.249,9.896,0.423,0.129,7.281,0.51,0.885,0.628
Tetrahedral,12.063,10.193,49.205,8.524,0.658,0.773,7.038,0.37,0.941,0.262
Tetrahedral,10.976,8.181,54.659,10.504,0.544,0.201,6.083,0.268,0.606,0.157
Tetrahedral,10.433,8.999,49.538,9.078,1.083,0.887,8.677,0.435,0.278,0.471
Tetrahedral,9.831,8.833,55.338,9.668,0.45,0.568,9.824,0.881,0.965,0.122
Tetrahedral,8.058,10.139,49.495,9.955,0.53,0.867,7.257,1.006,0.187,1.187
Tetrahedral,8.661,10.927,49.744,8.583,0.312,0.12,8.235,0.538,0.463,0.16
Tetrahedral,10.603,8.928,52.752,10.063,0.467,0.258,7.016,0.429,0.712,0.354
Tetrahedral,10.525,10.212,49.277,8.643,0.644,0.537,7.757,1.301,7.888,0.461
Tetrahedral,8.952,11.494,45.568,11.53,0.58,0.399,6.192,0.271,7.365,1.34
Tetrahedral,9.831,9.188,48.845,9.465,0.385,0.127,9.066,0.306,6.121,0.98
Tetrahedral,6.866,12.419,45.732,8.696,0.415,0.557,6.406,0.742,9.052,0.264
Tetrahedral,7.888,10.608,48.46,12.287,0.642,0.317,9.04,0.327,8.424,0.239
Tetrahedral,9.295,8.414,47.8,11.475,0.675,1.226,8.688,0.545,5.967,0.626
Tetrahedral,9.982,8.971,39.714,11.336,0.226,0.581,7.435,0.186,6.746,0.429
Tetrahedral,8.691,11.04,41.794,8.795,0.508,0.369,7.74,0.65,7.123,0.858
Tetrahedral,9.577,10.735,46.25,10.552,0.372,0.506,7.826,0.716,3.762,0.68
Tetrahedral,11.453,8.18,42.704,8.364,0.83,0.482,8.238,0.587,8.327,0.585
Tetrahedral,9.178,10.357,43.815,12.205,0.875,0.361,6,0.643,6.411,0.43
Tetrahedral,9.641,8.052,42.577,10.714,0.384,0.347,8.74,0.114,6.632,1.049
Tetrahedral,7.772,8.271,42.146,9.798,1.093,0.918,11.364,0.349,9.019,0.216
Tetrahedral,10.985,8.832,44.673,10.339,0.666,0.475,6.048,0.504,7.832,0.288
Tetrahedral,10.664,8.403,44.906,11.735,0.375,0.173,6.989,0.277,7.768,1.359
Tetrahedral,8.863,10.511,40.487,10.33,0.616,0.434,9.928,0.184,8.197,1.409
Tetrahedral,9.484,6.81,41.995,10.985,1.763,0.357,8.082,0.366,7.916,0.684
Tetrahedral,10.151,9.624,42.207,11.177,0.541,0.272,8.559,0.342,6.954,0.745
Tetrahedral,8.66,7.589,46.263,8.366,0.211,0.293,6.274,0.71,8.039,1.103
Tetrahedral,11.417,10.603,53.252,11.671,0.372,1.089,8.028,0.53,8.285,0.552
Tetrahedral,9.812,10.142,53.493,11.154,0.916,0.528,6.634,0.788,9.372,0.402
Tetrahedral,8.094,8.569,54.945,10.437,0.279,1.435,6.3,0.236,7.486,1.129
Tetrahedral,7.585,8.716,53.477,8.791,0.513,0.239,8.214,0.458,8.753,0.59
Tetrahedral,10.18,10.344,47.296,10.335,0.743,0.243,9.497,0.46,8.206,0.502
Tetrahedral,8.587,11.021,53.206,10.83,0.366,0.807,7.279,0.861,4.724,0.499
Tetrahedral,8.736,8.309,44.633,8.157,0.956,0.462,6.915,0.599,7.152,0.932
Tetrahedral,10.704,9.68,50.493,10.494,0.48,0.662,5.768,0.463,8.692,0.277
Tetrahedral,9.816,10.087,54.131,10.511,0.429,1.209,7.703,0.299,9.026,0.672
Tetrahedral,11.892,9.278,44.461,9.739,0.949,0.784,7.768,0.606,6.799,0.591
Tetrahedral,11.18,9.694,45.692,11.962,0.166,0.384,6.184,0.673,7.979,1.018
Tetrahedral,10.628,11.604,43.748,10.092,0.294,1.24,6.576,1.318,6.854,0.716
Tetrahedral,8.824,8.556,54.191,11.205,0.392,1.096,8.976,0.583,6.585,2.29
Tetrahedral,9.685,11.018,48.402,12.178,0.435,0.341,8.273,1.065,8.666,0.163
Tetrahedral,10.7,9.855,47.248,9.329,0.742,0.38,7.621,0.631,6.561,1.056
Tetrahedral,10.471,7.984,46.579,10.401,0.445,1.472,5.131,0.426,8.298,0.814
Tetrahedral,9.425,8.465,54.975,10,0.491,0.609,6.491,0.983,8.837,0.743
Tetrahedral,8.731,12.889,49.553,9.262,0.512,0.202,7.636,0.461,7.488,0.48
Tetrahedral,9.949,7.468,51.762,10.012,0.31,0.471,7.148,0.171,8.386,0.587
Tetrahedral,10.111,9.349,50.784,11.076,0.916,1.08,9.852,0.543,7.8,0.151
Tetrahedral,10.466,10.631,46.076,10.735,0.257,0.37,6.391,0.49,7.026,0.351
Tetrahedral,8.185,8.985,52.191,10.084,0.159,0.532,7.212,0.508,8.521,0.454
Tetrahedral,11.679,8.319,42.6,11.48,0.23,0.347,8.263,0.576,6.624,1.251
Tetrahedral,10.406,8.662,44.038,10.647,0.246,0.42,6.967,0.234,8.913,0.779
Tetrahedral,9.004,12.927,41.542,10.281,0.927,0.583,7.23,0.332,9.432,0.678
Tetrahedral,11.143,10.868,48.551,9.547,0.718,0.453,3.993,0.577,2.309,0.535
Tetrahedral,10.972,9.708,54.679,11.805,0.374,0.669,6.485,0.607,3.68,0.151
Tetrahedral,10.161,9.134,45.632,9.315,0.248,1.344,3.452,0.44,8.562,0.746
Tetrahedral,9.489,10.038,39.687,9.258,0.229,0.29,6.713,0.417,6.602,0.376
Tetrahedral,9.006,9.311,46.544,10.253,0.5,0.309,9.242,0.394,6.332,1.324
Tetrahedral,11.165,8.908,52.692,10.19,0.508,0.743,7.804,0.28,6.913,1.233
Tetrahedral,9.62,9.774,52.308,10.247,0.238,0.305,7.779,0.45,8.424,0.498
Tetrahedral,9.369,10.021,51.334,8.445,0.12,0.572,8.358,0.16,8.769,0.573
Tetrahedral,9.043,9.747,42.957,9.942,0.92,0.63,7.579,0.494,8.94,2.983
Tetrahedral,9.082,10.618,49.886,9.76,2.304,0.346,8.446,0.663,9.185,3.512
Tetrahedral,9.362,8.805,36.827,9.778,0.454,0.634,0.584,0.49,7.531,2.914
Tetrahedral,9.076,9.308,49.956,10.628,0.513,0.867,0.752,0.613,7.44,0.383
Tetrahedral,8.356,8.436,46.617,10.424,0.301,0.199,0.164,0.738,7.826,1.436
Tetrahedral,9.118,7.762,48.832,7.952,0.531,1.478,0.377,1.253,7.163,0.65
Tetrahedral,9.389,10.133,43.035,11.219,0.386,0.787,0.374,0.764,7.071,0.391
Tetrahedral,8.862,7.711,46.932,8.598,2.422,0.345,0.569,0.406,9.081,0.993
Tetrahedral,11.742,7.228,42.28,10.559,0.684,0.711,0.267,0.425,8.52,7.46
Tetrahedral,8.64,8.615,45.063,8.14,0.544,0.621,0.728,1.097,9.135,0.841
Tetrahedral,8.161,8.768,39.417,10.009,0.539,0.175,0.906,0.749,12.623,0.568
Tetrahedral,8.689,8.61,26.198,10.704,1.273,0.818,5.946,0.784,9.018,0.436
Tetrahedral,8.824,8.062,37.447,8.483,1.085,0.496,0.287,0.224,6.871,1.193
Tetrahedral,9.056,8.869,31.147,9.67,1.061,0.767,0.638,1.411,8.777,0.925
Tetrahedral,9.293,11.517,31.959,10.488,0.563,0.419,0.989,0.982,7.31,0.444
Tetrahedral,8.887,8.524,54.955,11.617,0.113,0.906,0.296,0.522,6.068,2.432
Tetrahedral,12.121,11.712,51.688,7.055,0.572,1.273,7.928,0.452,7.485,0.709
Tetrahedral,10.281,7.732,52.103,9.509,0.723,0.341,0.836,1.553,7.226,3.239
Tetrahedral,11.249,7.977,51.368,7.611,0.316,0.233,1.392,1.388,7.291,2.722
Tetrahedral,9.449,9.294,48.645,9.116,0.6,0.74,0.329,0.355,7.125,9.237
Tetrahedral,11.655,7.25,46.577,10.809,0.315,0.363,0.566,0.142,4.18,2.8
Tetrahedral,8.956,7.436,48.384,11.135,0.65,0.688,0.477,0.318,6.277,0.826
Tetrahedral,10.894,7.65,52.221,9.883,0.167,0.628,0.834,0.235,7.608,0.726
Tetrahedral,10.065,9.774,47.058,8.852,0.242,0.574,0.56,1.593,6.717,0.382
Tetrahedral,9.425,9.73,50.316,9.302,0.368,0.275,0.997,0.55,3.268,0.349
Tetrahedral,9.567,9.5,47.537,10.948,0.471,0.877,0.243,0.607,6.82,0.844
Tetrahedral,11.681,7.818,42.722,8.334,0.279,0.581,7.822,0.717,3.458,1.006
Tetrahedral,8.817,10.215,48.227,9.01,0.511,0.66,0.85,0.34,3.273,0.401
Tetrahedral,10.405,10.88,42.812,10.051,0.346,0.49,0.497,0.331,3.904,0.67
Tetrahedral,6.876,8.586,47.11,11.308,0.489,0.935,6.595,0.307,3.447,0.605
Tetrahedral,8.724,8.691,50.057,8.536,0.522,0.293,0.644,0.325,7.405,0.703
Tetrahedral,7.894,9.784,51.787,9.933,0.619,0.59,6.545,0.255,6.635,1.004
Tetrahedral,8.78,11.037,55.072,10.011,0.365,0.486,8.233,0.307,6.963,0.686
Tetrahedral,9.676,7.798,52.984,11.247,0.404,0.41,6.941,0.494,6.649,0.516
Tetrahedral,10.471,9.169,48.619,9.87,0.73,0.606,11.295,0.353,3.8,1.184
Tetrahedral,7.413,9.208,51.174,13.376,0.315,0.435,8.716,1.228,7.021,0.78
Tetrahedral,8.176,9.005,53.166,9.974,0.884,0.554,8.075,0.542,2.927,0.855
Tetrahedral,8.962,9.156,53.186,9.417,0.391,1.156,6.827,0.294,6.865,0.76
Tetrahedral,8.594,10.867,39.157,10.243,0.14,0.834,8.899,0.271,3.256,0.421
Tetrahedral,9.173,11.061,51.678,9.758,0.808,0.341,4.779,0.893,5.934,0.307
Tetrahedral,9.31,9.241,54.225,10.073,0.842,0.513,7.606,0.444,7.362,0.612
Tetrahedral,10.138,10.507,41.607,10.543,0.43,0.812,7.743,0.829,7.423,1.52
Tetrahedral,9.207,9.795,52.949,11.334,0.212,0.78,7.255,0.78,6.585,0.81
Tetrahedral,10.586,9.611,48.169,11.443,0.833,0.312,6.972,0.838,7.725,0.441
Tetrahedral,10.9,8.57,46.971,11.966,0.563,1.036,5.375,0.241,4.131,0.541
Tetrahedral,8.78,9.611,51.756,10.437,0.366,1.171,8.871,0.487,7.721,0.675
Tetrahedral,9.844,9.136,45.269,8.817,0.372,0.97,6.535,0.973,8.255,0.409
Tetrahedral,9.575,9.447,41.85,9.496,0.371,0.65,8.031,0.113,6.503,0.248
Tetrahedral,10.056,7.769,52.323,12.115,0.665,0.627,5.272,0.914,7.97,0.95
Tetrahedral,11.519,8.549,35.574,10.651,0.606,0.221,8.855,0.859,6.089,0.508
Tetrahedral,10.869,10.796,49.581,13.05,0.311,0.252,6.995,0.355,8.32,0.161
Tetrahedral,9.603,8.005,53.634,9.051,0.191,0.508,6.95,0.973,6.318,0.323
Tetrahedral,10.365,9.187,41.233,10.03,0.249,0.787,8.679,0.363,7.283,0.382
Tetrahedral,9.065,8.387,52.543,11.338,0.586,0.469,7.613,0.414,7.144,0.309
Tetrahedral,9.262,10.025,48.051,9.16,0.397,0.441,8.873,0.524,7.677,0.489
Tetrahedral,10.552,8.003,46.963,9.737,0.762,0.78,9.783,0.574,9.936,0.35
Tetrahedral,10.41,8.588,45.912,10.887,0.608,0.289,8.439,0.431,7.838,1.269
Tetrahedral,10.317,9.483,50.099,8.294,0.681,1.083,7.775,0.21,6.879,0.942
Tetrahedral,9.763,13.208,48.585,9.902,0.351,0.183,7.385,0.532,7.229,0.817
Tetrahedral,8.627,10.007,42.717,10.537,0.84,0.452,8.371,0.716,7.475,0.247
Tetrahedral,8.515,10.854,46.106,9.721,0.42,0.8,8.224,0.408,7.27,0.238
Tetrahedral,8.887,9.393,44.945,10.052,0.868,0.599,6.395,0.162,8.868,0.371
Tetrahedral,8.149,7.884,45.933,11,0.356,0.805,6.804,0.479,8.068,1.054
Tetrahedral,10.097,7.994,46.146,10.787,0.342,0.262,9.559,0.916,8.269,0.585
Tetrahedral,7.627,9.357,46.13,9.101,0.297,0.477,7.712,0.162,6.614,0.344
Tetrahedral,9.382,8.085,40.947,11.104,0.571,0.197,7.15,0.47,8.414,0.574
Tetrahedral,11.018,10.495,48.473,10.524,0.504,0.765,9.122,0.439,3.105,0.367
Tetrahedral,10.32,9.024,50.399,9.967,0.745,0.623,8.835,0.354,7.906,0.492
Tetrahedral,9.204,9.874,46.559,10.24,0.876,0.225,5.859,0.447,9.163,0.83
Tetrahedral,8.465,11.968,52.967,12.298,0.533,0.484,6.892,1.077,7.811,0.919
Tetrahedral,8.396,10.052,50.752,9.306,0.537,0.256,10.781,1.162,7.37,0.363
Tetrahedral,8.685,8.624,45.587,9.796,0.705,0.277,5.852,0.723,8.59,0.827
Tetrahedral,9.456,10.074,37.859,10.849,0.747,0.611,6.973,0.861,7.748,0.982
Tetrahedral,9.214,9.825,43.247,9.271,0.613,0.677,6.988,0.78,8.099,0.399
Tetrahedral,10.938,12.589,42.799,7.777,0.653,0.255,6.973,0.102,7.564,0.685
Tetrahedral,7.717,8.501,47.807,8.679,0.333,0.342,8.514,0.639,8.616,0.589
Tetrahedral,8.76,8.113,49.82,8.909,0.852,0.166,7.833,1.105,7.763,0.919
Tetrahedral,9.631,8.237,48.039,8.573,0.221,1.335,6.884,0.621,7.349,0.689
Tetrahedral,6.921,8.915,44.537,11.191,0.395,0.54,9.94,0.744,9.037,0.674
Tetrahedral,8.423,8.561,47.398,8.608,0.33,0.91,10.467,0.489,7.439,0.507
Tetrahedral,9.36,10.034,49.181,8.927,0.132,0.196,7.757,0.726,7.419,0.561
Tetrahedral,9.129,9.817,45.966,7.533,0.923,0.702,7.737,0.716,8.277,0.374
Tetrahedral,9.388,10.217,48.125,10.013,0.729,0.773,7.254,0.842,6.344,0.553
Tetrahedral,9.185,7.578,50.554,7.597,1.603,0.558,7.341,0.27,6.645,0.382
Tetrahedral,8.633,9.73,49.372,10.544,0.595,1.346,8.291,0.776,6.873,0.16
Tetrahedral,9.473,9.013,47.506,10.65,0.536,0.392,10.415,0.51,8.801,0.555
