Coordination,R1-CHARMM36m,CHARMM36m(NH2-CT3),R2-CHARMM36m,R3-CHARMM36m,R1-a99sb-ILDN,R2-a99sb-ILDN,R3-a99sb-ILDN,R1-a99sb*-ILDN,R2-a99sb*-ILDN,R3-a99sb*-ILDN
Tetrahedral,12.288,7.634,11.048,9.203,0.226,0.673,0.174,0.969,0.563,0.248
Tetrahedral,7.99,9.108,7.616,10.351,0.281,0.519,0.239,0.703,0.755,0.17
Tetrahedral,9.861,10.531,10.944,9.164,0.487,0.233,0.39,1.22,0.49,0.299
Tetrahedral,8.873,10.571,8.99,7.665,0.741,0.777,0.992,0.889,1.162,0.543
Tetrahedral,8.844,10.044,9.943,11.198,1.17,0.277,0.738,0.25,0.318,0.648
Tetrahedral,10.265,9.606,9.879,8.695,0.495,0.406,0.897,0.54,0.821,0.453
Tetrahedral,10.616,8.177,12.676,9.034,0.296,0.549,0.342,0.691,0.777,0.438
Tetrahedral,10.459,10.376,9.492,10.895,0.512,0.389,0.713,0.748,0.869,0.476
Tetrahedral,10.173,8.122,12.19,6.976,0.819,0.68,1.235,0.087,0.393,0.56
Tetrahedral,8.384,8.199,9.358,9.444,1.293,0.294,0.482,0.548,0.383,0.267
Tetrahedral,8.511,8.427,11.223,8.766,0.724,1.023,0.991,0.359,0.677,0.647
Tetrahedral,10.562,9.149,9.583,10.073,0.494,0.279,0.732,0.374,0.871,0.417
Tetrahedral,8.684,10.696,10.771,10.106,0.677,0.736,0.688,0.442,0.451,0.205
Tetrahedral,10.111,10.239,8.69,10.905,0.525,0.349,0.716,0.245,0.228,0.39
Tetrahedral,11.66,8.528,10.641,10.295,1.599,0.229,0.341,0.483,0.114,0.731
Tetrahedral,10.073,9.355,8.198,10.704,0.182,0.624,0.678,0.22,0.357,0.763
Tetrahedral,10.705,8.534,8.668,8.93,0.169,0.428,0.664,0.741,0.703,0.572
Tetrahedral,11.417,8.29,10.404,9.94,1.264,0.349,0.942,0.254,1.186,0.467
Tetrahedral,9.011,9.331,10.831,8.637,0.428,0.35,0.12,0.214,1.214,0.302
Tetrahedral,8.346,8.439,9.802,10.486,0.321,1.177,0.426,0.493,0.849,0.136
Tetrahedral,9.149,11.148,9.2,8.713,0.136,0.399,0.218,0.376,1.001,0.253
Tetrahedral,9.5,9.954,10.789,11.66,0.367,1.138,0.463,0.422,0.354,0.237
Tetrahedral,8.78,10.264,10.873,9.029,0.982,1.277,0.276,1.233,0.722,0.725
Tetrahedral,8.106,9.24,8.455,10.589,0.374,0.223,0.384,0.285,1.892,0.248
Tetrahedral,8.958,9.566,11.391,9.93,0.454,0.232,0.441,1.313,0.737,0.307
Tetrahedral,9.718,9.589,9.18,9.298,0.077,0.523,0.891,0.261,0.776,0.736
Tetrahedral,9.353,10.406,11.436,10.271,0.061,0.533,0.282,0.308,0.76,0.391
Tetrahedral,10.079,9.739,10.468,9.573,0.291,0.401,0.525,1.375,0.286,0.237
Tetrahedral,10.939,10.011,12.623,9.377,0.595,0.252,0.783,0.245,1.157,0.868
Tetrahedral,10.005,8.404,10.291,9.436,0.52,0.727,0.689,0.502,0.211,0.888
Tetrahedral,9.049,11.964,8.608,9.139,0.832,1.154,0.581,0.816,0.684,0.969
Tetrahedral,7.666,9.213,9.983,8.8,0.425,0.57,0.333,0.418,0.322,0.57
Tetrahedral,10.424,8.716,8.271,8.651,0.76,0.632,0.743,0.345,0.558,0.806
Tetrahedral,9.19,9.599,7.314,7.69,0.601,0.507,0.387,0.588,0.204,0.937
Tetrahedral,10.414,7.692,9.733,11.139,0.521,0.568,0.562,0.52,0.476,0.404
Tetrahedral,10.263,7.663,13.024,8.922,0.56,0.675,0.463,0.287,0.41,1.343
Tetrahedral,8.894,10.338,9.648,9.77,0.578,0.866,0.659,0.166,0.236,0.5
Tetrahedral,8.391,8.763,10.369,9.477,0.587,0.162,0.671,0.483,1.061,1.285
Tetrahedral,9.079,9.879,10.562,10.264,0.301,0.682,0.168,0.393,0.304,1.261
Tetrahedral,8.911,11.241,10.971,11.399,0.349,0.68,0.993,0.373,0.664,0.452
Tetrahedral,9.285,7.411,10.488,11.277,0.461,0.505,0.254,0.614,0.321,0.953
Tetrahedral,7.794,8.937,11.527,9.713,0.661,0.207,0.233,0.585,0.182,0.296
Tetrahedral,10.428,8.46,11.595,11.287,0.857,0.658,0.812,1.635,1.25,0.63
Tetrahedral,8.72,7.263,11.633,9.49,0.805,0.729,0.267,0.46,0.974,0.717
Tetrahedral,9.601,10.922,9.703,11.619,0.702,1.058,0.315,0.252,1.171,0.388
Tetrahedral,10.248,9.181,10.699,11.701,0.854,0.818,0.654,0.407,1.047,0.428
Tetrahedral,7.515,10.482,9.16,10.498,0.848,0.559,0.343,0.373,0.262,0.807
Tetrahedral,9.098,8.98,9.809,9.006,0.752,0.111,0.099,0.603,0.258,0.806
Tetrahedral,8.155,9.567,9.014,10.447,0.368,1.066,0.578,0.352,0.466,0.123
Tetrahedral,8.737,10.37,10.579,11.416,0.515,0.36,0.26,0.676,1.248,0.664
Tetrahedral,8.094,9.197,12.449,9.034,0.524,0.115,0.087,1.185,0.35,0.532
Tetrahedral,9.356,9.68,10.08,10.115,0.27,0.449,0.859,0.128,0.316,0.298
Tetrahedral,11.445,9.297,9.041,10.913,0.369,0.511,0.614,0.517,0.293,0.095
Tetrahedral,10.384,9.991,7.845,9.121,0.613,0.173,0.311,0.242,0.411,1.163
Tetrahedral,10.098,8.68,11.614,8.947,0.503,0.508,0.646,0.59,0.486,0.687
Tetrahedral,9.321,10.395,11.409,9.213,0.495,0.908,0.842,0.526,0.749,0.418
Tetrahedral,9.348,9.251,11.774,13.368,0.49,1.296,0.981,0.189,0.14,0.291
Tetrahedral,8.975,9.248,9.714,11.888,0.782,0.727,0.908,0.861,0.791,0.502
Tetrahedral,11.847,8.128,11.076,8.401,0.536,0.979,0.169,0.979,0.594,0.382
Tetrahedral,9.31,7.896,9.699,13.249,0.747,0.699,0.625,1.016,0.678,0.454
