Tetrahedral	Seesaw	V-trigonal-bipyramid
5.423	1.761	4.606
5.1	1.344	3.854
6.521	1.112	6.322
6.406	1.189	4.409
6.021	0.969	5.091
5.672	0.87	5.806
6.011	0.812	5.722
6.22	1.177	5.79
5.252	1.415	4.311
5.732	1.066	5.558
7.039	0.886	6.089
5.348	1.462	4.073
5.272	1.535	5.614
3.374	2.996	3.389
6.884	1.103	6.38
6.528	1.133	5.034
7.669	1.229	7.698
6.172	1.309	5.456
5.84	1.466	4.974
7.99	0.88	7.2
6.816	1.248	6.608
6.645	1.051	5.835
6.225	1.339	5.514
7.424	0.745	6.641
5.964	1.645	5.235
8.187	1.374	8.456
6.96	1.656	6.182
6.244	1.335	6.28
6.486	1.456	4.772
8.236	1.632	7.946
7.612	2.036	8.345
9.893	2.288	9.866
7.911	0.984	7.213
6.544	1.159	5.339
7.838	0.718	7.431
5.77	1.638	5.468
8.55	1.199	8.299
8.738	1.239	7.82
7.988	1.743	8.292
6.374	1.395	6.715
7.228	1.067	6.076
6.556	1.318	6.445
6.935	0.667	6.445
6.628	1.071	5.994
7.506	0.853	7.189
7.689	1.517	6.755
7.375	1.159	5.944
8.111	1.415	7.595
6.415	0.991	4.75
5.813	1.051	5.272
6.959	1.037	7.02
6.714	0.99	5.406
5.944	1.012	5.596
5.2	1.146	4.799
6.485	1.148	4.903
6.471	1.275	5.698
5.158	1.146	4.703
6.894	1.328	6.472
6.636	1.608	6.148
8.367	0.85	7.363
7.373	0.93	5.888
5.177	1.416	4.446
5.452	1.647	5.437
6.513	0.954	5.824
6.879	0.923	6.369
7.348	0.815	6.342
6.763	0.902	4.959
5.366	1.444	5.671
6.977	1.357	6.604
6.911	1.055	6.54
7.088	0.869	6.497
5.395	1.286	4.824
6.135	1.596	5.934
7.367	1.019	6.978
8.112	1.104	7.236
6.16	1.286	5.95
6.41	0.842	5.212
6.599	0.739	6.033
7.099	1.239	5.97
6.098	1.627	5.659
5.628	1.273	5.096
7.622	0.911	6.948
7.189	0.988	6.607
6.553	1.178	5.575
7.283	0.549	6.694
7.93	1.496	6.484
5.63	1.508	6.17
6.879	1.003	5.825
4.966	1.189	4.691
8.158	2.049	8.294
6.907	1.001	5.615
8.508	0.249	7.64
9.133	1.204	8.72
7.089	1.628	7.241
7.085	0.56	6.397
7.603	0.751	6.888
6.835	1.19	5.322
5.544	1.49	5.417
8.241	1.172	7.606
7.14	1.547	6.036
5.412	1.429	5.067
7.477	0.721	6.453
7.729	1.112	6.473
7.332	0.871	6.095
6.635	0.91	6.069
5.766	1.07	5.099
7.446	1.591	6.729
5.72	2.071	4.877
6.198	1.168	4.948
8.49	1.497	8.198
7.589	0.789	7.304
5.824	1.237	4.967
7.801	1.187	7.005
7.417	0.811	6.604
7.408	1.329	6.597
6.179	1.085	5.981
6.164	0.936	5.486
9.774	0.624	8.767
6.764	1.35	6.218
6.24	1.199	5.588
6.957	0.823	5.805
7.391	0.626	6.904
7.563	0.743	6.581
8.088	1.047	7.456
5.362	1.528	5.122
6.384	1.027	5.588
7.499	0.856	6.788
8.528	1.119	7.992
8.864	0.519	7.839
7.453	0.871	6.665
5.123	1.523	5.146
7.816	0.603	7.17
7.403	0.632	6.574
7.83	0.924	6.921
7.796	0.48	6.711
6.733	1.305	6.139
6.604	0.634	6.264
5.882	0.929	5.904
6.085	1.754	5.473
6.156	1.38	5.159
6.551	1.296	5.781
7.336	1.184	5.913
5.496	1.179	4.766
8.51	1.372	7.568
7.699	0.402	6.777
7.428	1.004	6.669
9.051	1.292	8.364
7.282	0.856	6.46
5.726	0.954	4.838
8.378	0.865	7.929
6.578	0.931	6.066
5.761	1.472	5.829
8.551	0.656	7.728
6.086	1.412	5.642
8.263	0.867	7.87
7.388	0.549	6.653
7.898	1.068	7.778
6.244	1.182	6.076
5.741	0.721	5.51
5.249	1.437	4.421
6.508	1.19	6.081
6.56	1.125	5.284
6.927	1.863	6.115
8.61	0.873	7.981
6.805	1.059	6.18
5.494	1.849	4.988
6.854	1.396	6.638
8.0	0.94	7.449
8.706	1.064	6.65
6.748	1.221	6.274
7.086	1.205	6.996
7.551	1.268	6.973
7.571	0.719	5.912
7.03	1.396	6.091
6.826	1.046	6.463
7.698	1.391	6.392
6.141	1.708	5.751
9.697	0.565	8.432
6.896	1.025	6.589
5.285	1.927	5.248
7.465	0.899	6.684
6.75	0.66	5.899
7.222	1.099	7.219
6.555	1.115	6.203
6.741	1.28	6.217
6.62	1.025	4.426
5.132	1.652	4.913
7.514	0.794	6.965
7.265	1.039	5.985
7.661	1.308	6.434
8.124	1.619	7.847
7.597	1.041	6.857
5.258	1.38	4.294
6.89	0.774	6.215
8.025	0.844	7.718
6.549	0.739	6.275
9.102	1.328	8.174
5.941	1.363	5.286
5.868	1.329	6.079
5.926	1.144	5.511
7.096	1.324	6.189
7.558	1.027	6.113
7.485	0.619	6.157
6.275	0.695	5.451
6.773	1.125	5.168
5.805	1.831	5.836
6.762	0.859	5.522
6.599	1.203	5.646
6.955	0.9	6.189
9.579	0.734	8.334
4.726	1.304	4.846
6.369	1.049	5.673
7.613	0.851	6.057
8.401	1.222	7.51
6.032	1.395	5.312
6.533	0.96	5.934
8.924	0.564	7.403
6.8	0.749	6.413
7.278	1.468	6.355
7.391	0.715	6.965
6.16	0.889	5.863
7.022	0.957	6.433
7.569	1.09	7.463
5.584	1.171	4.248
6.471	1.345	6.363
6.963	1.259	6.053
6.324	1.558	6.015
8.134	1.094	6.348
5.997	1.121	5.569
7.463	0.874	6.941
6.01	1.072	5.863
5.442	0.969	4.507
6.742	0.963	6.558
8.27	1.292	7.221
7.358	1.302	6.065
5.615	1.617	5.586
5.912	0.745	5.431
5.638	1.358	4.962
6.858	1.025	6.532
5.89	1.135	5.693
6.743	0.678	5.561
5.392	1.058	4.916
6.516	1.536	6.289
6.505	1.692	6.346
6.317	1.701	6.367
5.27	1.395	4.571
7.262	0.538	6.115
7.012	0.744	6.607
8.282	0.98	8.252
9.87	0.926	8.907
6.124	1.005	5.165
8.061	1.265	7.734
6.312	1.067	6.402
8.955	1.16	7.931
5.216	1.092	5.645
7.055	0.68	6.346
6.265	1.35	5.057
5.599	1.268	5.295
5.87	1.678	5.352
7.263	0.779	6.476
7.52	0.832	6.718
4.85	1.228	4.299
6.954	1.268	6.795
8.136	0.362	7.237
7.882	1.142	6.733
4.501	2.006	4.445
4.912	1.882	4.564
5.674	0.956	5.376
6.833	0.849	5.912
5.861	1.089	5.755
6.177	0.953	5.514
6.002	1.137	5.283
7.293	1.661	6.917
5.328	2.009	3.953
5.972	1.464	5.055
6.789	1.089	6.161
7.351	0.651	6.535
6.375	1.303	6.089
7.648	0.709	6.641
8.994	0.939	8.172
6.938	0.851	7.002
8.837	1.063	7.55
7.35	0.984	7.297
6.686	1.088	6.875
6.533	0.848	5.988
6.131	1.375	5.606
7.61	1.369	6.936
7.524	0.619	6.968
8.881	0.492	7.808
7.191	0.87	6.905
6.662	1.153	6.68
7.155	0.621	6.369
5.437	1.213	4.435
5.641	1.274	4.722
8.537	0.488	7.827
6.467	1.014	5.737
6.588	1.175	5.676
5.565	1.313	4.031
7.271	0.936	6.822
5.503	0.918	4.656
5.34	1.11	4.084
6.781	1.057	5.88
8.075	1.189	7.202
8.714	0.782	8.046
8.81	0.946	7.782
6.166	0.941	5.458
7.065	0.892	6.633
7.676	1.704	7.145
7.107	1.285	6.96
5.971	1.025	5.552
6.362	1.455	5.124
5.552	1.292	4.895
7.184	0.868	6.663
6.614	1.12	5.951
6.862	0.916	6.322
5.578	1.49	5.432
5.078	1.319	5.417
7.224	1.706	6.042
6.272	0.779	5.715
7.247	1.279	6.585
7.271	1.115	6.298
7.043	0.693	6.3
7.427	0.832	6.574
7.574	1.061	6.851
7.89	0.73	7.314
7.509	0.671	6.951
6.634	1.23	5.705
7.097	1.12	6.635
6.922	1.391	6.36
7.469	0.918	5.901
6.198	1.034	5.679
6.286	1.621	6.048
6.723	1.243	6.915
7.671	0.951	6.411
6.728	0.88	6.475
7.612	0.904	6.507
7.453	0.748	6.43
6.272	1.025	5.639
5.647	1.334	5.211
5.999	1.068	6.082
7.517	1.076	6.829
8.966	1.536	8.242
6.734	0.631	6.064
6.643	1.036	5.723
7.111	0.807	6.153
7.195	1.117	6.68
7.402	0.893	6.141
5.941	1.295	4.555
5.732	0.827	4.669
6.884	1.307	6.896
6.198	0.766	5.823
7.675	1.237	7.061
7.287	1.326	7.0
7.735	1.24	7.335
6.707	1.429	6.214
9.911	0.809	9.367
6.027	1.25	4.271
6.891	0.559	6.292
8.427	0.759	6.789
7.143	1.027	6.264
6.711	1.103	5.87
6.131	1.076	5.493
5.815	1.738	5.795
6.165	0.704	5.586
5.964	1.15	5.73
6.551	0.961	5.832
11.136	1.459	10.282
6.107	1.323	5.898
6.941	0.831	5.24
6.884	0.75	5.962
5.994	1.553	5.745
7.71	0.766	6.794
7.656	0.752	6.958
7.021	1.058	6.704
6.977	0.852	6.095
7.396	0.956	6.2
6.76	1.005	6.301
6.982	0.654	6.123
6.324	1.264	5.603
7.187	1.757	7.41
6.042	1.097	5.568
6.643	1.089	5.778
6.96	0.776	6.255
5.785	1.269	4.892
5.347	1.531	5.349
6.382	0.871	5.263
7.567	1.038	7.459
7.685	0.865	7.167
6.009	1.032	5.154
6.511	1.346	6.529
5.769	1.316	6.016
5.649	1.522	4.826
7.895	1.015	7.302
7.103	0.909	6.99
7.015	0.542	5.782
7.156	1.118	5.855
6.974	0.74	5.806
7.698	1.431	7.463
6.086	1.125	5.441
6.689	1.126	5.32
6.107	1.219	5.686
6.949	0.86	6.134
5.281	1.447	4.681
6.204	0.626	5.236
6.432	1.222	6.166
5.478	1.103	5.315
5.229	1.413	5.119
7.093	0.88	6.255
8.431	0.387	7.491
4.719	1.403	3.686
4.615	1.812	4.134
8.238	1.507	8.197
7.859	1.255	7.456
5.648	1.38	5.804
5.822	0.725	5.836
5.775	1.429	5.044
7.11	1.439	6.976
5.744	1.57	5.11
6.546	0.773	6.054
6.9	1.107	6.687
6.131	1.226	5.062
8.812	0.436	7.896
5.507	1.482	5.419
7.382	1.305	6.639
6.374	1.03	4.971
6.817	1.096	6.502
8.218	0.741	7.885
6.685	0.853	6.25
6.828	1.22	6.697
8.131	0.641	7.664
8.498	0.955	7.847
5.595	1.209	5.018
9.923	1.275	9.408
8.165	0.536	6.636
6.692	1.103	5.646
8.575	0.779	7.471
8.523	0.815	7.94
5.908	1.492	6.222
8.194	0.701	6.614
7.925	0.559	6.243
6.982	1.002	6.19
6.601	0.878	5.638
6.518	1.415	6.766
7.871	0.866	6.897
7.775	0.847	7.461
5.712	1.015	4.863
