Coordination,r1_c36,r2_c36,r3_c36,r1_a99sb*
Tetrahedral,8.565,8.565,8.565,0.124
Tetrahedral,10.564,8.775,10.751,0.653
Tetrahedral,8.984,9.856,9.167,0.669
Tetrahedral,13.354,10.107,7.361,0.587
Tetrahedral,8.623,9.229,10.294,1.311
Tetrahedral,9.01,8.025,8.822,0.468
Tetrahedral,7.971,8.334,11.137,0.157
Tetrahedral,10.557,9.126,11.977,0.351
Tetrahedral,12.311,11.353,8.954,0.199
Tetrahedral,8.596,9.131,9.782,0.747
Tetrahedral,9.153,7.99,7.637,0.605
Tetrahedral,11.256,9.077,7.526,0.402
Tetrahedral,8.671,8.958,8.752,0.288
Tetrahedral,8.684,10.723,9.556,7.122
Tetrahedral,8.54,7.993,9.175,2.843
Tetrahedral,9.042,9.175,9.444,2.178
Tetrahedral,8.5,9.361,7.605,1.9
Tetrahedral,8.514,8.809,10.9,5.487
Tetrahedral,8.406,9.67,9.874,4.974
Tetrahedral,9.334,10.282,9.996,1.385
Tetrahedral,8.195,9.18,11.949,1.701
Tetrahedral,8.578,8.01,11.315,3.037
Tetrahedral,8.446,9.44,9.608,2.023
Tetrahedral,9.901,8.827,8.047,2.447
Tetrahedral,9.707,9.857,8.651,2.997
Tetrahedral,8.794,7.836,9.105,1.52
Tetrahedral,8.845,9.704,9.979,2.793
Tetrahedral,9.565,10.005,11.298,0.925
Tetrahedral,8.779,8.401,11.462,2.718
Tetrahedral,10.148,10.116,9.037,0.254
Tetrahedral,10.271,8.387,9.565,1.634
Tetrahedral,10.324,10.593,11.806,5.827
Tetrahedral,10.172,9.367,9.084,2.426
Tetrahedral,10.628,10.094,9.016,2.871
Tetrahedral,10.635,6.598,10.533,2.341
Tetrahedral,10.608,9.533,10.626,2.147
Tetrahedral,11.534,9.22,12.978,1.712
Tetrahedral,10.345,10.361,10.419,2.931
Tetrahedral,12.145,12.064,11.172,2.588
Tetrahedral,9.542,11.639,11.511,8.784
Tetrahedral,8.085,11.872,10.443,10.185
Tetrahedral,11.531,8.749,8.884,8.997
Tetrahedral,9.933,10.487,8.828,7.445
Tetrahedral,7.655,7.415,9.853,8.318
Tetrahedral,8.807,10.427,10.187,7.31
Tetrahedral,9.615,7.78,12.95,7.921
Tetrahedral,9.685,7.74,10.109,2.095
Tetrahedral,7.719,8.821,9.055,2.26
Tetrahedral,11.202,9.812,10.125,2.776
Tetrahedral,12.979,7.404,13.648,1.642
Tetrahedral,12.03,8.361,14.885,1.183
Tetrahedral,9.742,9.716,12.404,0.4
Tetrahedral,12.516,7.973,10.157,2.573
Tetrahedral,11.568,8.652,9.148,2.313
Tetrahedral,10.494,9.692,10.314,0.798
Tetrahedral,8.246,9.858,8.789,1.47
Tetrahedral,9.468,10.699,9.977,2.45
Tetrahedral,9.789,7.368,10.561,2.237
Tetrahedral,8.252,12.287,9.974,2.623
Tetrahedral,9.47,10.061,10.604,1.238
Tetrahedral,13.991,9.955,9.398,3.328
Tetrahedral,9.96,9.37,7.398,1.512
Tetrahedral,9.876,9.847,10.995,1.104
Tetrahedral,9.103,9.155,9.515,2.558
Tetrahedral,10.622,8.586,10.135,4.642
Tetrahedral,12.674,9.001,10.898,1.777
Tetrahedral,10.58,7.544,11.516,2.524
Tetrahedral,10.449,7.729,10.964,1.744
Tetrahedral,7.785,8.206,9.807,2.539
Tetrahedral,11.342,7.702,9.911,2.307
Tetrahedral,11.053,9.315,10.642,2.554
Tetrahedral,10.545,8.953,9.349,0.316
Tetrahedral,11.666,8.968,9.778,1.965
Tetrahedral,11.651,9.444,8.433,1.395
Tetrahedral,9.288,9.358,8.368,5.434
Tetrahedral,8.231,8.155,12.103,2.471
Tetrahedral,8.63,9.719,9.586,1.829
Tetrahedral,9.095,9.152,8.634,6.369
Tetrahedral,8.79,8.263,6.542,1.638
Tetrahedral,12.491,10.006,11.138,1.297
Tetrahedral,10.173,8.73,11.397,2.442
Tetrahedral,8.944,10.184,9.046,4.687
Tetrahedral,11.198,7.295,10.444,2.887
Tetrahedral,9.755,8.663,8.938,3.251
Tetrahedral,10.686,9.602,10.684,1.025
Tetrahedral,11.317,9.013,11.642,1.784
Tetrahedral,10.846,8.631,8.82,2.313
Tetrahedral,9.473,11.639,10.759,3.312
Tetrahedral,10.85,10.347,8.981,2.116
Tetrahedral,9.613,9.271,9.767,2.306
Tetrahedral,10.562,8.142,8.43,2.086
Tetrahedral,9.818,8.462,11.183,3.049
Tetrahedral,8.725,10.583,8.464,2.047
Tetrahedral,8.969,8.299,9.226,1.96
Tetrahedral,10.554,9.989,10.817,1.959
Tetrahedral,10.315,9.713,9.522,2.301
Tetrahedral,11.61,8.036,9.667,2.001
Tetrahedral,10.462,9.364,10.088,2.738
Tetrahedral,10.56,8.185,11.487,1.353
Tetrahedral,10.244,10.676,12.675,3.23
Tetrahedral,9.513,10.898,11.15,1.893
Tetrahedral,9.094,8.37,9.505,1.76
