Coordination,r1_c36,r2_c36,r3_c36,r1_a99sb*
Tetrahedral,10.137,8.395,9.905,2.226
Tetrahedral,11.367,8.303,9.1,0.191
Tetrahedral,12.571,9.814,12.223,2.081
Tetrahedral,9.925,7.727,8.239,2.447
Tetrahedral,10.121,9.013,9.954,1.62
Tetrahedral,9.056,8.005,10.862,7.064
Tetrahedral,10.92,9.129,12.146,8.239
Tetrahedral,9.56,10.634,10.733,1.731
Tetrahedral,10.602,8.2,9.187,2.223
Tetrahedral,11.62,9.854,12.021,2.639
Tetrahedral,8.625,7.671,9.911,2.509
Tetrahedral,8.468,9.86,9.226,2.062
Tetrahedral,11.73,10.818,9.59,2.382
Tetrahedral,12.341,10.591,9.538,0.157
Tetrahedral,9.311,9.025,11.427,1.705
Tetrahedral,11.46,10.854,11.015,2.027
Tetrahedral,10.072,9.229,8.891,1.092
Tetrahedral,9.789,11.575,9.911,1.773
Tetrahedral,8.066,9.646,11.243,3.804
Tetrahedral,10.62,10.544,10.721,2.377
Tetrahedral,10.645,9.88,10.312,2.112
Tetrahedral,9.634,10.986,9.35,3.126
Tetrahedral,8.344,9.911,9.134,0.274
Tetrahedral,8.865,9.749,11.872,1.364
Tetrahedral,9.399,8.469,8.666,1.472
Tetrahedral,12.241,10.292,10.333,1.915
Tetrahedral,8.524,9.118,8.141,2.855
Tetrahedral,12.876,11.123,9.705,3.659
Tetrahedral,13.34,9.333,10.44,2.329
Tetrahedral,10.072,8.93,9.127,0.844
Tetrahedral,10.991,10.208,15.992,1.804
Tetrahedral,10.966,8.01,9.913,1.711
Tetrahedral,10.202,9.945,11.124,2.129
Tetrahedral,10.383,10.02,11.56,1.944
Tetrahedral,10.699,8.893,9.235,2.836
Tetrahedral,9.662,10.932,9.943,2.03
Tetrahedral,9.645,9.616,10.079,2.693
Tetrahedral,8.999,10.251,10.521,1.638
Tetrahedral,10.75,9.561,9.917,6.657
Tetrahedral,8.152,7.379,7.851,2.586
Tetrahedral,10.201,9.288,10.438,2.04
Tetrahedral,10.655,10.077,10.654,1.478
Tetrahedral,11.771,13.944,10.69,6.871
Tetrahedral,9.299,9.371,8.663,2.641
Tetrahedral,10.754,10.809,8.338,1.915
Tetrahedral,9.985,9.883,8.422,2.256
Tetrahedral,10.615,8.606,9.193,1.445
Tetrahedral,10.053,12.289,11.249,1.837
Tetrahedral,10.087,9.679,9.983,1.548
Tetrahedral,8.617,8.866,10.126,2.671
Tetrahedral,9.494,7.7,10.074,2.386
Tetrahedral,9.415,12.146,10.874,3.178
Tetrahedral,11.124,8.883,11.821,2.222
Tetrahedral,7.813,9.431,9.562,2.411
Tetrahedral,8.861,8.622,8.482,1.385
Tetrahedral,6.592,11.999,9.534,2.436
Tetrahedral,7.371,10.346,10.061,1.743
Tetrahedral,6.792,9.35,11.1,2.484
Tetrahedral,9.499,11.635,10.864,2.451
Tetrahedral,9.926,9.109,8.893,1.352
Tetrahedral,11.599,9.897,12.196,3.631
Tetrahedral,12.745,9.7,7.604,7.275
Tetrahedral,8.558,10.31,10.966,1.683
Tetrahedral,7.559,10.426,10.524,2.484
Tetrahedral,8.09,7.495,10.815,2.953
Tetrahedral,10.294,12.508,10.096,2.07
Tetrahedral,11.086,11.651,9.829,1.85
Tetrahedral,11.831,10.383,9.514,2.676
Tetrahedral,9.875,10.591,10.514,2.903
Tetrahedral,11.138,10.048,9.684,2.04
Tetrahedral,10.747,7.067,12.462,1.942
Tetrahedral,10.971,10.704,9.475,2.722
Tetrahedral,9.142,9.343,9.1,0.376
Tetrahedral,8.836,8.403,11.752,1.248
Tetrahedral,10.062,9.452,11.842,0.236
Tetrahedral,9.975,9.281,10.137,2.096
Tetrahedral,9.33,7.985,10.782,2.289
Tetrahedral,10.092,11.72,10.46,3.103
Tetrahedral,10.754,10.785,10.603,2.551
Tetrahedral,10.453,9.012,10.492,2.896
Tetrahedral,10.057,11.292,10.27,2.131
Tetrahedral,7.933,9.086,9.393,1.874
Tetrahedral,10.06,9.103,8.014,1.749
Tetrahedral,11.998,12.049,8.502,1.923
Tetrahedral,9.356,10.543,10.654,2.864
Tetrahedral,8.536,10.594,10.653,1.373
Tetrahedral,8.72,9.556,10.003,1.398
Tetrahedral,9.238,10.489,10.154,2.042
Tetrahedral,10.19,9.238,9.229,2.698
Tetrahedral,9.852,10.566,9.247,2.898
Tetrahedral,9.851,9.456,8.093,2.352
Tetrahedral,10.072,6.918,10.213,0.323
Tetrahedral,8.379,9.948,10.342,2.229
Tetrahedral,10.31,10.203,12.571,2.048
Tetrahedral,9.073,11.31,9.196,1.978
Tetrahedral,10.238,11.069,9.742,3.13
Tetrahedral,8.829,8.447,11.365,2.031
Tetrahedral,8.867,8.556,9.837,1.957
Tetrahedral,10.415,10.679,10.726,2.668
Tetrahedral,11.103,11.709,10.506,1.954
Tetrahedral,10.321,8.376,13.026,0.366
Tetrahedral,9.308,8.582,10.227,2.688
Tetrahedral,9.82,9.758,10.634,2.703
Tetrahedral,11.097,9.514,9.331,2.014
Tetrahedral,10.427,10.324,10.842,2.475
Tetrahedral,8.783,7.29,11.159,1.361
Tetrahedral,10.182,9.823,9.214,2.271
Tetrahedral,9.019,9.734,9.184,1.861
Tetrahedral,8.647,10.169,10.008,1.685
Tetrahedral,7.845,10.518,11.014,1.77
Tetrahedral,10.358,9.832,11.614,0.263
Tetrahedral,11.648,8.127,11.034,0.661
Tetrahedral,8.98,9.347,8.218,1.813
Tetrahedral,11.667,10.64,9.859,0.674
Tetrahedral,11.797,8.218,8.751,2.24
Tetrahedral,8.147,10.653,7.617,2.344
Tetrahedral,6.868,7.464,11.256,1.848
Tetrahedral,10.308,9.404,9.455,2.113
Tetrahedral,8.807,7.188,10.469,3.357
Tetrahedral,11.668,9.386,9.745,3.453
Tetrahedral,11.444,9.02,8.369,3.886
Tetrahedral,11.839,9.52,10.625,7.831
Tetrahedral,11.522,9.559,12.763,8.017
Tetrahedral,10.263,7.07,9.626,2.875
Tetrahedral,8.767,8.282,11.364,2.684
Tetrahedral,10.774,6.722,8.952,9.274
Tetrahedral,10.317,7.968,10.766,9.193
Tetrahedral,10.782,9.954,12.78,7.519
Tetrahedral,11.605,8.353,8.941,8.103
Tetrahedral,6.848,8.537,11.489,6.674
Tetrahedral,8.849,9.372,8.301,7.625
Tetrahedral,8.486,8.581,7.948,7.187
Tetrahedral,10.691,9.171,11.304,2.043
Tetrahedral,9.442,7.916,10.322,1.002
Tetrahedral,10.614,7.274,8.741,1.236
Tetrahedral,11.245,8.427,9.174,1.774
Tetrahedral,9.25,7.658,8.72,1.932
Tetrahedral,12.022,6.279,9.671,3.407
Tetrahedral,10.129,10.988,11.782,1.811
Tetrahedral,13.723,10.208,9.051,4.173
Tetrahedral,8.469,11.83,8.733,0.966
Tetrahedral,11.088,10.282,10.485,1.924
Tetrahedral,10.333,9.897,10.81,0.479
Tetrahedral,7.921,10.691,9.972,2.452
Tetrahedral,9.656,9.768,11.698,1.74
Tetrahedral,11.741,10.126,9.497,2.666
Tetrahedral,10.792,9.233,9.625,0.638
Tetrahedral,9.574,11.851,10.067,1.535
Tetrahedral,10.652,10.466,8.844,2.924
Tetrahedral,9.946,8.765,9.562,2.149
Tetrahedral,9.743,9.229,8.777,2.113
Tetrahedral,11.701,10.568,10.176,0.867
Tetrahedral,7.747,7.943,10.167,2.342
Tetrahedral,8.332,10.865,8.365,1.814
Tetrahedral,8.84,8.859,9.307,1.341
Tetrahedral,9.426,9.538,10.776,1.734
Tetrahedral,12.73,9.259,9.925,3.612
Tetrahedral,11.267,9.742,8.684,1.69
Tetrahedral,10.519,13.054,8.753,1.689
Tetrahedral,7.49,11.834,9.99,1.659
Tetrahedral,9.681,10.686,7.889,2.382
Tetrahedral,11.539,9.226,12.351,2.345
Tetrahedral,8.758,8.983,9.295,1.63
Tetrahedral,9.643,9.618,9.866,2.422
Tetrahedral,10.556,8.966,8.549,2.337
Tetrahedral,10.132,11.972,8.773,1.726
Tetrahedral,8.127,7.064,10.334,3.473
Tetrahedral,9.183,11.926,9.994,2.572
Tetrahedral,11.051,8.992,9.648,1.741
Tetrahedral,10.351,10.224,10.518,2.83
Tetrahedral,8.108,8.514,12.086,1.616
Tetrahedral,10.596,9.801,11.466,2.718
Tetrahedral,10.292,13.412,9.264,1.769
Tetrahedral,9.381,8.885,10.561,2.272
Tetrahedral,10.076,9.295,11.877,1.739
Tetrahedral,9.122,8.647,9.042,1.398
Tetrahedral,11.338,8.869,10.758,1.489
Tetrahedral,9.502,8.275,10.096,1.962
Tetrahedral,8.891,8.254,10.859,1.73
Tetrahedral,10.108,13.64,10.331,1.168
Tetrahedral,10.606,11.352,10.43,1.98
Tetrahedral,6.466,13.099,10.9,2.66
Tetrahedral,8.255,9.906,9.553,7.635
Tetrahedral,8.932,9.956,9.273,2.32
Tetrahedral,11.469,6.943,7.986,2.304
Tetrahedral,8.975,8.72,9.288,1.274
Tetrahedral,10.475,11.334,9.468,2.579
Tetrahedral,10.383,8.898,10.94,1.164
Tetrahedral,9.17,11.075,9.796,2.538
Tetrahedral,9.897,13.529,10.022,2.708
Tetrahedral,10.694,10.41,10.555,2.509
Tetrahedral,7.694,10.079,8.825,2.885
Tetrahedral,10.291,11.066,10.594,2.236
Tetrahedral,11.214,10.312,9.039,1.431
Tetrahedral,9.229,10.41,10.659,0.482
Tetrahedral,10.979,8.473,10.375,3.521
Tetrahedral,8.855,8.771,9.549,1.489
Tetrahedral,8.757,11.145,10.403,2.032
Tetrahedral,8.806,9.617,8.256,3.077
Tetrahedral,10.278,9.885,9.503,1.952
Tetrahedral,8.676,8.903,8.851,2.75
Tetrahedral,10.197,9.912,8.966,7.96
Tetrahedral,9.631,11.535,9.831,8.694
Tetrahedral,7.052,8.679,7.753,8.519
Tetrahedral,9.471,9.866,12.377,8.896
Tetrahedral,10.895,11.481,10.1,10.854
Tetrahedral,11.385,9.949,9.507,6.596
Tetrahedral,11.155,10.68,8.897,6.291
Tetrahedral,8.919,9.445,12.361,8.726
Tetrahedral,11.295,9.52,11.057,8.07
Tetrahedral,8.979,11.309,10.284,10.271
Tetrahedral,10.841,9.128,10.521,7.3
Tetrahedral,8.724,9.991,10.252,9.269
Tetrahedral,10.077,11.107,10.326,9.944
Tetrahedral,10.064,11.626,10.184,7.307
Tetrahedral,9.618,10.032,8.852,8.614
Tetrahedral,10.995,9.525,10.068,7.238
Tetrahedral,10.386,9.457,10.514,8.449
Tetrahedral,9.775,10.86,8.987,8.358
Tetrahedral,10.158,8.627,9.9,8.863
Tetrahedral,10.741,8.713,9.575,8.257
Tetrahedral,10.499,10.996,9.337,7.733
Tetrahedral,9.094,10.4,11.08,9.771
Tetrahedral,8.401,9.191,8.551,9.021
Tetrahedral,9.544,11.402,10.808,7.933
Tetrahedral,11.69,8.699,10.859,8.897
Tetrahedral,12.107,8.053,11.607,8.361
Tetrahedral,13.783,10.682,11.555,7.555
Tetrahedral,10.607,10.898,10.639,7.011
Tetrahedral,9.502,9.461,11.042,10.308
Tetrahedral,9.729,10.806,12.067,8.863
Tetrahedral,10.031,11.643,9.942,10.231
Tetrahedral,8.347,9.855,7.525,8.058
Tetrahedral,9.865,7.478,11.992,9.038
Tetrahedral,9.999,11.448,7.819,9.014
Tetrahedral,8.27,9.76,8.44,8.57
Tetrahedral,9.279,10.57,9.632,8.488
Tetrahedral,10.341,9.271,9.776,7.09
Tetrahedral,8.147,9.772,9.54,9.578
Tetrahedral,8.836,9.846,10.255,7.151
Tetrahedral,8.008,10.286,11.583,7.647
Tetrahedral,11.093,9.349,10.1,7.736
Tetrahedral,12.39,9.774,12.319,7.378
Tetrahedral,11.345,9.322,11.028,9.019
Tetrahedral,8.962,9.969,11.037,6.332
Tetrahedral,7.412,9.921,8.332,9.014
Tetrahedral,8.171,8.403,9.5,8.065
Tetrahedral,10.932,11.003,9.679,8.929
Tetrahedral,11.903,11.37,10.222,9.035
Tetrahedral,10.687,10.711,9.068,8.42
Tetrahedral,9.626,9.129,10.963,9.143
Tetrahedral,7.774,10.931,9.157,8.036
Tetrahedral,9.428,11.643,9.556,7.729
Tetrahedral,9.785,8.763,11.352,8.546
Tetrahedral,11.531,12.188,10.889,7.834
Tetrahedral,11.841,8.974,9.086,7.687
Tetrahedral,8.891,12.178,10.76,8.139
Tetrahedral,9.033,10.423,11.395,7.122
Tetrahedral,8.198,9.333,10.636,7.427
Tetrahedral,7.435,7.486,11.107,2.32
Tetrahedral,9.344,11.521,11.102,2.378
Tetrahedral,10.829,10.192,10.5,1.005
Tetrahedral,10.491,8.12,9.556,2.816
Tetrahedral,11.307,11.559,10.366,1.306
Tetrahedral,10.324,11.719,11.213,2.489
Tetrahedral,9.784,6.57,8.825,1.602
Tetrahedral,10.02,9.842,10.983,3.177
Tetrahedral,9.259,8.035,7.906,2.479
Tetrahedral,8.914,10.578,12.7,1.942
Tetrahedral,10.589,10.107,8.528,2.288
Tetrahedral,11.514,8.143,9.248,2.14
Tetrahedral,10.694,9.589,9.668,1.783
Tetrahedral,11.786,9.181,10.769,3.133
Tetrahedral,9.859,10.771,8.669,2.526
Tetrahedral,7.799,10.251,9.683,2.281
Tetrahedral,9.878,9.072,7.928,1.371
Tetrahedral,9.959,11.174,9.058,3.071
Tetrahedral,8.209,11.918,9.3,10.406
Tetrahedral,10.772,8.703,10.729,8.587
Tetrahedral,10.416,8.983,10.302,1.726
Tetrahedral,10.635,9.807,8.841,1.776
Tetrahedral,10.232,11.35,9.563,1.759
Tetrahedral,10.422,10.109,9.216,0.68
Tetrahedral,9.935,8.686,11.062,1.342
Tetrahedral,11.37,7.404,9.029,2.231
Tetrahedral,10.955,9.318,8.755,1.928
Tetrahedral,9.13,9.036,8.722,1.304
Tetrahedral,11.929,11.623,7.985,1.428
Tetrahedral,11.285,10.426,11.088,2.138
Tetrahedral,9.029,8.78,10.652,1.984
Tetrahedral,12.534,9.138,9.919,1.525
Tetrahedral,9.795,10.539,10.53,1.403
Tetrahedral,12.06,8.943,6.91,1.17
Tetrahedral,11.431,10.73,10.632,2.164
Tetrahedral,11.47,12.67,9.701,7.934
Tetrahedral,11.857,10.953,10.421,10.241
Tetrahedral,10.205,11.272,9.832,1.834
Tetrahedral,9.788,10.083,9.452,2.247
Tetrahedral,8.873,9.408,10.603,1.749
Tetrahedral,9.542,10.935,10.878,1.229
Tetrahedral,9.425,9.765,8.273,1.097
Tetrahedral,11.057,10.309,11.211,1.818
Tetrahedral,9.366,11.223,9.649,1.45
Tetrahedral,10.622,10.297,9.871,1.932
Tetrahedral,8.931,9.867,11.5,2.811
Tetrahedral,9.197,12.161,9.78,2.966
Tetrahedral,8.185,9.766,7.491,6.834
Tetrahedral,12.007,13.344,8.888,8.255
Tetrahedral,8.913,10.443,6.242,1.608
Tetrahedral,10.147,8.145,10.346,1.294
Tetrahedral,12.435,10.216,7.558,4.497
Tetrahedral,9.862,11.416,9.037,7.426
Tetrahedral,9.681,13.091,11.316,1.369
Tetrahedral,9.321,9.492,8.506,0.394
Tetrahedral,9.808,8.888,6.865,1.734
Tetrahedral,9.294,12.185,11.29,1.509
Tetrahedral,9.969,8.929,8.511,1.399
Tetrahedral,9.496,9.535,8.409,8.871
Tetrahedral,10.9,8.647,10.545,7.268
Tetrahedral,10.259,9.228,8.305,10.24
Tetrahedral,9.794,12.058,10.145,6.168
Tetrahedral,10.515,12.057,8.076,9.431
Tetrahedral,10.879,9.162,10.954,1.757
Tetrahedral,7.812,9.571,8.092,7.454
Tetrahedral,11.462,10.177,9.923,2.297
Tetrahedral,10.356,11.507,9.875,4.715
Tetrahedral,11.492,9.917,12.632,3.223
Tetrahedral,10.89,8.788,10.542,1.56
Tetrahedral,9.845,11.175,9.608,2.475
Tetrahedral,9.712,12.505,9.556,2.994
Tetrahedral,9.222,9.526,10.758,2.279
Tetrahedral,11.921,10.226,8.381,0.163
Tetrahedral,11.281,12.359,7.711,2.091
Tetrahedral,12.689,8.803,10.408,0.98
Tetrahedral,9.011,9.902,11.41,2.555
Tetrahedral,8.84,9.445,8.021,1.529
Tetrahedral,9.625,8.941,10.181,1.113
Tetrahedral,10.449,11.51,9.631,2.745
Tetrahedral,11.127,11.407,11.091,2.178
Tetrahedral,9.716,11.579,9.067,9.34
Tetrahedral,10.506,9.579,9.018,1.86
Tetrahedral,10.466,8.292,10.822,2.591
Tetrahedral,10.474,11.241,9.388,2.629
Tetrahedral,10.502,11.217,11.099,1.965
Tetrahedral,9.371,9.173,11.522,1.825
Tetrahedral,9.773,11.98,10.554,0.499
Tetrahedral,8.477,11.201,10.252,1.714
Tetrahedral,6.856,9.65,11.638,7.597
Tetrahedral,8.402,10.634,9.864,2.862
Tetrahedral,9.454,10.818,10.465,2.924
Tetrahedral,13.899,12.287,12.796,2.474
Tetrahedral,10.095,8.903,10.983,1.571
Tetrahedral,8.343,10.728,10.087,1.608
Tetrahedral,9.809,11.029,8.54,2.908
Tetrahedral,10.584,13.055,8.813,3.074
Tetrahedral,10.534,10.974,8.581,1.471
Tetrahedral,8.907,11,9.358,2.815
Tetrahedral,10.869,11.343,8.828,2.602
Tetrahedral,9.894,11.444,9.813,7.063
Tetrahedral,10.272,7.911,10.078,1.984
Tetrahedral,8.172,9.401,11.868,2.119
Tetrahedral,9.354,9.633,11.49,2.091
Tetrahedral,8.812,10.924,9.817,2.499
Tetrahedral,9.651,9.141,9.054,1.857
Tetrahedral,9.895,8.633,12.115,2.104
Tetrahedral,10.76,10.844,8.806,0.517
Tetrahedral,10.109,9.257,8.103,0.881
Tetrahedral,10.288,7.643,12.44,1.606
Tetrahedral,11.798,10.496,9.532,1.81
Tetrahedral,12.408,9.405,8.096,2.4
Tetrahedral,11.563,12.181,9.714,2.438
Tetrahedral,11.547,8.066,10.214,3.027
Tetrahedral,8.784,9.77,9.638,1.892
Tetrahedral,9.733,10.93,9.793,1.877
Tetrahedral,11.252,10.053,9.715,2.657
Tetrahedral,10.764,8.244,11.25,3.033
Tetrahedral,11.374,9.903,7.804,0.466
Tetrahedral,11.199,9.509,10.583,0.476
Tetrahedral,11.824,12.081,12.329,0.981
Tetrahedral,10.797,10.966,8.705,0.734
Tetrahedral,10.902,10.126,9.896,0.667
Tetrahedral,9.554,10.363,9.654,0.587
Tetrahedral,10.682,12.341,9.547,1.423
Tetrahedral,9.349,9.614,9.884,0.759
Tetrahedral,11.262,9.083,13.062,0.523
Tetrahedral,8.48,9.297,10.535,0.174
Tetrahedral,11.524,8.594,10.996,0.592
Tetrahedral,10.505,9.096,10.36,1.901
Tetrahedral,9.419,9.453,12.022,0.765
Tetrahedral,8.507,9.803,9.269,0.224
Tetrahedral,11.816,7.475,10.264,0.186
Tetrahedral,8.324,11.711,9.74,0.719
Tetrahedral,10.088,11.088,9.486,0.767
Tetrahedral,9.228,10.666,8.921,0.711
Tetrahedral,9.944,13.043,12.181,0.435
Tetrahedral,10.972,13.881,10.329,1.52
Tetrahedral,9.891,12.264,13.61,1.086
Tetrahedral,9.368,9.174,11.694,0.701
Tetrahedral,9.608,9.032,10.459,0.342
Tetrahedral,10.946,13.31,10.983,0.568
Tetrahedral,9.94,8.56,9.686,0.83
Tetrahedral,13.059,10.373,8.805,0.275
Tetrahedral,10.429,7.475,9.843,0.553
Tetrahedral,10.345,11.565,10.004,0.143
Tetrahedral,10.907,10.832,10.288,2.572
Tetrahedral,8.862,10.787,8.99,0.305
Tetrahedral,9.716,10.136,7.963,0.351
Tetrahedral,8.711,11.081,9.099,0.887
Tetrahedral,11.789,9.914,10.205,0.434
Tetrahedral,10.392,10.159,12.057,0.39
Tetrahedral,11.541,10.674,12.258,1.308
Tetrahedral,8.793,10.482,8.504,0.717
Tetrahedral,10.357,8.587,10.598,1.455
Tetrahedral,8.656,10.809,10.86,0.936
Tetrahedral,7.458,11.037,9.444,1.234
Tetrahedral,8.767,10.048,9.408,0.216
Tetrahedral,9.052,9.541,12.57,0.2
Tetrahedral,10.944,9.663,11.238,0.456
Tetrahedral,11.717,10.018,11.334,0.953
Tetrahedral,10.659,9.401,10.821,0.269
Tetrahedral,11.172,6.128,9.469,0.445
Tetrahedral,12.927,9.792,8.637,0.961
Tetrahedral,9.98,8.236,10.043,0.401
Tetrahedral,8.992,7.842,11.056,0.784
Tetrahedral,11.793,8.642,12.502,0.281
Tetrahedral,10.984,10.094,11.298,0.638
Tetrahedral,11.495,7.855,12.028,0.531
Tetrahedral,10.698,9.898,8.199,1.233
Tetrahedral,10.731,10.562,9.964,0.405
Tetrahedral,11.388,12.645,10,0.626
Tetrahedral,10.35,8.738,13.581,0.226
Tetrahedral,9.323,11.682,9.952,0.524
Tetrahedral,9.065,10.858,12.395,0.125
Tetrahedral,10.615,11.5,10.932,0.622
Tetrahedral,9.339,10.271,10.768,0.581
Tetrahedral,9.318,11.311,11.491,3.423
Tetrahedral,10.349,9.828,9.4,0.412
Tetrahedral,9.543,11.212,10.333,0.669
Tetrahedral,8.657,9.135,11.723,0.767
Tetrahedral,10.372,8.009,8.693,0.824
Tetrahedral,9.013,9.115,11.887,0.777
Tetrahedral,10.521,7.876,10.788,0.781
Tetrahedral,10.915,8.832,11.465,0.285
Tetrahedral,9.524,7.345,10.212,0.839
Tetrahedral,8.157,10.955,11.082,0.922
Tetrahedral,10.743,8.725,9.874,0.432
Tetrahedral,10.767,9.782,11.922,2.514
Tetrahedral,12.295,9.071,10.273,0.82
Tetrahedral,9.18,10.395,9.883,0.395
Tetrahedral,8.854,9.218,11.28,1.234
Tetrahedral,10.375,8.415,8.783,0.197
Tetrahedral,8.594,8.785,13.121,1.104
Tetrahedral,11.155,9.35,9.768,0.743
Tetrahedral,9.631,8.96,10.311,1.072
Tetrahedral,11.843,9.096,11.035,0.566
Tetrahedral,8.585,6.701,8.95,1.373
Tetrahedral,11.45,8.851,10.991,0.744
Tetrahedral,10.314,9.036,9.474,1.003
Tetrahedral,10.061,7.078,7.492,1.615
Tetrahedral,11.605,7.775,10.554,0.295
Tetrahedral,10.816,9.926,9.661,2.097
Tetrahedral,9.641,9.901,8.282,2.173
Tetrahedral,8.773,7.768,7.948,0.457
Tetrahedral,9.974,6.389,10.994,0.496
Tetrahedral,10.129,8.059,9.653,0.908
Tetrahedral,13.009,11.499,9.424,0.997
Tetrahedral,9.978,10.22,9.027,0.702
Tetrahedral,8.974,9.684,9.959,0.625
Tetrahedral,10.475,8.147,12.176,0.667
Tetrahedral,11.507,10.324,9.067,0.385
Tetrahedral,10.829,7.382,8.559,0.616
Tetrahedral,11.906,7.436,7.242,1.152
Tetrahedral,8.81,7.674,11.596,0.803
Tetrahedral,10.709,8.175,10.349,1.168
Tetrahedral,9.459,6.441,9.648,0.556
Tetrahedral,11.089,7.584,11.279,0.661
Tetrahedral,10.416,8.664,10.873,0.439
Tetrahedral,9.597,10.288,9.358,0.39
