Coordination,r1_c36,r2_c36,r3_c36
ZF1,2.187,2.187,2.187
ZF1,1.584,1.285,1.308
ZF1,0.94,1.326,1.198
ZF1,1.581,1.447,1.205
ZF1,0.863,1.512,1.475
ZF1,1.928,1.236,1.593
ZF1,1.598,1.257,1.176
ZF1,1.201,1.44,1.376
ZF1,1.654,1.095,1.17
ZF1,2.186,1.535,1.515
ZF1,2.952,1.246,1.469
ZF1,0.99,1.786,1.929
ZF1,1.744,1.502,1.184
ZF1,1.76,1.236,1.263
ZF1,1.393,1.583,1.826
ZF1,1.478,1.697,1.026
ZF1,1.819,0.939,1.926
ZF1,2.005,1.064,1.173
ZF1,1.857,1.76,1.632
ZF1,1.373,0.9,1.315
ZF1,1.623,1.629,1.676
ZF1,1.588,0.752,1.793
ZF1,2.268,1.875,1.364
ZF1,1.38,1.205,1.844
ZF1,0.899,0.779,1.604
ZF1,1.6,1.545,1.66
ZF1,1.294,1.279,1.905
ZF1,1.617,1.103,0.979
ZF1,1.577,1.367,1.524
ZF1,1.494,1.075,0.989
ZF1,1.139,1.698,1.23
ZF1,1.446,1.148,1.576
ZF1,1.143,1.439,1.351
ZF1,1.544,1.52,1.92
ZF1,2.108,1.941,2.214
ZF1,1.434,1.614,1.072
ZF1,1.295,1.525,1.513
ZF1,1.62,1.545,0.863
ZF1,1.585,2.224,1.34
ZF1,2.217,1.653,1.741
ZF1,2.127,1.748,1.253
ZF1,1.159,1.932,1.166
ZF1,1.051,1.832,1.322
ZF1,1.543,3.091,0.967
ZF1,1.04,1.707,1.266
ZF1,1.714,1.937,1.277
ZF1,1.251,1.826,1.851
ZF1,1.374,1.672,1.592
ZF1,1.416,1.838,1.354
ZF1,1.847,1.637,1.741
ZF1,1.073,1.687,1.698
ZF1,1.215,1.7,1.524
ZF1,1.71,1.305,1.143
ZF1,1.657,1.754,1.924
ZF1,1.157,1.553,1.575
ZF1,2.432,1.132,1.735
ZF1,0.958,2.9,0.985
ZF1,1.534,1.622,1.291
ZF1,2.307,1.516,2.218
ZF1,1.137,1.219,1.194
ZF1,1.655,1.415,1.916
ZF1,1.248,1.363,3.034
ZF1,1.215,1.627,1.05
ZF1,0.912,1.506,1.038
ZF1,1.951,1.606,1.28
ZF1,1.649,1.404,2.159
ZF1,1.178,1.716,1.998
ZF1,1.268,1.267,1.537
ZF1,1.791,1.768,0.907
ZF1,1.53,2.067,1.16
ZF1,1.068,2.062,1.267
ZF1,1.301,1.875,1.099
ZF1,1.622,1.344,1.428
ZF1,1.365,2.069,0.729
ZF1,1.545,1.617,1.608
ZF1,1.464,1.435,1.265
ZF1,1.451,1.29,1.001
ZF1,1.026,1.363,1.29
ZF1,1.044,2.16,1.813
ZF1,1.564,1.304,1.089
ZF1,1.12,1.839,1.551
ZF1,1.559,0.932,1.01
ZF1,1.002,1.337,1.251
ZF1,1.61,1.283,1.055
ZF1,1.425,1.871,1.684
ZF1,1.699,1.861,1.68
ZF1,1.395,1.542,1.212
ZF1,1.422,1.266,1.438
ZF1,1.427,1.792,1.416
ZF1,1,1.642,1.573
ZF1,1.162,1.522,2.181
ZF1,1.379,1.377,1.974
ZF1,1.556,1.724,1.539
ZF1,1.952,1.467,1.669
ZF1,1.978,1.264,1.605
ZF1,1.719,1.662,1.548
ZF1,1.202,1.385,1.948
ZF1,1.378,1.658,1.375
ZF1,2.005,1.51,1.478
ZF1,1.213,1.588,1.241
