Coordination,r1_c36,r2_c36,r3_c36
ZF1,1.361,1.821,1.505
ZF1,1.606,1.877,1.876
ZF1,1.46,1.331,1.567
ZF1,2.146,1.488,1.171
ZF1,1.763,1.425,1.397
ZF1,1.335,1.45,1.626
ZF1,1.185,1.509,1.625
ZF1,2.216,1.777,0.691
ZF1,1.071,1.532,1.819
ZF1,1.143,1.585,1.356
ZF1,1.73,0.842,1.029
ZF1,1.079,1.481,1.503
ZF1,1.634,1.541,1.119
ZF1,1.228,1.698,1.378
ZF1,1.872,1.083,2.404
ZF1,1.963,1.637,1.365
ZF1,1.288,1.32,1.502
ZF1,1.501,1.286,1.408
ZF1,0.764,1.623,1.736
ZF1,1.94,1.388,0.993
ZF1,1.142,1.865,1.096
ZF1,1.186,1.568,1.488
ZF1,1.023,1.759,1.415
ZF1,0.877,1.578,1.831
ZF1,1.153,1.759,1.697
ZF1,1.324,1.77,2.22
ZF1,1.39,1.091,1.211
ZF1,1.371,0.984,1.291
ZF1,1.603,1.292,1.264
ZF1,1.756,2.541,1.892
ZF1,1.178,1.477,1.675
ZF1,1.455,1.804,1.146
ZF1,1.175,1.322,2.06
ZF1,1.634,1.817,1.238
ZF1,1.267,1.695,2.19
ZF1,1.742,2.151,1.44
ZF1,1.603,1.106,1.706
ZF1,1.639,1.364,0.898
ZF1,1.669,1.577,1.109
ZF1,1.421,1.161,1.937
ZF1,1.609,1.325,1.273
ZF1,2.087,1.379,2.051
ZF1,1.574,1.551,1.992
ZF1,1.246,1.214,1.884
ZF1,2.141,1.344,2.089
ZF1,1.986,1.34,1.253
ZF1,1.869,1.468,1.738
ZF1,1.247,1.694,0.94
ZF1,1.697,1.075,0.918
ZF1,1.235,1.197,1.537
ZF1,1.846,0.789,1.569
ZF1,1.558,1.814,1.329
ZF1,1.249,1.377,1.192
ZF1,1.429,1.459,1.812
ZF1,1.677,1.462,1.238
ZF1,2.28,2.04,1.709
ZF1,2.024,2.428,1.04
ZF1,1.896,1.939,1.71
ZF1,1.854,1.136,0.928
ZF1,1.384,1.435,2.464
ZF1,0.973,1.321,1.522
ZF1,1.811,1.613,1.558
ZF1,1.686,1.476,1.023
ZF1,2.047,1.064,1.873
ZF1,1.824,1.139,1.141
ZF1,1.668,1.884,1.21
ZF1,1.143,1.083,1.274
ZF1,0.802,1.637,1.62
ZF1,1.408,1.392,1.749
ZF1,1.516,1.308,1.27
ZF1,2.009,1.28,2.037
ZF1,1.511,1.446,1.492
ZF1,1.113,2.077,2.059
ZF1,1.408,1.344,1.765
ZF1,1.808,1.755,1.979
ZF1,1.429,1.606,1.629
ZF1,2.229,1.409,1.339
ZF1,1.785,2.113,1.587
ZF1,1.418,1.18,1.438
ZF1,1.161,0.885,2.073
ZF1,0.973,1.318,1.349
ZF1,1.387,1.527,1.432
ZF1,0.776,1.021,1.503
ZF1,1.702,1.593,1.917
ZF1,0.716,1.764,1.666
ZF1,1.677,1.431,1.359
ZF1,2.051,1.342,1.329
ZF1,1.1,1.63,1.527
ZF1,0.953,2.247,1.487
ZF1,1.013,1.843,1.688
ZF1,1.563,1.521,0.891
ZF1,1.636,1.529,1.369
ZF1,1.145,1.4,1.622
ZF1,1.56,2.067,1.068
ZF1,1.417,1.391,1.523
ZF1,1.428,1.308,1.847
ZF1,1.928,1.86,1.401
ZF1,1.265,1.906,1.652
ZF1,1.339,1.697,1.934
ZF1,1.87,1.938,1.453
ZF1,1.703,1.103,1.825
ZF1,1.121,1.516,0.984
ZF1,1.469,1.021,2.115
ZF1,2.062,1.538,1.22
ZF1,1.121,1.615,1.252
ZF1,1.469,0.978,0.996
ZF1,1.429,1.353,1.362
ZF1,1.116,1.935,1.249
ZF1,1.37,0.85,1.096
ZF1,1.675,1.527,1.214
ZF1,1.161,1.328,1.593
ZF1,1.585,1.29,1.143
ZF1,1.251,2.099,1.501
ZF1,0.928,1.65,0.931
ZF1,1.604,1.167,1.496
ZF1,1.606,0.657,1.53
ZF1,1.549,2.097,1.421
ZF1,1.426,1.695,1.612
ZF1,2.179,1.648,1.114
ZF1,1.554,1.235,1.43
ZF1,1.158,1.438,1.558
ZF1,1.713,1.218,1.729
ZF1,2.035,1.269,1.408
ZF1,1.35,1.211,2.015
ZF1,1.161,1.103,1.723
ZF1,1.103,1.712,0.986
ZF1,1.552,2.07,1.84
ZF1,0.983,2.989,0.831
ZF1,1.3,2.191,1.313
ZF1,1.275,1.504,1.263
ZF1,1.597,2.507,1.546
ZF1,1.66,1.962,1.613
ZF1,1.064,2.123,1.429
ZF1,1.223,1.744,1.473
ZF1,1.621,1.734,1.926
ZF1,1.043,2.075,1.04
ZF1,1.924,1.872,1.169
ZF1,1.092,1.839,1.757
ZF1,1.482,1.546,2.188
ZF1,1.659,2.092,1.427
ZF1,1.435,1.042,1.049
ZF1,1.528,1.489,1.594
ZF1,1.849,1.511,1.182
ZF1,2.045,2.197,1.507
ZF1,1.517,1.058,0.994
ZF1,1.901,1.411,1.322
ZF1,1.732,1.666,1.476
ZF1,1.48,2.248,1.115
ZF1,1.073,1.596,1.439
ZF1,1.057,1.541,2.03
ZF1,1.878,1.828,1.65
ZF1,1.393,1.319,1.074
ZF1,1.285,0.952,1.546
ZF1,1.884,1.982,1.37
ZF1,1.763,1.756,1.116
ZF1,1.618,1.984,1.96
ZF1,1.103,1.038,1.522
ZF1,1.858,1.976,1.728
ZF1,1.949,1.705,2.255
ZF1,1.503,1.364,1.872
ZF1,1.914,2.425,1.734
ZF1,1.637,1.196,0.994
ZF1,1.105,1.724,1.153
ZF1,0.712,1.511,1.73
ZF1,1.197,1.186,0.882
ZF1,1.511,1.919,2.733
ZF1,1.548,1.919,1.651
ZF1,1.348,1.114,1.554
ZF1,1.55,1.809,1.825
ZF1,1.875,1.768,1.103
ZF1,1.135,1.566,1.306
ZF1,1.421,2.153,1.589
ZF1,1.68,1.879,1.555
ZF1,1.496,0.985,1.397
ZF1,1.322,1.661,1.613
ZF1,1.05,1.528,1.905
ZF1,1.572,1.306,2.033
ZF1,2.756,1.853,2.345
ZF1,1.521,1.471,2.315
ZF1,1.538,1.416,1.13
ZF1,1.642,1.765,1.797
ZF1,1.529,1.833,2.014
ZF1,1.593,1.115,1.366
ZF1,1.522,1.194,1.547
ZF1,1.297,1.747,1.337
ZF1,1.589,0.892,1.14
ZF1,1.268,1.827,1.551
ZF1,1.177,1.31,1.499
ZF1,1.328,1.328,1.582
ZF1,1.437,1.309,1.961
ZF1,1.896,1.166,1.356
ZF1,1.609,1.445,1.214
ZF1,1.545,0.954,1.948
ZF1,1.426,1.37,1.297
ZF1,1.034,1.421,1.093
ZF1,1.304,1.692,0.904
ZF1,1.67,1.848,1.346
ZF1,1.166,1.54,1.092
ZF1,1.821,1.273,1.459
ZF1,1.75,1.157,1.155
ZF1,1.114,2.279,1.15
ZF1,1.373,1.233,1.414
ZF1,1.714,2.33,1.783
ZF1,1.914,2.921,2.365
ZF1,1.283,1.997,1.232
ZF1,1.695,1.465,1.235
ZF1,1.677,1.496,1.219
ZF1,1.555,1.764,1.565
ZF1,1.148,1.532,1.612
ZF1,1.418,1.049,1.276
ZF1,1.363,1.99,1.35
ZF1,1.874,1.842,1.233
ZF1,1.116,1.73,1.169
ZF1,1.865,1.862,2.264
ZF1,1.676,1.326,1.274
ZF1,1.505,1.279,1.43
ZF1,1.579,2.361,1.056
ZF1,2.6,2.032,1.006
ZF1,1.652,2.159,2.148
ZF1,1.292,0.985,1.495
ZF1,2.013,1.336,1.468
ZF1,1.136,1.674,1.49
ZF1,1.453,0.831,0.861
ZF1,1.143,1.489,1.614
ZF1,1.369,1.308,1.189
ZF1,1.394,2.264,1.705
ZF1,1.413,1.091,1.173
ZF1,1.793,2.363,1.418
ZF1,2.323,1.82,1.257
ZF1,1.728,1.804,2.327
ZF1,1.16,1.403,1.506
ZF1,1.639,1.604,1.424
ZF1,1.152,1.577,1.251
ZF1,1.368,1.295,0.8
ZF1,1.228,1.688,1.152
ZF1,1.352,1.131,1.971
ZF1,2.516,0.98,1.157
ZF1,1.264,1.463,1.518
ZF1,1.261,1.387,0.793
ZF1,1.272,1.789,1.614
ZF1,1.335,1.213,1.907
ZF1,1.161,1.393,1.387
ZF1,1.754,1.202,1.43
ZF1,1.811,1.124,0.914
ZF1,1.821,1.119,1.316
ZF1,1.86,1.045,1.162
ZF1,1.184,1.326,1.404
ZF1,1.648,1.604,1.716
ZF1,1.464,1.611,1.658
ZF1,1.52,1.398,1.906
ZF1,1.342,1.814,1.477
ZF1,1.227,0.768,1.911
ZF1,1.609,1.549,1.351
ZF1,1.489,1.678,1.46
ZF1,1.198,1.614,1.247
ZF1,1.309,1.418,2.205
ZF1,1.696,1.538,1.821
ZF1,1.938,1.274,0.885
ZF1,1.294,1.314,1.537
ZF1,2.161,1.068,1.226
ZF1,1.189,1.349,1.316
ZF1,1.213,1.352,1.13
ZF1,1.985,1.119,1.56
ZF1,1.668,1.279,1.636
ZF1,1.197,1.216,1.325
ZF1,1.101,1.321,1.416
ZF1,1.731,1.437,1.463
ZF1,1.525,1.761,1.31
ZF1,1.252,0.903,1.478
ZF1,1.969,0.985,1.377
ZF1,1.445,1.405,1.444
ZF1,1.052,1.274,1.599
ZF1,1.158,0.996,1.364
ZF1,2.072,1.72,1.203
ZF1,1.458,1.637,1.404
ZF1,1.446,1.282,1.582
ZF1,2.835,1.243,1.535
ZF1,1.662,1.055,1.964
ZF1,1.505,1.252,1.448
ZF1,2.101,1.07,1.664
ZF1,1.801,1.437,1.331
ZF1,1.71,1.144,1.484
ZF1,1.381,1.494,1.373
ZF1,1.301,1.545,1.215
ZF1,1.474,1.212,1.364
ZF1,1.794,1.541,1.46
ZF1,1.466,1.291,1.878
ZF1,2.085,1.62,1.314
ZF1,1.388,0.975,1.945
ZF1,1.173,2.571,1.898
ZF1,1.494,1.207,1.508
ZF1,1.722,1.245,1.312
ZF1,1.311,1.687,1.732
ZF1,1.261,1.679,2.033
ZF1,2.061,1.884,1.762
ZF1,1.722,1.441,1.44
ZF1,1.714,1.514,0.965
ZF1,1.143,2.113,1.226
ZF1,1.21,1.08,0.972
ZF1,1.801,1.337,1.433
ZF1,1.943,1.769,1.427
ZF1,1.614,1.481,1.237
ZF1,1.113,1.268,2.238
ZF1,2.249,1.646,1.915
ZF1,1.229,1.501,1.686
ZF1,1.219,1.264,1.811
ZF1,1.646,0.98,1.072
ZF1,1.59,1.768,1.575
ZF1,1.386,1.616,2.1
ZF1,1.149,2.359,1.096
ZF1,1.542,1.201,1.546
ZF1,1.477,1.814,1.769
ZF1,1.617,2.356,2.366
ZF1,1.432,1.216,2.081
ZF1,1.636,2.106,1.301
ZF1,1.546,0.869,1.028
ZF1,1.102,1.817,1.782
ZF1,1.507,1.35,1.648
ZF1,1.778,1.331,1.644
ZF1,1.098,1.342,1.139
ZF1,1.339,1.581,1.18
ZF1,1.383,2.059,1.773
ZF1,1.109,1.614,1.353
ZF1,1.936,1.456,2.068
ZF1,1.117,2.389,0.86
ZF1,1.21,1.698,1.593
ZF1,1.449,1.235,1.575
ZF1,1.276,1.849,1.306
ZF1,1.891,1.362,1.774
ZF1,1.458,1.22,1.339
ZF1,2.079,1.488,1.514
ZF1,1.415,1.324,1.436
ZF1,1.705,1.764,1.566
ZF1,1.446,1.138,2.942
ZF1,1.587,2.1,1.771
ZF1,1.678,1.294,1.504
ZF1,1.617,1.733,1.234
ZF1,1.801,1.97,1.644
ZF1,1.214,1.601,1.258
ZF1,1.318,2.538,1.294
ZF1,0.925,1.43,1.205
ZF1,1.823,1.585,1.987
ZF1,1.73,1.777,1.163
ZF1,2.709,2.521,1.85
ZF1,1.453,2.276,2.636
ZF1,1.817,1.71,1.498
ZF1,1.226,1.119,0.894
ZF1,1.225,1.522,1.874
ZF1,1.851,1.202,1.937
ZF1,2.262,1.699,1.457
ZF1,1.449,1.263,1.451
ZF1,2.026,1.727,1.196
ZF1,1.895,1.287,1.833
ZF1,1.435,1.883,1.827
ZF1,1.58,1.69,1.113
ZF1,1.19,2.174,1.206
ZF1,1.184,2.234,1.697
ZF1,1.463,1.346,1.344
ZF1,1.138,1.274,1.385
ZF1,1.604,1.648,1.569
ZF1,1.647,0.897,1.22
ZF1,0.761,1.338,0.998
ZF1,1.473,1.558,1.918
ZF1,1.354,1.709,1.306
ZF1,1.491,1.722,1.434
ZF1,1.539,1.75,2.117
ZF1,1.071,1.463,1.431
ZF1,1.269,1.409,1.409
ZF1,1.061,1.611,1.69
ZF1,1.15,1.079,1.591
ZF1,2.278,1.697,1.895
ZF1,2.037,1.505,1.623
ZF1,2.179,1.208,1.726
ZF1,1.897,1.348,1.404
ZF1,1.037,1.009,1.303
ZF1,2.077,1.658,1.104
ZF1,1.373,1.316,1.461
ZF1,1.162,1.524,1.211
ZF1,1.546,1.943,1.218
ZF1,1.904,1.264,1.244
ZF1,1.487,0.958,1.879
ZF1,1.993,0.857,1.88
ZF1,1.697,0.988,1.257
ZF1,1.82,2.102,1.232
ZF1,1.306,1.562,1.64
ZF1,1.92,1.221,1.735
ZF1,1.663,2.005,1.115
ZF1,2.345,1.2,1.599
ZF1,1.806,1.223,1.194
ZF1,1.09,1.78,1.265
ZF1,1.223,1.871,1.278
ZF1,1.01,1.599,1.975
ZF1,1.827,2.027,1.123
ZF1,1.664,1.42,1.286
ZF1,1.402,1.464,1.528
ZF1,1.174,1.57,1.201
ZF1,1.33,0.986,1.811
ZF1,1.426,1.632,1.479
ZF1,1.392,1.115,2.277
ZF1,1.143,1.638,1.271
ZF1,1.621,1.487,1.92
ZF1,1.573,1.265,1.49
ZF1,1.351,1.179,1.137
ZF1,1.242,1.257,1.107
ZF1,1.676,1.459,1.235
ZF1,1.099,1.97,1.438
ZF1,1.658,1.199,1.45
ZF1,1.147,1.043,1.033
ZF1,2.561,1.596,1.556
ZF1,1.425,1.116,0.979
ZF1,2.003,1.751,1.374
ZF1,1.664,1.301,1.44
ZF1,1.053,1.803,2.054
ZF1,1.253,1.591,1.532
ZF1,1.816,1.875,1.311
ZF1,1.355,1.07,1.91
ZF1,1.661,1.968,1.121
ZF1,1.638,1.304,1.546
ZF1,1.034,1.781,1.704
ZF1,1.582,1.439,1.11
ZF1,1.312,1.938,1.151
ZF1,1.793,1.384,1.285
ZF1,1.502,1.485,1.17
ZF1,1.962,1.549,1.369
ZF1,0.781,2.127,1.351
ZF1,1.185,1.452,2.356
ZF1,2.039,2.044,1.621
ZF1,1.888,1.533,1.48
ZF1,1.437,1.418,1.58
ZF1,1.142,1.635,1.481
ZF1,1.852,1.079,2.047
ZF1,1.264,1.915,1.767
ZF1,1.271,1.242,1.753
ZF1,1.949,1.182,1.178
ZF1,1.412,2.152,1.15
ZF1,1.184,1.439,1.483
ZF1,1.33,1.145,1.579
ZF1,1.412,1.28,1.059
ZF1,1.978,1.43,1.657
ZF1,1.64,1.643,1.162
ZF1,2.192,2.203,1.617
ZF1,1.603,1.145,1.808
ZF1,1.23,1.217,1.627
ZF1,1.59,1.203,1.441
ZF1,1.093,1.779,1.414
ZF1,1.197,1.726,1.218
ZF1,1.42,1.29,1.501
ZF1,1.938,1.621,1.211
ZF1,1.258,1.508,1.173
ZF1,1.321,2.061,1.635
ZF1,2.635,1.776,1.38
ZF1,0.992,1.75,1.691
ZF1,1.156,1.737,2.134
ZF1,0.717,1.123,1.472
ZF1,1.316,1.494,1.06
ZF1,1.18,1.446,1.874
ZF1,1.385,1.838,0.953
ZF1,2.18,2.24,1.58
ZF1,1.256,1.412,1.605
ZF1,1.034,1.481,1.258
ZF1,1.671,1.578,1.849
ZF1,2.1,1.644,1.265
ZF1,1.22,1.007,0.926
ZF1,1.597,1.588,1.53
ZF1,1.417,2.243,1.28
ZF1,0.997,2.266,1.175
ZF1,1.518,1.45,1.238
ZF1,1.882,2.778,1.513
ZF1,1.707,1.517,2.333
ZF1,1.103,1.747,1.415
ZF1,2.273,2.061,1.441
ZF1,1.42,2.123,1.371
ZF1,2.203,2.341,1.549
ZF1,1.28,1.383,1.573
ZF1,1.093,1.058,1.618
ZF1,0.902,2.035,2.173
ZF1,1.243,2.157,1.303
ZF1,1.566,1.953,1.361
ZF1,1.293,1.248,1.483
ZF1,1.034,1.875,1.471
ZF1,1.548,1.251,1.314
ZF1,1.467,1.551,1.23
ZF1,2.271,1.276,1.477
ZF1,1.587,1.4,1.029
ZF1,1.004,0.848,0.738
ZF1,1.392,1.433,1.371
ZF1,1.287,1.572,1.624
ZF1,1.465,1.494,2.457
ZF1,1.556,1.894,0.831
ZF1,1.581,1.376,1.361
ZF1,1.187,2.016,1.344
ZF1,1.244,1.296,1.126
ZF1,0.916,1.905,1.971
ZF1,1.188,1.466,1.364
ZF1,1.423,1.582,1.392
ZF1,1.385,1.461,1.752
ZF1,1.197,1.831,1.115
ZF1,1.465,1.781,1.373
ZF1,1.667,1.692,1.466
ZF1,1.387,1.613,1.35
ZF1,1.434,1.634,1.632
ZF1,1.38,1.373,2.054
ZF1,1.602,1.331,1.086
ZF1,1.353,1.6,1.093
ZF1,1.779,1.337,1.717
ZF1,1.448,0.974,1.457
ZF1,1.117,1.927,1.251
ZF1,1.102,1.922,1.957
ZF1,1.532,1.139,1.487
ZF1,0.808,2.129,1.45
ZF1,1.825,1.013,1.783
ZF1,1.074,1.405,1.483
ZF1,1.421,1.72,1.888
ZF1,0.85,0.892,1.193
ZF1,0.844,2.666,1.726
ZF1,1.92,1.592,1.536
ZF1,1.97,1.847,1.476
ZF1,1.088,0.911,1.312
ZF1,0.952,1.327,1.904
ZF1,1.202,1.978,1.059
ZF1,1.515,1.298,1.274
ZF1,2.226,2.603,1.732
ZF1,1.223,1.271,1.564
ZF1,1.779,1.796,1.842
ZF1,0.885,2.092,1.799
ZF1,1.003,1.646,1.292
ZF1,2.281,1.494,1.637
ZF1,1.675,1.495,1.753
ZF1,1.147,2.023,1.345
ZF1,0.952,1.899,1.469
ZF1,1.339,1.503,1.383
ZF1,1.342,2.014,1.941
ZF1,1.951,1.253,1.604
ZF1,1.565,1.424,1.59
ZF1,1.796,1.295,1.629
ZF1,1.864,0.904,1.585
ZF1,1.04,1.66,1.425
ZF1,1.215,1.788,0.726
ZF1,1.602,1.867,1.306
ZF1,1.348,2.219,1.206
ZF1,1.15,1.161,2.593
ZF1,1.425,1.939,2.092
ZF1,1.786,1.887,1.383
ZF1,1.359,2.228,1.108
ZF1,1.16,1.826,1.488
ZF1,1.751,1.622,1.268
ZF1,0.95,1.821,1.116
ZF1,1.159,1.713,1.329
ZF1,1.934,1.152,1.83
ZF1,1.286,1.261,1.23
ZF1,2.151,1.066,1.623
ZF1,0.729,1.596,1.429
ZF1,1.519,2.168,1.209
ZF1,1.658,1.466,1.355
ZF1,1.357,1.483,1.557
ZF1,1.816,1.171,1.201
ZF1,1.981,0.998,0.952
ZF1,2.288,1.699,1.56
ZF1,1.687,1.104,1.299
ZF1,1.882,1.767,1.564
ZF1,0.853,1.943,1.193
ZF1,1.243,1.701,1.743
ZF1,1.57,1.508,1.762
ZF1,1.737,2.086,1.191
ZF1,1.174,1.802,1.519
ZF1,0.826,1.136,1.763
ZF1,0.962,1.36,1.073
ZF1,1.614,1.886,1.839
ZF1,2.051,1.659,1.36
ZF1,1.167,2.449,2.17
ZF1,2.028,1.443,1.327
ZF1,1.612,2.205,1.501
ZF1,1.145,1.44,1.504
ZF1,1.739,1.61,1.894
ZF1,1.305,1.269,0.837
ZF1,1.261,1.248,1.85
ZF1,1.388,1.258,1.321
ZF1,1.219,1.343,1.15
ZF1,1.102,2.22,1.569
ZF1,0.824,2.237,1.622
ZF1,1.625,1.435,1.951
ZF1,1.084,2.225,1.619
ZF1,1.407,1.231,2.28
ZF1,1.482,1.797,1.739
ZF1,1.388,1.748,1.258
ZF1,1.811,1.371,1.102
ZF1,1.755,1.512,1.618
ZF1,1.414,1.462,1.699
ZF1,2.089,1.328,2.148
ZF1,1.022,1.272,1.291
ZF1,1.804,1.863,1.033
ZF1,1.736,1.067,1.854
ZF1,1.683,1.808,1.54
ZF1,2.429,1.21,1.784
ZF1,1.311,1.413,1.617
ZF1,1.352,1.553,1.133
ZF1,1.37,1.767,1.744
ZF1,1.34,1.634,1.504
ZF1,1.695,1.207,1.226
ZF1,1.697,2.243,1.063
ZF1,1.14,1.246,2.198
ZF1,1.316,0.903,1.029
ZF1,1.868,0.923,1.552
ZF1,1.358,1.1,2.158
ZF1,1.58,1.47,2.18
ZF1,1.219,1.69,2.149
ZF1,1.358,1.663,1.497
ZF1,1.207,2.255,1.668
ZF1,1.337,1.68,1.31
ZF1,1.83,1.686,1.151
ZF1,1.351,2.76,1.47
ZF1,2.901,1.756,1.547
ZF1,1.338,1.544,1.628
ZF1,1.58,1.254,1.341
ZF1,1.733,1.938,1.095
ZF1,1.275,1.665,1.236
ZF1,1.494,1.171,1.01
ZF1,1.211,1.699,1.291
ZF1,1.328,1.782,1.792
ZF1,1.843,1.664,1.305
ZF1,1.354,1.926,1.484
ZF1,0.957,1.612,1.157
ZF1,1.345,1.525,1.095
ZF1,1.704,1.743,1.132
ZF1,1.45,1.194,1.455
ZF1,1.189,1.266,1.8
ZF1,1.289,1.49,0.932
ZF1,1.352,1.556,1.212
ZF1,1.357,1.65,1.151
ZF1,1.32,1.864,1.287
ZF1,1.329,1.579,1.228
ZF1,1.324,2.327,1.587
ZF1,0.866,2.315,1.716
ZF1,1.447,1.894,1.455
ZF1,1.842,1.943,1.554
ZF1,1.9,1.466,1.351
ZF1,1.263,1.547,1.679
ZF1,1.962,1.626,2.075
ZF1,1.805,1.266,1.565
ZF1,1.043,1.042,1.049
ZF1,1.002,1.279,1.636
ZF1,1.395,1.571,1.531
ZF1,1.116,1.428,1.582
ZF1,0.915,1.118,1.369
ZF1,1.732,1.285,1.393
ZF1,1.842,1.556,0.877
ZF1,0.95,1.54,1.658
ZF1,1.146,1.425,1.624
ZF1,1.273,1.199,1.69
ZF1,1.329,1.245,1.309
ZF1,1.484,1.915,1.763
ZF1,1.632,1.092,1.589
ZF1,1.491,1.099,1.241
ZF1,1.616,1.298,1.134
ZF1,1.612,1.027,1.462
ZF1,1.587,1.794,1.778
ZF1,1.17,1.523,1.466
ZF1,1.33,2.035,1.708
ZF1,1.227,1.052,1.142
ZF1,2.395,1.474,1.407
ZF1,1.563,1.341,1.197
ZF1,1.292,1.19,1.23
ZF1,1.687,1.202,1.707
ZF1,1.017,1.518,1.597
ZF1,1.186,1.377,1.537
ZF1,1.522,1.41,1.605
ZF1,1.51,1.04,1.961
ZF1,0.609,1.722,1.319
ZF1,1.143,1.99,1.605
ZF1,1.49,1.188,1.279
ZF1,0.868,1.334,1.344
ZF1,1.47,0.817,1.824
ZF1,2.027,1.574,1.098
ZF1,1.4,1.89,1.974
ZF1,1.02,1.575,1.192
ZF1,1.423,1.265,1.888
ZF1,1.222,0.975,0.528
ZF1,1.759,1.584,1.503
ZF1,1.229,1.034,1.4
ZF1,1.599,1.752,1.491
ZF1,1.373,0.957,1.82
ZF1,1.087,1.061,1.386
ZF1,1.295,2.605,2.218
ZF1,0.883,1.382,1.679
ZF1,1.249,1.729,1.465
ZF1,1.367,1.183,0.985
ZF1,1.747,1.475,2.036
ZF1,1.569,1.339,1.698
ZF1,1.03,1.365,1.206
ZF1,1.47,1.921,1.156
ZF1,1.685,2.059,2.85
ZF1,1.23,1.156,1.165
ZF1,1.509,0.982,0.656
ZF1,0.864,1.149,1.343
ZF1,1.572,0.853,1.692
ZF1,1.776,0.983,0.688
ZF1,1.179,1.192,1.079
ZF1,1.304,1.002,1.289
ZF1,1.244,2.377,2.001
ZF1,1.639,1.518,1.026
ZF1,1.353,1.374,1.477
ZF1,2.006,1.695,1.013
ZF1,1.185,1.248,1.348
ZF1,1.284,1.573,1.649
ZF1,1.103,1.714,1.015
ZF1,1.962,1.147,1.42
ZF1,1.598,1.279,1.22
ZF1,1.476,1.161,1.265
ZF1,1.559,1.283,1.317
ZF1,1.54,1.324,1.68
ZF1,1.647,1.532,1.2
ZF1,0.812,1.358,0.912
ZF1,1.904,1.832,1.703
ZF1,1.715,1.363,1.657
ZF1,1.778,1.65,1.418
ZF1,1.259,1.232,1.597
ZF1,1.438,1.81,0.989
ZF1,1.297,1.728,1.642
ZF1,1.58,1.026,2.573
ZF1,2.215,1.412,1.875
