Coordination,r1_c36,r2_c36,r3_c36,r1_aa99sb*
V-trigonal-bipyramid,8.712,7.419,6.856,2.434
V-trigonal-bipyramid,8.365,7.085,5.996,2.38
V-trigonal-bipyramid,7.923,8.081,6.825,3.299
V-trigonal-bipyramid,4.945,9.074,7.371,1.387
V-trigonal-bipyramid,6.496,7.465,6.127,3.161
V-trigonal-bipyramid,9.002,6.856,9.938,3.466
V-trigonal-bipyramid,6.472,7.292,7.191,3.091
V-trigonal-bipyramid,7.529,6.464,7.47,3.059
V-trigonal-bipyramid,7.264,5.729,5.052,2.575
V-trigonal-bipyramid,8.633,8.961,5.367,2.929
V-trigonal-bipyramid,4.754,5.566,7.401,2.669
V-trigonal-bipyramid,7.157,8.145,7.227,1.638
V-trigonal-bipyramid,7.894,6.488,6.992,1.62
V-trigonal-bipyramid,7.693,6.712,7.011,2.397
V-trigonal-bipyramid,6.267,5.971,8.297,2.956
V-trigonal-bipyramid,6.811,7.612,8.54,3.054
V-trigonal-bipyramid,6.372,9.793,5.564,1.687
V-trigonal-bipyramid,6.732,7.643,6.419,2.282
V-trigonal-bipyramid,8.032,7.289,7.854,2.353
V-trigonal-bipyramid,7.585,6.138,5.665,3.097
V-trigonal-bipyramid,8.425,5.611,6.703,2.56
V-trigonal-bipyramid,6.298,5.578,7.503,2.244
V-trigonal-bipyramid,5.722,5.834,8.103,3.015
V-trigonal-bipyramid,8.565,11.489,7.541,2.674
V-trigonal-bipyramid,7.226,8.286,8.073,2.009
V-trigonal-bipyramid,5.242,10.445,8.503,2.928
V-trigonal-bipyramid,6.996,6.477,6.629,2.813
V-trigonal-bipyramid,6.389,7.864,6.245,3.143
V-trigonal-bipyramid,7.949,4.999,5.984,2.361
V-trigonal-bipyramid,7.39,7.306,7.339,3.16
V-trigonal-bipyramid,8.499,8.256,6.527,1.855
V-trigonal-bipyramid,7.712,6.256,8.404,2.904
V-trigonal-bipyramid,6.463,7.878,8.159,2.005
V-trigonal-bipyramid,8.446,10.314,8.115,2.677
V-trigonal-bipyramid,8.802,7.885,6.282,2.792
V-trigonal-bipyramid,6.359,6.516,7.293,2.382
V-trigonal-bipyramid,7.495,8.006,8.218,2.5
V-trigonal-bipyramid,7.414,8.097,6.695,2.355
V-trigonal-bipyramid,6.83,7.89,6.824,3.01
V-trigonal-bipyramid,8.005,5.804,8.132,1.665
V-trigonal-bipyramid,5.826,5.634,6.649,1.328
V-trigonal-bipyramid,6.277,8.688,7.725,2.68
V-trigonal-bipyramid,7.841,5.57,5.893,2.537
V-trigonal-bipyramid,7.432,7.013,6.877,3.633
V-trigonal-bipyramid,5.954,6.292,6.914,3.117
V-trigonal-bipyramid,7.936,5.799,6.501,2.741
V-trigonal-bipyramid,7.023,7.962,6.687,2.589
V-trigonal-bipyramid,5.015,6.998,6.098,2.438
V-trigonal-bipyramid,7.232,7.142,9.883,3.234
V-trigonal-bipyramid,7.381,7.615,8.069,3.154
V-trigonal-bipyramid,8.916,7.688,7.654,2.259
V-trigonal-bipyramid,6.68,7.63,6.477,3.896
V-trigonal-bipyramid,6.416,6.578,7.875,2.871
V-trigonal-bipyramid,8.26,7.713,9.352,3.529
V-trigonal-bipyramid,6.96,8.715,7.803,3.061
V-trigonal-bipyramid,7.366,6.989,7.866,2.331
V-trigonal-bipyramid,7.404,6.987,8.963,2.734
V-trigonal-bipyramid,7.207,9.094,7.7,2.973
V-trigonal-bipyramid,6.717,7.561,8.534,2.45
V-trigonal-bipyramid,6.454,5.81,7.246,2.003
V-trigonal-bipyramid,7.736,6.365,7.182,3.235
V-trigonal-bipyramid,6.934,7.562,8.896,3.187
V-trigonal-bipyramid,7.024,7.7,8.027,2.965
V-trigonal-bipyramid,7.427,6.159,7.201,2.236
V-trigonal-bipyramid,7.685,6.834,7.942,2.917
V-trigonal-bipyramid,6.791,8.534,7.609,2.948
V-trigonal-bipyramid,6.86,6.426,7.978,3.123
V-trigonal-bipyramid,6.779,6.861,5.565,2.404
V-trigonal-bipyramid,7.318,8.141,7.912,2.199
V-trigonal-bipyramid,8.009,5.516,7.61,2.236
V-trigonal-bipyramid,7.74,5.416,9.145,2.961
V-trigonal-bipyramid,10.124,7.46,6.991,2.066
V-trigonal-bipyramid,7.97,7.855,8.868,3.194
V-trigonal-bipyramid,6.731,6.693,7.646,2.85
V-trigonal-bipyramid,7.483,7.727,9.095,2.515
V-trigonal-bipyramid,6.9,8.856,7.966,1.759
V-trigonal-bipyramid,6.491,7.174,6.301,2.844
V-trigonal-bipyramid,7.852,5.816,9.452,2.304
V-trigonal-bipyramid,8.245,8.897,5.22,1.844
V-trigonal-bipyramid,6.64,7.852,7.282,2.964
V-trigonal-bipyramid,7.675,6.94,7.972,1.479
V-trigonal-bipyramid,7.166,6.831,7.323,3.295
V-trigonal-bipyramid,6.556,7.105,5.918,1.835
V-trigonal-bipyramid,7.033,7.656,7.337,2.218
V-trigonal-bipyramid,6.283,7.392,8.641,2.914
V-trigonal-bipyramid,9.383,6.811,8.422,2.344
V-trigonal-bipyramid,8.649,7.032,8.856,2.353
V-trigonal-bipyramid,7.501,6.298,8.937,1.914
V-trigonal-bipyramid,6.292,6.566,8.947,1.924
V-trigonal-bipyramid,4.755,5.649,6.566,3.273
V-trigonal-bipyramid,5.989,5.374,7.367,1.713
V-trigonal-bipyramid,7.442,8.285,6.307,2.59
V-trigonal-bipyramid,9.647,7.601,6.526,2.23
V-trigonal-bipyramid,8.242,7.767,6.063,2.213
V-trigonal-bipyramid,7.223,6.001,6.737,2.76
V-trigonal-bipyramid,6.099,8.633,7.125,2.597
V-trigonal-bipyramid,6.681,8.059,7.309,2.268
V-trigonal-bipyramid,7.428,5.727,7.386,2.355
V-trigonal-bipyramid,8.072,8.308,7.238,3.081
V-trigonal-bipyramid,9.647,7.151,7.198,2.56
V-trigonal-bipyramid,6.764,8.829,7.349,3.454
V-trigonal-bipyramid,6.039,8.174,8.188,3.168
V-trigonal-bipyramid,6.612,7.54,7.7,2.871
V-trigonal-bipyramid,5.176,5.591,7.788,3.155
V-trigonal-bipyramid,6.264,8.457,7.614,2.806
V-trigonal-bipyramid,8.087,7.118,5.707,1.391
V-trigonal-bipyramid,7.666,5.234,6.55,2.384
V-trigonal-bipyramid,9.523,10.151,7.793,2.317
V-trigonal-bipyramid,8.037,8.52,8.3,2.136
V-trigonal-bipyramid,6.988,5.561,5.679,2.603
V-trigonal-bipyramid,6.425,7.155,7.396,2.105
V-trigonal-bipyramid,7.755,6.162,5.809,3.156
V-trigonal-bipyramid,5.593,8.269,9.271,2.285
V-trigonal-bipyramid,8.308,7.364,6.525,3.606
V-trigonal-bipyramid,8.877,5.494,6.043,2.23
V-trigonal-bipyramid,6.321,7.478,6.625,2.691
V-trigonal-bipyramid,8.447,6.372,7.837,1.788
V-trigonal-bipyramid,6.583,7.452,5.686,2.658
V-trigonal-bipyramid,5.241,7.342,7.662,3.589
V-trigonal-bipyramid,7.88,6.815,5.802,3.452
V-trigonal-bipyramid,7.432,8.491,5.148,2.297
V-trigonal-bipyramid,6.049,9.3,6.81,3.266
V-trigonal-bipyramid,8.15,6.387,7.465,2.815
V-trigonal-bipyramid,6.133,7.183,7.565,2.921
V-trigonal-bipyramid,8.847,7.73,6.63,3.256
V-trigonal-bipyramid,6.797,8.803,7.476,2.8
V-trigonal-bipyramid,6.343,7.194,6.292,2.439
V-trigonal-bipyramid,7.283,5.646,8.266,2.774
V-trigonal-bipyramid,8.204,6.027,7.083,3.152
V-trigonal-bipyramid,8.484,6.719,6.872,3.174
V-trigonal-bipyramid,7.273,6.191,6.046,2.596
V-trigonal-bipyramid,8.661,6.981,5.846,2.037
V-trigonal-bipyramid,8.897,7.407,8.035,2.868
V-trigonal-bipyramid,5.742,6.921,7.846,2.546
V-trigonal-bipyramid,9.302,6.87,7.952,2.56
V-trigonal-bipyramid,7.239,7.881,7.223,2.723
V-trigonal-bipyramid,8.329,5.633,5.166,1.441
V-trigonal-bipyramid,9.102,7.45,8.22,3.013
V-trigonal-bipyramid,8.913,9.545,6.644,2.303
V-trigonal-bipyramid,8.68,6.745,8.23,2.852
V-trigonal-bipyramid,7.147,8.378,7.559,2.938
V-trigonal-bipyramid,6.995,8.295,6.706,1.61
V-trigonal-bipyramid,6.378,6.165,7.865,3.388
V-trigonal-bipyramid,6.944,7.977,8.569,3.189
V-trigonal-bipyramid,7.567,6.449,5.459,2.802
V-trigonal-bipyramid,6.41,7.211,8.638,2.163
V-trigonal-bipyramid,7.475,7.874,6.365,2.439
V-trigonal-bipyramid,8.722,8.371,7.457,2.358
V-trigonal-bipyramid,6.378,7.764,8.022,2.975
V-trigonal-bipyramid,7.28,7.67,7.563,2.515
V-trigonal-bipyramid,5.983,7.332,4.856,2.531
V-trigonal-bipyramid,10.041,8.575,6.512,3.431
V-trigonal-bipyramid,7.232,7.677,5.447,3.335
V-trigonal-bipyramid,7.192,5.831,6.862,2.17
V-trigonal-bipyramid,8.902,6.846,6.332,3.258
V-trigonal-bipyramid,7.304,7.663,5.305,1.981
V-trigonal-bipyramid,5.806,9.857,7.872,2.621
V-trigonal-bipyramid,7.369,7.09,6.952,1.997
V-trigonal-bipyramid,7.898,6.367,4.859,2.447
V-trigonal-bipyramid,5.946,9.707,7.661,2.79
V-trigonal-bipyramid,5.881,5.665,6.346,2.808
V-trigonal-bipyramid,6.097,7.195,6.173,2.448
V-trigonal-bipyramid,8.457,4.721,8.68,3.083
V-trigonal-bipyramid,7.136,8.044,5.564,4.343
V-trigonal-bipyramid,7.239,9.696,8.015,2.512
V-trigonal-bipyramid,7.065,9.003,5.057,1.513
V-trigonal-bipyramid,7.609,6.081,7.961,2.257
V-trigonal-bipyramid,6.217,7.074,5.402,1.923
V-trigonal-bipyramid,8.32,6.424,7.092,2.485
V-trigonal-bipyramid,7.65,9.106,6.33,2.588
V-trigonal-bipyramid,7.336,6.537,8.508,2.033
V-trigonal-bipyramid,8.746,6.298,7.963,2.532
V-trigonal-bipyramid,6.126,8.085,6.288,0.912
V-trigonal-bipyramid,7.646,9.705,7.218,2.684
V-trigonal-bipyramid,7.347,7.835,6.978,2.799
V-trigonal-bipyramid,8.731,7.612,5.667,2.954
V-trigonal-bipyramid,8.133,9.025,5.329,2.828
V-trigonal-bipyramid,10.217,6.55,7.713,2.97
V-trigonal-bipyramid,7.907,6.013,8.893,2.241
V-trigonal-bipyramid,6.853,7.611,6.916,1.579
V-trigonal-bipyramid,7.984,6.617,6.819,3.072
V-trigonal-bipyramid,7.156,8.709,6.466,2.502
V-trigonal-bipyramid,7.627,8.827,7.752,2.699
V-trigonal-bipyramid,5.909,7.797,7.194,2.941
V-trigonal-bipyramid,6.899,6.409,6.005,1.899
V-trigonal-bipyramid,5.947,5.694,7.209,3.297
V-trigonal-bipyramid,6.987,8.296,5.465,2.055
V-trigonal-bipyramid,7.947,7.367,7.961,2.853
V-trigonal-bipyramid,7.131,6.726,8.218,2.407
V-trigonal-bipyramid,6.824,8.799,7.103,2.812
V-trigonal-bipyramid,5.809,8.104,6.876,2.371
V-trigonal-bipyramid,5.491,7.831,9.248,2.278
V-trigonal-bipyramid,7.008,8.397,6.061,2.698
V-trigonal-bipyramid,6.029,7.424,8.056,1.384
V-trigonal-bipyramid,9.249,8.722,9.378,2.558
V-trigonal-bipyramid,8.718,5.938,8.207,3.538
V-trigonal-bipyramid,5.5,7.116,9.041,2.962
V-trigonal-bipyramid,7.294,8.65,6.267,2.658
V-trigonal-bipyramid,7.613,9.302,6.866,2.641
V-trigonal-bipyramid,8.297,7.266,5.993,3.331
V-trigonal-bipyramid,6.817,9.104,6.938,2.781
V-trigonal-bipyramid,8.86,6.899,5.438,3.177
V-trigonal-bipyramid,7.819,8.113,7.244,1.955
V-trigonal-bipyramid,7.713,6.738,7.426,2.603
V-trigonal-bipyramid,6.216,6.351,9.213,1.988
V-trigonal-bipyramid,7.257,6.333,8.986,3.161
V-trigonal-bipyramid,7.108,6.911,6.704,3.103
V-trigonal-bipyramid,7.238,6.264,6.796,2.537
V-trigonal-bipyramid,7.387,5.562,8.161,3.155
V-trigonal-bipyramid,6.539,8.609,6.444,3.544
V-trigonal-bipyramid,6.746,8.221,5.702,2.601
V-trigonal-bipyramid,7.632,6.288,9.151,2.545
V-trigonal-bipyramid,8.08,8.698,6.372,2.003
V-trigonal-bipyramid,8.594,5.701,6.218,3.014
V-trigonal-bipyramid,7.474,9.481,6.628,3.721
V-trigonal-bipyramid,7.772,6.246,8.361,1.228
V-trigonal-bipyramid,7.536,7.523,7.232,3.097
V-trigonal-bipyramid,7.493,7.618,8.455,3.099
V-trigonal-bipyramid,8.104,7.967,7.209,2.691
V-trigonal-bipyramid,7.966,4.644,7.616,1.906
V-trigonal-bipyramid,8.284,6.874,6.704,3.344
V-trigonal-bipyramid,7.754,6.955,8.195,3.327
V-trigonal-bipyramid,7.41,9.613,10.107,2.714
V-trigonal-bipyramid,6.058,7.69,6.567,2.796
V-trigonal-bipyramid,8.204,7.436,7.422,2.197
V-trigonal-bipyramid,6.248,6.358,6.848,2.079
V-trigonal-bipyramid,7.94,8.752,6.56,1.851
V-trigonal-bipyramid,5.135,7.392,8.252,3.092
V-trigonal-bipyramid,9.51,6.815,10.054,3.428
V-trigonal-bipyramid,5.662,7.362,7.716,2.677
V-trigonal-bipyramid,7.391,7.095,8.677,2.495
V-trigonal-bipyramid,8.097,5.533,7.55,1.906
V-trigonal-bipyramid,7.151,6.469,8.916,2.224
V-trigonal-bipyramid,6.253,6.979,5.344,3.185
V-trigonal-bipyramid,8.062,5.724,8.025,2.069
V-trigonal-bipyramid,6.644,8.17,6.758,2.395
V-trigonal-bipyramid,7.915,7.821,7.125,2.71
V-trigonal-bipyramid,6.065,8.015,7.231,2.642
V-trigonal-bipyramid,6.196,10.644,8.813,2.801
V-trigonal-bipyramid,7.964,10.167,7.888,2.679
V-trigonal-bipyramid,6.796,9.805,8.775,1.747
V-trigonal-bipyramid,7.057,5.469,9.93,2.625
V-trigonal-bipyramid,5.644,6.264,7.909,2.608
V-trigonal-bipyramid,7.091,10.271,7.748,2.104
V-trigonal-bipyramid,7.534,6.101,6.734,2.749
V-trigonal-bipyramid,10.303,8.578,5.603,2.25
V-trigonal-bipyramid,6.889,5.171,6.486,1.85
V-trigonal-bipyramid,8.243,8.274,7.992,2.476
V-trigonal-bipyramid,6.931,8.734,7.525,2.457
V-trigonal-bipyramid,5.916,7.968,6.573,2.598
V-trigonal-bipyramid,5.809,7.0,5.686,1.954
V-trigonal-bipyramid,5.585,8.536,6.448,2.11
V-trigonal-bipyramid,8.207,8.831,7.391,2.401
V-trigonal-bipyramid,6.734,8.312,9.375,2.002
V-trigonal-bipyramid,7.925,6.762,8.519,2.667
V-trigonal-bipyramid,5.999,6.639,6.317,2.699
V-trigonal-bipyramid,7.767,6.209,7.794,3.198
V-trigonal-bipyramid,6.097,7.708,7.426,3.162
V-trigonal-bipyramid,5.23,6.999,5.939,1.415
V-trigonal-bipyramid,5.447,8.086,6.818,3.218
V-trigonal-bipyramid,6.897,7.335,8.306,2.435
V-trigonal-bipyramid,8.25,7.406,7.881,3.035
V-trigonal-bipyramid,8.047,6.248,9.274,1.201
V-trigonal-bipyramid,6.467,6.218,7.742,2.826
V-trigonal-bipyramid,6.712,4.672,6.843,2.628
V-trigonal-bipyramid,9.65,7.418,7.559,2.326
V-trigonal-bipyramid,7.444,6.505,6.606,2.822
V-trigonal-bipyramid,6.216,5.794,6.327,2.725
V-trigonal-bipyramid,6.861,6.813,10.418,2.708
V-trigonal-bipyramid,8.814,7.177,8.043,2.691
V-trigonal-bipyramid,7.318,5.728,9.357,2.818
V-trigonal-bipyramid,8.102,7.01,7.103,2.56
V-trigonal-bipyramid,6.665,7.617,5.918,2.848
V-trigonal-bipyramid,7.967,10.401,6.821,2.806
V-trigonal-bipyramid,7.656,6.379,11.07,3.351
V-trigonal-bipyramid,6.797,8.78,7.558,2.839
V-trigonal-bipyramid,6.805,8.075,9.137,3.259
V-trigonal-bipyramid,7.206,9.203,7.769,2.491
V-trigonal-bipyramid,6.795,9.163,7.549,2.381
V-trigonal-bipyramid,6.414,8.164,8.84,3.263
V-trigonal-bipyramid,8.365,6.348,6.565,1.837
V-trigonal-bipyramid,7.852,9.612,7.962,2.46
V-trigonal-bipyramid,6.415,7.949,7.173,2.273
V-trigonal-bipyramid,6.932,6.623,6.612,1.952
V-trigonal-bipyramid,6.888,7.025,9.374,2.674
V-trigonal-bipyramid,8.355,5.291,8.343,1.352
V-trigonal-bipyramid,8.204,6.592,7.734,2.507
V-trigonal-bipyramid,6.112,4.592,7.571,2.873
V-trigonal-bipyramid,6.544,8.11,7.589,2.638
V-trigonal-bipyramid,7.701,4.928,7.258,2.059
V-trigonal-bipyramid,8.376,7.166,9.369,2.069
V-trigonal-bipyramid,8.498,6.221,7.591,3.394
V-trigonal-bipyramid,5.468,6.578,6.54,3.213
V-trigonal-bipyramid,7.288,7.036,7.902,3.575
V-trigonal-bipyramid,7.962,6.375,5.62,3.117
V-trigonal-bipyramid,6.925,6.431,8.728,1.433
V-trigonal-bipyramid,7.691,6.682,8.196,3.09
V-trigonal-bipyramid,6.982,6.926,8.058,2.717
V-trigonal-bipyramid,9.467,6.427,8.302,2.812
V-trigonal-bipyramid,6.391,5.436,6.591,3.185
V-trigonal-bipyramid,7.522,7.121,7.296,2.808
V-trigonal-bipyramid,7.105,6.339,7.788,2.628
V-trigonal-bipyramid,7.204,6.348,5.236,2.608
V-trigonal-bipyramid,6.356,5.897,7.579,1.89
V-trigonal-bipyramid,7.538,7.103,7.924,2.412
V-trigonal-bipyramid,6.676,6.863,6.368,2.516
V-trigonal-bipyramid,6.898,4.286,6.399,2.937
V-trigonal-bipyramid,7.675,3.767,8.411,3.321
V-trigonal-bipyramid,6.816,5.857,7.057,2.388
V-trigonal-bipyramid,9.269,7.424,6.884,1.795
V-trigonal-bipyramid,6.444,6.343,6.095,3.111
V-trigonal-bipyramid,6.046,5.867,7.17,2.968
V-trigonal-bipyramid,6.658,5.741,9.818,2.757
V-trigonal-bipyramid,9.399,8.142,6.961,2.353
V-trigonal-bipyramid,7.626,4.622,6.691,2.534
V-trigonal-bipyramid,8.8,5.091,6.011,2.61
V-trigonal-bipyramid,6.962,5.726,7.977,2.375
V-trigonal-bipyramid,7.823,5.774,7.874,2.597
V-trigonal-bipyramid,8.186,5.004,7.267,2.577
V-trigonal-bipyramid,7.87,4.753,8.124,3.333
V-trigonal-bipyramid,7.186,6.639,7.284,2.439
V-trigonal-bipyramid,7.212,7.525,6.661,2.387
V-trigonal-bipyramid,6.024,7.561,6.191,2.755
V-trigonal-bipyramid,7.258,6.648,6.596,2.606
V-trigonal-bipyramid,6.217,6.629,6.655,2.393
V-trigonal-bipyramid,5.849,6.103,8.053,2.566
V-trigonal-bipyramid,7.913,6.202,7.649,2.119
V-trigonal-bipyramid,7.649,7.072,7.61,2.247
V-trigonal-bipyramid,8.515,6.812,5.239,2.383
V-trigonal-bipyramid,8.164,6.279,6.823,1.995
V-trigonal-bipyramid,7.165,4.836,7.846,2.936
V-trigonal-bipyramid,5.95,4.782,7.636,2.879
V-trigonal-bipyramid,7.855,7.208,7.93,1.77
V-trigonal-bipyramid,6.232,8.599,8.072,2.624
V-trigonal-bipyramid,6.848,7.16,6.021,2.805
V-trigonal-bipyramid,8.606,4.666,7.229,2.024
V-trigonal-bipyramid,8.406,7.572,6.879,2.539
V-trigonal-bipyramid,7.39,6.868,7.212,3.223
V-trigonal-bipyramid,8.65,7.583,8.212,2.234
V-trigonal-bipyramid,6.832,5.66,7.154,2.907
V-trigonal-bipyramid,5.94,6.232,9.335,2.824
V-trigonal-bipyramid,6.043,5.926,7.345,3.567
V-trigonal-bipyramid,6.762,5.073,7.603,2.647
V-trigonal-bipyramid,7.315,5.864,7.287,2.006
V-trigonal-bipyramid,8.715,7.358,6.488,2.086
V-trigonal-bipyramid,9.106,8.119,7.274,2.988
V-trigonal-bipyramid,7.884,7.031,5.617,3.035
V-trigonal-bipyramid,8.818,6.367,8.327,2.457
V-trigonal-bipyramid,6.799,6.882,8.211,3.085
V-trigonal-bipyramid,7.25,5.478,7.309,1.778
V-trigonal-bipyramid,6.26,8.168,7.707,2.796
V-trigonal-bipyramid,8.147,3.683,5.767,1.906
V-trigonal-bipyramid,7.311,5.787,7.294,3.232
V-trigonal-bipyramid,8.479,5.142,7.608,2.287
V-trigonal-bipyramid,8.657,4.55,7.746,2.635
V-trigonal-bipyramid,5.927,6.963,7.277,2.666
V-trigonal-bipyramid,7.268,4.992,5.355,1.953
V-trigonal-bipyramid,10.902,6.767,8.244,2.646
V-trigonal-bipyramid,6.314,6.2,7.637,2.907
V-trigonal-bipyramid,6.138,8.281,8.385,1.409
V-trigonal-bipyramid,8.837,6.17,8.486,3.343
V-trigonal-bipyramid,8.296,6.109,8.579,2.416
V-trigonal-bipyramid,7.322,8.146,6.207,2.833
V-trigonal-bipyramid,8.692,5.198,7.019,2.475
V-trigonal-bipyramid,6.33,5.799,5.284,3.325
V-trigonal-bipyramid,7.061,4.878,7.695,3.256
V-trigonal-bipyramid,7.179,6.58,6.661,2.196
V-trigonal-bipyramid,7.547,6.892,8.77,2.806
V-trigonal-bipyramid,7.715,7.47,7.914,2.814
V-trigonal-bipyramid,6.785,8.068,10.026,2.722
V-trigonal-bipyramid,6.646,6.5,7.319,2.687
V-trigonal-bipyramid,8.078,5.076,5.65,2.654
V-trigonal-bipyramid,9.063,7.847,8.459,2.214
V-trigonal-bipyramid,7.704,8.111,6.526,2.314
V-trigonal-bipyramid,6.941,5.292,6.68,2.614
V-trigonal-bipyramid,7.676,6.058,8.604,2.579
V-trigonal-bipyramid,6.122,6.124,6.586,2.319
V-trigonal-bipyramid,5.507,5.789,9.465,2.687
V-trigonal-bipyramid,9.666,8.346,8.989,2.405
V-trigonal-bipyramid,6.23,6.213,9.144,3.243
V-trigonal-bipyramid,7.272,5.715,6.754,2.38
V-trigonal-bipyramid,7.801,5.825,7.688,3.025
V-trigonal-bipyramid,6.964,5.15,6.738,3.118
V-trigonal-bipyramid,5.993,6.511,6.822,2.872
V-trigonal-bipyramid,6.691,8.234,7.388,1.245
V-trigonal-bipyramid,7.267,6.956,7.708,2.652
V-trigonal-bipyramid,7.288,6.452,7.684,2.774
V-trigonal-bipyramid,6.166,6.194,8.236,2.505
V-trigonal-bipyramid,8.448,4.853,6.817,3.093
V-trigonal-bipyramid,7.004,5.47,8.364,3.242
V-trigonal-bipyramid,11.77,8.514,8.244,3.16
V-trigonal-bipyramid,7.112,5.852,5.488,2.469
V-trigonal-bipyramid,8.938,5.62,9.693,3.286
V-trigonal-bipyramid,8.669,4.374,8.003,2.668
V-trigonal-bipyramid,7.386,5.703,7.729,2.84
V-trigonal-bipyramid,8.409,8.565,8.675,2.585
V-trigonal-bipyramid,8.022,6.334,5.847,2.151
V-trigonal-bipyramid,9.995,4.873,7.165,2.243
V-trigonal-bipyramid,6.104,6.455,8.729,2.19
V-trigonal-bipyramid,9.484,6.284,6.929,1.346
V-trigonal-bipyramid,6.404,6.049,7.228,1.968
V-trigonal-bipyramid,6.976,6.7,7.587,1.542
V-trigonal-bipyramid,6.896,4.667,6.813,2.602
V-trigonal-bipyramid,7.043,6.109,6.988,3.146
V-trigonal-bipyramid,6.098,5.35,6.061,2.97
V-trigonal-bipyramid,11.023,7.242,7.197,2.708
V-trigonal-bipyramid,7.772,5.265,7.94,3.329
V-trigonal-bipyramid,9.768,6.726,8.669,2.658
V-trigonal-bipyramid,7.707,5.912,6.135,3.558
V-trigonal-bipyramid,5.896,4.884,6.087,2.087
V-trigonal-bipyramid,6.698,7.62,6.905,1.806
V-trigonal-bipyramid,6.194,4.627,9.236,1.825
V-trigonal-bipyramid,7.876,6.715,7.998,2.149
V-trigonal-bipyramid,8.74,4.904,6.482,2.278
V-trigonal-bipyramid,7.858,6.684,9.597,2.644
V-trigonal-bipyramid,5.764,7.223,7.546,3.202
V-trigonal-bipyramid,6.759,5.176,6.625,2.647
V-trigonal-bipyramid,6.375,8.037,9.378,2.325
V-trigonal-bipyramid,8.721,7.528,9.466,1.908
V-trigonal-bipyramid,8.226,6.337,7.695,2.704
V-trigonal-bipyramid,7.525,4.329,7.454,2.687
V-trigonal-bipyramid,8.03,6.253,5.489,2.411
V-trigonal-bipyramid,6.845,6.756,5.004,2.995
V-trigonal-bipyramid,6.656,5.955,10.085,2.857
V-trigonal-bipyramid,8.382,6.574,7.742,2.408
V-trigonal-bipyramid,10.652,6.436,7.411,2.805
V-trigonal-bipyramid,7.684,8.108,5.854,2.691
V-trigonal-bipyramid,6.887,7.935,9.247,2.152
V-trigonal-bipyramid,6.454,6.506,5.581,2.838
V-trigonal-bipyramid,6.578,7.168,7.011,3.065
V-trigonal-bipyramid,6.97,5.406,6.241,3.25
V-trigonal-bipyramid,9.219,7.775,8.169,2.155
V-trigonal-bipyramid,4.754,7.443,7.085,2.323
V-trigonal-bipyramid,6.58,8.634,7.21,2.649
V-trigonal-bipyramid,11.464,7.244,6.604,2.513
V-trigonal-bipyramid,6.103,6.721,6.845,2.694
V-trigonal-bipyramid,8.116,5.825,10.03,3.075
V-trigonal-bipyramid,7.937,6.505,8.509,3.389
V-trigonal-bipyramid,8.206,5.073,6.184,1.593
V-trigonal-bipyramid,5.995,6.929,6.909,2.877
V-trigonal-bipyramid,8.6,6.977,7.069,1.343
V-trigonal-bipyramid,7.928,5.822,6.772,3.201
V-trigonal-bipyramid,6.645,5.416,8.524,3.308
V-trigonal-bipyramid,7.456,6.497,6.299,2.591
V-trigonal-bipyramid,8.823,6.442,5.525,2.4
V-trigonal-bipyramid,9.275,7.241,7.1,2.754
V-trigonal-bipyramid,5.201,8.422,8.388,2.552
V-trigonal-bipyramid,6.766,4.488,8.356,2.744
V-trigonal-bipyramid,5.815,4.511,8.605,3.761
V-trigonal-bipyramid,6.363,5.425,11.554,2.635
V-trigonal-bipyramid,7.602,7.174,5.92,3.033
V-trigonal-bipyramid,11.261,5.535,6.928,2.801
V-trigonal-bipyramid,8.105,5.41,8.309,2.753
V-trigonal-bipyramid,7.508,8.312,5.968,2.587
V-trigonal-bipyramid,8.197,7.232,7.614,2.761
V-trigonal-bipyramid,7.165,6.439,7.017,2.659
V-trigonal-bipyramid,7.537,5.506,6.775,3.412
V-trigonal-bipyramid,6.338,6.413,6.207,2.025
V-trigonal-bipyramid,6.933,5.024,7.745,3.63
V-trigonal-bipyramid,6.66,7.416,8.383,3.162
V-trigonal-bipyramid,7.275,6.322,7.789,2.902
V-trigonal-bipyramid,7.363,7.069,7.725,1.915
V-trigonal-bipyramid,8.881,4.668,8.785,3.41
V-trigonal-bipyramid,8.061,7.843,7.704,2.217
V-trigonal-bipyramid,4.777,6.083,7.683,2.456
V-trigonal-bipyramid,7.17,6.737,6.432,4.233
V-trigonal-bipyramid,9.459,6.319,6.933,2.512
V-trigonal-bipyramid,6.436,6.7,7.661,2.587
V-trigonal-bipyramid,5.993,8.074,7.779,3.218
V-trigonal-bipyramid,7.397,7.96,7.641,2.416
V-trigonal-bipyramid,8.565,5.947,8.144,2.626
V-trigonal-bipyramid,7.195,6.913,8.703,3.114
V-trigonal-bipyramid,8.298,6.26,7.866,3.37
V-trigonal-bipyramid,6.829,7.115,5.1,2.747
V-trigonal-bipyramid,7.594,6.151,7.432,2.211
V-trigonal-bipyramid,6.563,6.724,8.171,2.447
V-trigonal-bipyramid,7.641,8.138,6.249,2.468
V-trigonal-bipyramid,6.516,8.07,8.417,2.2
V-trigonal-bipyramid,7.609,6.01,6.61,1.237
V-trigonal-bipyramid,6.706,6.039,4.975,3.252
V-trigonal-bipyramid,8.204,7.447,5.393,2.909
