Coordination,r1_c36,r2_c36,r3_c36
Tetrahedral,0.848,0.848,0.848
Tetrahedral,0.97,0.366,0.658
Tetrahedral,0.502,0.494,0.687
Tetrahedral,0.865,0.574,0.663
Tetrahedral,0.813,0.415,0.55
Tetrahedral,0.618,0.427,1.041
Tetrahedral,0.865,1.129,0.558
Tetrahedral,0.564,0.419,0.71
Tetrahedral,1.095,1.141,0.984
Tetrahedral,0.369,0.721,0.418
Tetrahedral,0.836,0.682,0.485
Tetrahedral,0.829,0.736,0.576
Tetrahedral,0.541,0.493,0.584
Tetrahedral,1.103,0.479,0.725
Tetrahedral,0.667,0.486,0.553
Tetrahedral,0.689,0.701,0.514
Tetrahedral,0.736,0.718,0.655
Tetrahedral,0.575,0.79,0.806
Tetrahedral,0.607,0.601,0.785
Tetrahedral,1.148,0.579,0.453
Tetrahedral,1.09,0.596,0.753
Tetrahedral,0.53,0.49,0.825
Tetrahedral,0.775,0.424,0.608
Tetrahedral,0.648,0.767,0.843
Tetrahedral,0.536,0.61,0.575
Tetrahedral,0.475,0.821,1.422
Tetrahedral,0.9,0.596,0.387
Tetrahedral,0.573,1.004,0.313
Tetrahedral,0.554,0.768,0.65
Tetrahedral,0.584,0.686,0.93
Tetrahedral,0.609,0.694,0.377
Tetrahedral,0.407,0.86,0.46
Tetrahedral,0.94,1.444,0.556
Tetrahedral,0.591,0.92,0.777
Tetrahedral,0.387,0.566,1.04
Tetrahedral,0.571,0.59,0.316
Tetrahedral,0.846,0.859,0.717
Tetrahedral,0.698,0.622,0.499
Tetrahedral,0.5,0.462,0.793
Tetrahedral,0.612,0.666,0.972
Tetrahedral,0.81,1.046,0.454
Tetrahedral,0.624,0.473,0.539
Tetrahedral,0.462,0.53,0.887
Tetrahedral,1.027,1.104,0.24
Tetrahedral,0.765,0.952,0.59
Tetrahedral,0.411,0.835,0.698
Tetrahedral,0.903,0.878,1.016
Tetrahedral,0.752,1.024,0.772
Tetrahedral,0.98,0.972,0.887
Tetrahedral,0.478,0.575,0.563
Tetrahedral,0.576,0.852,0.867
Tetrahedral,0.645,0.757,0.718
Tetrahedral,0.602,0.572,1.034
Tetrahedral,0.948,0.369,0.62
Tetrahedral,1.094,0.657,0.478
Tetrahedral,0.315,0.675,0.481
Tetrahedral,1.062,0.858,0.711
Tetrahedral,0.555,0.625,1.077
Tetrahedral,0.517,0.685,0.524
Tetrahedral,0.312,1.075,0.549
Tetrahedral,0.856,0.607,1.006
Tetrahedral,0.532,0.402,0.581
Tetrahedral,0.575,0.879,0.668
Tetrahedral,0.522,0.438,0.456
Tetrahedral,0.897,0.366,0.885
Tetrahedral,0.887,0.985,1.04
Tetrahedral,0.877,1.048,0.738
Tetrahedral,0.652,1.092,0.586
Tetrahedral,0.666,0.564,0.645
Tetrahedral,0.496,0.581,0.946
Tetrahedral,0.391,0.601,0.95
Tetrahedral,0.415,0.553,0.83
Tetrahedral,0.791,0.731,1.684
Tetrahedral,0.929,0.786,0.552
Tetrahedral,0.932,0.95,1.14
Tetrahedral,1.02,1.016,0.761
Tetrahedral,0.636,0.352,0.549
Tetrahedral,0.772,0.555,0.831
Tetrahedral,0.914,0.714,0.425
Tetrahedral,0.75,0.648,0.386
Tetrahedral,0.817,0.55,0.427
Tetrahedral,0.715,0.615,0.829
Tetrahedral,0.72,0.832,0.615
Tetrahedral,0.855,1.376,0.673
Tetrahedral,0.642,0.492,0.562
Tetrahedral,0.472,0.902,0.517
Tetrahedral,0.791,0.926,0.991
Tetrahedral,0.684,0.959,0.989
Tetrahedral,0.982,0.402,0.452
Tetrahedral,0.737,0.902,1.058
Tetrahedral,0.931,0.529,1.104
Tetrahedral,0.724,1.091,0.603
Tetrahedral,0.97,0.56,1.226
Tetrahedral,0.48,1.039,0.593
Tetrahedral,1.062,0.749,0.783
Tetrahedral,1,0.565,0.766
Tetrahedral,0.696,1.036,0.738
Tetrahedral,0.67,0.268,1.08
Tetrahedral,0.373,0.902,0.649
Tetrahedral,0.786,0.608,0.887
Tetrahedral,0.783,0.618,0.513
Tetrahedral,0.865,0.634,0.547
Tetrahedral,0.497,0.887,0.541
Tetrahedral,0.72,0.54,1.071
Tetrahedral,0.848,1.004,0.558
Tetrahedral,0.948,0.675,0.454
Tetrahedral,0.828,0.878,0.834
Tetrahedral,0.672,0.604,0.966
Tetrahedral,1.081,0.414,0.773
Tetrahedral,0.621,0.695,0.677
Tetrahedral,0.577,0.778,0.71
Tetrahedral,0.859,1.144,0.575
Tetrahedral,0.787,0.553,0.778
Tetrahedral,0.489,0.683,0.551
Tetrahedral,0.787,0.719,0.573
Tetrahedral,0.762,0.432,0.652
Tetrahedral,0.497,0.867,0.981
Tetrahedral,0.591,0.925,0.754
Tetrahedral,0.861,0.776,0.66
Tetrahedral,0.514,0.979,0.41
Tetrahedral,0.968,0.922,1.059
Tetrahedral,0.635,0.618,1.208
Tetrahedral,0.659,0.36,0.425
Tetrahedral,0.902,1.319,0.807
Tetrahedral,0.478,0.635,1.159
Tetrahedral,0.493,0.704,0.603
Tetrahedral,0.877,0.447,0.775
Tetrahedral,1.107,0.585,0.871
Tetrahedral,1.261,1.17,0.521
Tetrahedral,1.44,1.165,0.604
Tetrahedral,0.714,0.557,0.558
Tetrahedral,0.565,0.908,0.887
Tetrahedral,0.687,0.852,0.501
Tetrahedral,1.169,0.678,0.517
Tetrahedral,1.024,0.912,0.659
Tetrahedral,0.897,0.806,0.706
Tetrahedral,0.844,1.028,0.93
Tetrahedral,0.329,0.46,0.783
Tetrahedral,1.002,0.7,0.516
Tetrahedral,0.896,0.944,0.597
Tetrahedral,0.88,0.729,0.82
Tetrahedral,0.706,1.039,0.743
Tetrahedral,1.144,0.654,0.871
Tetrahedral,0.571,0.544,0.216
Tetrahedral,0.638,0.617,0.798
Tetrahedral,0.477,1.193,0.414
Tetrahedral,0.726,0.616,0.921
Tetrahedral,0.468,0.801,0.819
Tetrahedral,0.668,0.609,0.627
Tetrahedral,0.507,0.999,1.136
Tetrahedral,0.628,0.794,0.454
Tetrahedral,0.54,0.326,0.833
Tetrahedral,0.751,0.947,0.887
Tetrahedral,1.017,0.753,0.532
Tetrahedral,0.663,1.322,0.294
Tetrahedral,0.671,0.365,0.966
Tetrahedral,0.534,0.361,0.507
Tetrahedral,0.981,0.465,0.526
Tetrahedral,0.637,0.918,1.002
Tetrahedral,0.925,0.797,0.744
Tetrahedral,0.592,0.563,1.074
Tetrahedral,0.937,0.825,0.809
Tetrahedral,0.928,0.313,0.926
Tetrahedral,0.631,0.554,0.651
Tetrahedral,0.616,0.609,0.369
Tetrahedral,0.802,0.908,0.872
Tetrahedral,0.835,0.638,0.536
Tetrahedral,0.857,0.459,0.622
Tetrahedral,1.002,0.672,0.525
Tetrahedral,0.985,0.417,0.932
Tetrahedral,0.95,0.409,0.526
Tetrahedral,0.735,0.658,1.269
Tetrahedral,1.087,0.503,0.527
Tetrahedral,0.447,0.565,0.457
Tetrahedral,0.833,0.551,0.355
Tetrahedral,1.09,0.646,0.492
Tetrahedral,1.052,0.694,0.823
Tetrahedral,0.598,0.36,0.556
Tetrahedral,0.555,0.583,0.41
Tetrahedral,1.357,0.722,0.557
Tetrahedral,0.502,1.035,0.615
Tetrahedral,0.613,0.862,0.563
Tetrahedral,0.594,0.652,0.724
Tetrahedral,1.139,0.973,0.707
Tetrahedral,0.473,1.263,0.533
Tetrahedral,1.198,0.478,0.989
Tetrahedral,0.62,0.528,0.676
Tetrahedral,0.816,0.653,1.074
Tetrahedral,0.577,0.492,0.408
Tetrahedral,0.758,0.974,0.719
Tetrahedral,1.145,0.773,0.862
Tetrahedral,1.185,0.462,0.419
Tetrahedral,0.677,1.125,1.159
Tetrahedral,1.006,0.535,0.326
Tetrahedral,1.103,0.688,0.957
Tetrahedral,0.917,0.709,1.429
Tetrahedral,0.997,0.908,0.822
Tetrahedral,0.92,0.399,0.512
Tetrahedral,1.237,0.4,1.181
Tetrahedral,0.835,0.272,0.802
Tetrahedral,0.441,0.446,1.265
Tetrahedral,0.659,0.495,0.469
Tetrahedral,0.975,0.803,0.709
Tetrahedral,0.509,0.375,0.938
Tetrahedral,0.672,0.471,0.508
Tetrahedral,0.648,0.492,0.727
Tetrahedral,0.711,0.721,0.516
Tetrahedral,0.734,0.496,0.608
Tetrahedral,1.375,0.37,0.814
Tetrahedral,0.379,0.788,0.468
Tetrahedral,0.755,1.286,0.33
Tetrahedral,0.46,0.667,0.58
Tetrahedral,0.855,0.846,0.66
Tetrahedral,1.175,0.399,0.879
Tetrahedral,0.682,0.448,1.041
Tetrahedral,0.984,0.442,0.911
Tetrahedral,0.595,0.644,0.51
Tetrahedral,0.733,0.663,0.55
Tetrahedral,0.717,0.435,0.9
Tetrahedral,0.964,0.973,0.491
Tetrahedral,0.825,0.519,0.634
Tetrahedral,0.494,0.714,0.997
Tetrahedral,0.704,0.594,0.428
Tetrahedral,1.432,0.565,1.095
Tetrahedral,0.994,0.314,0.279
Tetrahedral,0.422,0.351,0.694
Tetrahedral,0.719,0.627,0.729
Tetrahedral,0.636,0.48,0.593
Tetrahedral,0.788,1.084,0.911
Tetrahedral,0.868,1.56,0.993
Tetrahedral,0.832,0.578,0.844
Tetrahedral,0.924,1.043,0.878
Tetrahedral,0.476,0.546,0.427
Tetrahedral,0.764,0.579,0.468
Tetrahedral,0.871,1.151,0.531
Tetrahedral,0.588,0.593,0.331
Tetrahedral,0.944,0.574,0.763
Tetrahedral,0.499,0.704,1.037
Tetrahedral,0.468,0.738,0.988
Tetrahedral,0.762,0.436,0.761
Tetrahedral,0.719,0.518,0.67
Tetrahedral,0.534,0.717,0.446
Tetrahedral,1.154,0.864,0.524
Tetrahedral,0.638,0.431,0.615
Tetrahedral,0.306,0.912,0.699
Tetrahedral,0.745,1.006,0.694
Tetrahedral,0.628,0.518,0.591
Tetrahedral,0.864,0.823,0.828
Tetrahedral,0.859,0.816,0.685
Tetrahedral,0.901,1.001,1.403
Tetrahedral,0.798,0.581,0.995
Tetrahedral,0.537,0.512,0.577
Tetrahedral,1.457,0.524,0.57
Tetrahedral,0.824,0.919,0.908
Tetrahedral,1.044,0.462,0.379
Tetrahedral,0.96,0.28,0.298
Tetrahedral,1.031,0.685,0.394
Tetrahedral,0.813,1.093,0.822
Tetrahedral,0.506,0.533,0.896
Tetrahedral,0.922,0.534,0.479
Tetrahedral,0.541,0.766,0.643
Tetrahedral,0.626,0.604,0.301
Tetrahedral,0.706,0.696,1.059
Tetrahedral,0.955,0.925,0.289
Tetrahedral,0.604,0.925,0.53
Tetrahedral,0.722,0.596,0.491
Tetrahedral,0.743,0.711,0.444
Tetrahedral,0.471,0.758,1.051
Tetrahedral,0.934,0.492,0.479
Tetrahedral,1.324,1.144,0.774
Tetrahedral,1.184,0.789,0.502
Tetrahedral,0.631,0.393,0.907
Tetrahedral,0.536,0.637,0.864
Tetrahedral,0.806,0.576,1.065
Tetrahedral,0.497,2.356,0.529
Tetrahedral,0.364,0.629,0.598
Tetrahedral,0.493,0.685,0.441
Tetrahedral,1.558,0.633,0.347
Tetrahedral,0.448,0.439,0.607
Tetrahedral,1.064,0.839,1.001
Tetrahedral,0.634,0.274,0.328
Tetrahedral,0.929,0.782,1.028
Tetrahedral,0.904,0.445,1.017
Tetrahedral,0.645,0.839,0.813
Tetrahedral,0.881,0.672,0.782
Tetrahedral,0.734,0.996,0.488
Tetrahedral,0.652,0.981,0.752
Tetrahedral,1.055,0.872,0.363
Tetrahedral,0.76,0.798,0.592
Tetrahedral,0.643,0.245,0.839
Tetrahedral,0.617,0.637,0.549
Tetrahedral,0.787,0.426,0.532
Tetrahedral,0.793,0.973,0.822
Tetrahedral,0.49,0.639,0.46
