Coordination,r1_c36,r2_c36,r3_c36
Tetrahedral,0.732,0.642,0.832
Tetrahedral,0.755,0.617,0.954
Tetrahedral,1.425,0.64,0.663
Tetrahedral,0.664,0.767,0.735
Tetrahedral,1.229,0.32,0.908
Tetrahedral,0.426,0.851,0.766
Tetrahedral,1.876,0.625,0.649
Tetrahedral,0.861,0.432,0.879
Tetrahedral,0.946,0.552,1.486
Tetrahedral,0.595,0.676,0.748
Tetrahedral,0.632,0.675,1.231
Tetrahedral,0.759,0.337,1.112
Tetrahedral,0.785,0.814,0.839
Tetrahedral,1.302,0.721,0.908
Tetrahedral,0.893,0.46,0.74
Tetrahedral,0.775,1.028,0.562
Tetrahedral,0.835,0.849,1.015
Tetrahedral,0.906,0.707,0.349
Tetrahedral,1.142,0.596,0.526
Tetrahedral,1.158,0.559,0.519
Tetrahedral,0.729,0.804,1.256
Tetrahedral,0.6,0.636,0.412
Tetrahedral,0.926,0.772,0.459
Tetrahedral,0.695,0.619,1.194
Tetrahedral,0.802,0.429,0.684
Tetrahedral,0.924,0.617,0.744
Tetrahedral,0.968,0.587,1.124
Tetrahedral,0.679,0.68,0.753
Tetrahedral,0.502,0.719,1.232
Tetrahedral,0.913,0.486,0.621
Tetrahedral,1.258,0.398,0.522
Tetrahedral,0.751,0.721,1.098
Tetrahedral,0.356,0.773,0.529
Tetrahedral,0.707,0.969,0.928
Tetrahedral,0.989,0.498,0.889
Tetrahedral,0.878,0.597,1.041
Tetrahedral,0.964,0.562,0.69
Tetrahedral,0.497,0.733,0.543
Tetrahedral,1.237,0.413,0.514
Tetrahedral,0.775,1.035,0.481
Tetrahedral,1.351,0.831,1.146
Tetrahedral,1.145,0.478,0.677
Tetrahedral,0.753,0.755,0.794
Tetrahedral,0.719,0.462,1.106
Tetrahedral,0.591,0.43,0.436
Tetrahedral,0.609,1.002,0.621
Tetrahedral,0.688,0.823,0.673
Tetrahedral,0.696,0.575,0.438
Tetrahedral,0.987,0.443,0.685
Tetrahedral,0.741,0.693,0.515
Tetrahedral,0.484,0.852,0.534
Tetrahedral,0.449,0.885,0.446
Tetrahedral,0.355,0.975,0.567
Tetrahedral,0.568,0.777,0.683
Tetrahedral,0.638,0.581,0.936
Tetrahedral,0.67,0.653,0.391
Tetrahedral,0.594,0.719,0.868
Tetrahedral,0.929,0.854,0.925
Tetrahedral,0.973,0.551,1.044
Tetrahedral,0.886,0.595,0.968
Tetrahedral,0.641,1.041,0.756
Tetrahedral,0.577,0.684,0.772
Tetrahedral,0.853,0.515,0.837
Tetrahedral,0.408,0.356,0.379
Tetrahedral,0.276,1.563,0.69
Tetrahedral,0.719,0.51,0.76
Tetrahedral,0.752,0.587,0.988
Tetrahedral,1.338,0.718,0.892
Tetrahedral,0.782,1.421,0.397
Tetrahedral,0.624,0.691,0.416
Tetrahedral,0.544,0.821,1.296
Tetrahedral,0.739,0.712,1.087
Tetrahedral,0.899,0.748,0.798
Tetrahedral,0.386,1.135,0.975
Tetrahedral,0.73,0.813,0.744
Tetrahedral,0.561,1.2,0.765
Tetrahedral,0.576,0.616,0.497
Tetrahedral,0.434,1.106,0.832
Tetrahedral,0.757,0.988,0.449
Tetrahedral,0.651,0.678,0.958
Tetrahedral,0.44,1.358,1.164
Tetrahedral,0.774,0.985,1.068
Tetrahedral,0.577,0.991,0.847
Tetrahedral,0.606,1.681,0.609
Tetrahedral,0.771,1.361,0.772
Tetrahedral,0.865,0.857,0.629
Tetrahedral,0.9,1.198,0.867
Tetrahedral,0.952,0.754,0.614
Tetrahedral,0.55,0.734,1.434
Tetrahedral,0.721,1.009,0.611
Tetrahedral,0.812,0.736,1.069
Tetrahedral,0.564,0.698,0.816
Tetrahedral,1.069,1.245,0.685
Tetrahedral,0.988,1.23,1.16
Tetrahedral,0.672,0.814,0.768
Tetrahedral,0.371,0.871,0.976
Tetrahedral,0.711,1.223,1.113
Tetrahedral,0.251,0.77,1.302
Tetrahedral,0.343,1.201,0.895
Tetrahedral,0.734,0.896,0.845
Tetrahedral,0.732,1.003,0.738
Tetrahedral,0.696,1.063,0.783
Tetrahedral,0.448,0.928,0.559
Tetrahedral,1.187,1.106,0.918
Tetrahedral,1.021,0.664,0.683
Tetrahedral,0.906,1.063,0.887
Tetrahedral,0.394,0.617,0.636
Tetrahedral,0.689,1.105,0.55
Tetrahedral,0.399,1.13,0.372
Tetrahedral,0.673,0.621,0.698
Tetrahedral,0.798,0.329,0.445
Tetrahedral,0.446,0.857,0.889
Tetrahedral,0.915,0.608,1.214
Tetrahedral,0.597,0.515,0.673
Tetrahedral,0.659,1.493,0.758
Tetrahedral,0.82,0.408,0.846
Tetrahedral,0.599,0.707,0.518
Tetrahedral,0.749,0.604,0.391
Tetrahedral,0.773,0.364,1.337
Tetrahedral,0.606,0.658,1.101
Tetrahedral,0.807,0.443,0.869
Tetrahedral,0.832,0.627,0.468
Tetrahedral,0.857,0.761,0.801
Tetrahedral,0.531,0.516,0.497
Tetrahedral,0.508,0.61,0.561
Tetrahedral,0.767,0.697,1.137
Tetrahedral,0.687,0.672,0.565
Tetrahedral,1.018,0.546,0.888
Tetrahedral,1.06,0.745,0.799
Tetrahedral,0.889,0.483,0.609
Tetrahedral,0.919,1.141,0.409
Tetrahedral,0.526,0.594,0.57
Tetrahedral,0.37,0.318,1.595
Tetrahedral,0.971,0.522,1.375
Tetrahedral,0.857,0.466,0.567
Tetrahedral,0.429,0.45,1.2
Tetrahedral,0.709,0.601,0.657
Tetrahedral,0.725,1.058,0.856
Tetrahedral,0.792,0.646,0.737
Tetrahedral,0.864,0.999,0.836
Tetrahedral,0.448,0.668,0.67
Tetrahedral,0.459,0.851,1.1
Tetrahedral,0.929,0.581,0.971
Tetrahedral,0.685,0.819,1.208
Tetrahedral,0.489,0.332,0.782
Tetrahedral,0.666,0.517,0.787
Tetrahedral,0.688,0.612,0.681
Tetrahedral,0.383,0.616,0.824
Tetrahedral,0.784,0.748,0.645
Tetrahedral,0.913,0.559,0.729
Tetrahedral,0.664,1.034,0.883
Tetrahedral,0.625,0.562,1.287
Tetrahedral,0.616,0.475,0.606
Tetrahedral,0.38,0.617,0.48
Tetrahedral,1.134,0.486,0.592
Tetrahedral,0.382,0.762,0.618
Tetrahedral,0.664,1.106,0.769
Tetrahedral,0.703,0.365,0.28
Tetrahedral,0.874,0.32,0.799
Tetrahedral,0.335,0.824,1.379
Tetrahedral,0.504,1.088,0.708
Tetrahedral,0.726,0.674,0.515
Tetrahedral,1.156,0.62,0.69
Tetrahedral,1.11,0.84,1.068
Tetrahedral,1.134,0.451,0.697
Tetrahedral,1.19,0.914,0.341
Tetrahedral,0.813,0.445,0.782
Tetrahedral,0.594,0.605,0.689
Tetrahedral,0.816,0.794,1.406
Tetrahedral,0.611,0.773,0.973
Tetrahedral,0.713,1.04,0.429
Tetrahedral,0.998,0.404,1.028
Tetrahedral,0.92,1.05,0.664
Tetrahedral,0.751,0.622,0.548
Tetrahedral,0.821,0.524,0.379
Tetrahedral,1.095,0.648,0.52
Tetrahedral,0.338,0.539,1.081
Tetrahedral,0.533,0.868,0.736
Tetrahedral,0.592,0.6,1.105
Tetrahedral,0.766,1.026,1.218
Tetrahedral,0.579,0.725,0.584
Tetrahedral,1.179,0.538,0.539
Tetrahedral,0.855,0.729,0.693
Tetrahedral,1.454,0.823,0.804
Tetrahedral,0.847,0.656,0.75
Tetrahedral,0.982,0.619,0.907
Tetrahedral,0.773,0.863,1.069
Tetrahedral,0.868,0.671,0.542
Tetrahedral,0.987,0.694,1.213
Tetrahedral,0.74,0.604,0.587
Tetrahedral,1.119,0.719,1.56
Tetrahedral,0.948,1.195,0.712
Tetrahedral,0.544,0.655,0.876
Tetrahedral,0.676,0.313,0.815
Tetrahedral,0.497,1.174,0.55
Tetrahedral,0.734,0.358,0.745
Tetrahedral,0.66,1.146,0.689
Tetrahedral,1.111,0.89,0.521
Tetrahedral,1.402,0.751,0.494
Tetrahedral,0.51,1.277,0.637
Tetrahedral,0.508,0.927,0.736
Tetrahedral,1.222,0.585,0.543
Tetrahedral,0.629,0.716,0.421
Tetrahedral,1.242,0.648,0.945
Tetrahedral,0.56,0.96,1.08
Tetrahedral,0.926,0.779,1.161
Tetrahedral,1.006,0.692,0.756
Tetrahedral,0.932,0.472,0.715
Tetrahedral,0.601,0.533,0.976
Tetrahedral,0.585,0.563,0.798
Tetrahedral,0.548,0.952,0.995
Tetrahedral,1.012,1.047,0.842
Tetrahedral,0.82,0.434,0.358
Tetrahedral,0.628,0.837,0.746
Tetrahedral,1.115,0.945,0.56
Tetrahedral,0.766,0.385,0.672
Tetrahedral,0.397,1.506,0.621
Tetrahedral,0.482,0.616,0.686
Tetrahedral,0.641,0.29,0.355
Tetrahedral,0.906,0.267,0.8
Tetrahedral,0.727,0.562,0.87
Tetrahedral,0.977,0.568,0.709
Tetrahedral,1.086,0.875,0.596
Tetrahedral,0.603,0.809,0.687
Tetrahedral,0.835,0.364,0.871
Tetrahedral,1.524,0.704,0.864
Tetrahedral,0.768,23.302,0.574
Tetrahedral,1.2,11.332,0.68
Tetrahedral,0.871,13.786,0.913
Tetrahedral,0.423,12.885,0.545
Tetrahedral,0.424,16.254,0.849
Tetrahedral,0.412,17.408,0.656
Tetrahedral,1.221,16.274,1.249
Tetrahedral,1.439,16.235,0.862
Tetrahedral,0.917,10.512,0.447
Tetrahedral,0.616,12.565,0.578
Tetrahedral,1.073,13.854,0.657
Tetrahedral,1.256,13.499,0.74
Tetrahedral,0.706,17.997,0.954
Tetrahedral,0.88,12.206,0.772
Tetrahedral,0.648,12.022,0.652
Tetrahedral,0.684,14.582,0.452
Tetrahedral,0.59,13.964,1.348
Tetrahedral,0.711,15.059,1.209
Tetrahedral,1.117,13.565,0.302
Tetrahedral,0.92,12.726,0.928
Tetrahedral,0.998,16.617,0.521
Tetrahedral,0.57,19.291,0.689
Tetrahedral,0.652,20.158,0.694
Tetrahedral,0.665,19.941,0.803
Tetrahedral,0.606,15.287,1.275
Tetrahedral,0.7,19.722,0.468
Tetrahedral,0.78,19.1,0.687
Tetrahedral,0.594,21.372,0.772
Tetrahedral,0.435,18.626,0.537
Tetrahedral,0.854,17.327,1.078
Tetrahedral,0.65,20.78,0.79
Tetrahedral,1.455,19.798,0.837
Tetrahedral,1.274,17.921,0.656
Tetrahedral,0.884,21.628,0.702
Tetrahedral,0.397,17.144,0.988
Tetrahedral,0.935,19.919,0.608
Tetrahedral,0.811,22.712,0.627
Tetrahedral,1.048,14.4,0.61
Tetrahedral,1.072,16.704,0.7
Tetrahedral,1.042,12.826,0.932
Tetrahedral,1.133,11.993,1.04
Tetrahedral,1.094,17.217,0.919
Tetrahedral,1.047,21.329,1.54
Tetrahedral,0.813,18.899,0.818
Tetrahedral,0.393,14.792,0.79
Tetrahedral,0.846,12.618,0.69
Tetrahedral,1.146,14.341,0.762
Tetrahedral,0.592,22.092,0.704
Tetrahedral,0.581,18.052,0.384
Tetrahedral,0.798,19.806,0.604
Tetrahedral,1.047,18.391,0.974
Tetrahedral,0.777,30.482,0.644
Tetrahedral,0.598,26.228,0.778
Tetrahedral,0.559,32.733,0.606
Tetrahedral,0.515,15.432,0.578
Tetrahedral,1.208,33.071,0.635
Tetrahedral,0.955,32.532,0.407
Tetrahedral,0.689,30.372,0.703
Tetrahedral,0.845,38.672,0.756
Tetrahedral,1.202,24.783,0.588
Tetrahedral,0.768,27.104,1.003
Tetrahedral,0.719,33.246,0.96
Tetrahedral,0.755,35.189,0.51
Tetrahedral,0.596,31.534,0.802
Tetrahedral,0.638,12.97,0.565
Tetrahedral,0.758,27.181,0.685
Tetrahedral,1.079,31.191,0.984
Tetrahedral,0.867,33.875,0.516
Tetrahedral,0.696,31.593,0.625
Tetrahedral,1.216,14.63,0.832
Tetrahedral,0.879,16.078,0.58
Tetrahedral,0.39,18.117,0.712
Tetrahedral,0.721,11.365,0.753
Tetrahedral,2.224,41.128,1.101
Tetrahedral,0.971,50.055,0.629
Tetrahedral,1.073,53.018,0.635
Tetrahedral,0.832,52.553,1.219
Tetrahedral,1.68,55.751,0.815
Tetrahedral,0.308,52.469,0.908
Tetrahedral,0.941,45.664,1.105
Tetrahedral,1.146,45.422,0.58
