Tetrahedral	Seesaw	V-trigonal-bipyramid
8.565	1.328	5.976
8.775	0.308	6.552
9.856	0.705	6.897
10.107	0.463	7.39
9.229	0.573	7.255
8.025	0.547	6.478
8.334	0.359	6.804
9.126	0.686	6.95
11.353	0.646	9.285
9.131	0.466	7.514
7.99	0.598	5.959
9.077	0.996	6.17
8.958	0.577	6.858
10.723	0.58	7.504
7.993	0.719	6.449
9.175	0.57	7.344
9.361	0.422	7.256
8.809	0.49	6.389
9.67	0.747	8.264
10.282	0.591	7.242
9.18	0.447	8.201
8.01	0.291	6.168
9.44	0.947	7.743
8.827	0.586	7.269
9.857	0.507	6.579
7.836	0.746	5.952
9.704	0.633	6.918
10.005	0.356	7.564
8.401	0.893	5.926
10.116	0.438	7.429
8.387	0.521	6.966
10.593	0.487	7.799
9.367	0.822	6.109
10.094	0.64	6.95
6.598	0.808	4.935
9.533	0.601	7.068
9.22	0.651	6.939
10.361	0.855	7.68
12.064	0.757	10.31
11.639	0.918	8.888
11.872	1.038	8.753
8.749	0.884	6.089
10.487	1.026	7.771
7.415	1.832	4.384
10.427	0.584	8.669
7.78	1.144	5.589
7.74	0.822	6.266
8.821	0.86	6.775
9.812	0.677	8.136
7.404	0.832	6.031
8.361	0.877	5.8
9.716	0.406	8.094
7.973	0.731	6.234
8.652	0.937	5.362
9.692	0.874	6.746
9.858	0.888	6.877
10.699	1.525	8.602
7.368	0.437	6.325
12.287	0.652	10.047
10.061	0.426	7.231
9.955	0.526	7.814
9.37	0.285	7.602
9.847	0.381	7.736
9.155	0.705	6.625
8.586	0.945	5.543
9.001	0.781	7.039
7.544	0.455	6.36
7.729	0.747	6.173
8.206	1.03	4.831
7.702	0.747	6.36
9.315	0.947	7.3
8.953	0.922	6.176
8.968	0.734	6.048
9.444	0.702	7.351
9.358	0.645	7.037
8.155	0.637	6.959
9.719	0.523	7.727
9.152	0.518	6.784
8.263	1.291	5.013
10.006	0.737	6.564
8.73	1.302	7.07
10.184	0.253	8.334
7.295	1.067	4.926
8.663	0.484	6.454
9.602	1.192	6.141
9.013	1.12	6.329
8.631	0.548	6.438
11.639	0.756	7.802
10.347	1.171	6.976
9.271	1.197	5.655
8.142	0.744	6.329
8.462	0.659	5.773
10.583	0.846	7.803
8.299	1.005	5.639
9.989	0.669	6.866
9.713	0.56	7.456
8.036	0.496	6.288
9.364	0.818	7.146
8.185	0.889	5.975
10.676	0.989	7.411
10.898	0.99	7.868
8.37	1.0	5.331
8.395	0.527	6.902
8.303	0.587	6.968
9.814	0.647	6.79
7.727	0.976	5.317
9.013	0.423	7.546
8.005	0.889	6.672
