Tetrahedral	Seesaw	V-trigonal-bipyramid
0.124	8.948	3.213
0.653	7.668	2.588
0.669	7.413	2.953
0.587	7.159	2.743
1.311	6.007	3.765
0.468	8.12	3.257
0.157	8.728	2.755
0.351	7.258	2.787
0.199	8.657	3.06
0.747	8.742	2.78
0.605	6.303	3.511
0.402	8.435	2.995
0.288	8.023	2.866
7.122	0.511	6.573
2.843	3.815	2.587
2.178	4.295	1.338
1.9	4.949	1.597
5.487	0.98	4.931
4.974	2.102	3.171
1.385	7.225	1.146
1.701	5.663	1.093
3.037	3.036	1.811
2.023	6.645	0.46
2.447	6.999	0.564
2.997	5.735	1.057
1.52	6.547	0.843
2.793	4.774	1.583
0.925	7.013	1.308
2.718	6.466	1.04
0.254	8.159	2.822
1.634	7.225	0.923
5.827	1.598	4.098
2.426	7.33	0.486
2.871	4.829	0.742
2.341	6.679	0.653
2.147	5.945	0.908
1.712	7.949	0.853
2.931	3.648	1.712
2.588	5.929	0.772
8.784	0.754	8.035
10.185	0.296	8.107
8.997	0.574	7.959
7.445	0.375	6.272
8.318	0.415	7.254
7.31	0.683	6.026
7.921	0.298	6.953
2.095	5.451	1.037
2.26	7.745	0.684
2.776	4.161	1.589
1.642	5.477	1.096
1.183	7.586	1.028
0.4	8.487	2.885
2.573	6.074	0.833
2.313	5.141	1.167
0.798	6.977	1.785
1.47	6.925	0.845
2.45	4.854	1.252
2.237	6.37	0.994
2.623	7.011	0.261
1.238	7.504	0.972
3.328	3.642	1.711
1.512	6.889	1.141
1.104	8.019	1.105
2.558	5.821	1.232
4.642	1.644	5.079
1.777	6.717	1.142
2.524	6.881	0.321
1.744	5.833	1.449
2.539	5.305	1.604
2.307	4.74	1.06
2.554	4.737	1.344
0.316	8.312	2.83
1.965	5.014	1.32
1.395	7.558	2.339
5.434	1.077	4.768
2.471	4.472	1.281
1.829	7.615	0.555
6.369	0.906	5.36
1.638	7.265	0.93
1.297	7.631	0.697
2.442	4.079	1.498
4.687	1.106	4.109
2.887	6.122	0.932
3.251	4.45	1.556
1.025	6.955	1.231
1.784	7.794	0.803
2.313	5.844	0.802
3.312	4.325	1.052
2.116	5.517	0.894
2.306	6.185	0.397
2.086	7.87	0.341
3.049	7.408	0.262
2.047	7.452	0.549
1.96	7.826	0.463
1.959	6.136	0.889
2.301	6.831	0.415
2.001	7.005	0.423
2.738	6.374	0.668
1.353	6.9	1.31
3.23	5.061	1.212
1.893	6.439	0.703
1.76	7.983	0.581
2.226	7.319	0.533
0.191	8.425	2.741
2.081	5.388	0.897
2.447	7.749	0.479
1.62	7.083	0.958
7.064	0.652	6.591
8.239	0.547	7.958
1.731	6.385	0.828
2.223	4.218	1.423
2.639	6.22	1.085
2.509	5.34	0.849
2.062	6.585	0.709
2.382	6.803	0.602
0.157	8.187	3.057
1.705	7.215	1.026
2.027	7.512	0.358
1.092	5.749	1.842
1.773	6.141	0.812
3.804	4.612	1.44
2.377	5.144	0.985
2.112	5.605	0.934
3.126	3.605	2.081
0.274	8.173	2.674
1.364	5.469	2.318
1.472	7.493	0.962
1.915	5.661	1.141
2.855	4.364	1.133
3.659	2.824	1.993
2.329	6.393	0.552
0.844	7.236	2.011
1.804	5.767	1.185
1.711	6.493	0.851
2.129	5.645	0.711
1.944	7.122	0.454
2.836	4.778	0.876
2.03	7.545	0.364
2.693	3.571	1.753
1.638	7.897	0.755
6.657	0.722	5.595
2.586	7.151	0.461
2.04	7.672	0.502
1.478	7.172	1.022
6.871	0.626	6.236
2.641	4.427	1.577
1.915	5.801	1.1
2.256	6.056	0.518
1.445	6.468	1.066
1.837	5.208	1.329
1.548	6.597	1.142
2.671	3.994	1.456
2.386	5.536	0.669
3.178	5.348	1.41
2.222	5.626	0.701
2.411	6.849	0.552
1.385	7.364	1.17
2.436	7.717	0.435
1.743	7.391	0.581
2.484	4.599	1.703
2.451	4.388	2.041
1.352	7.579	1.048
3.631	2.507	2.578
7.275	0.625	6.419
1.683	7.271	0.57
2.484	5.19	0.876
2.953	4.862	1.248
2.07	6.753	0.688
1.85	6.038	0.906
2.676	5.602	1.391
2.903	4.541	1.393
2.04	6.171	0.712
1.942	7.425	0.459
2.722	5.301	0.894
0.376	7.954	3.03
1.248	7.111	2.471
0.236	8.683	3.02
2.096	7.481	0.685
2.289	5.688	0.696
3.103	4.429	1.563
2.551	7.036	0.462
2.896	3.592	1.787
2.131	7.243	0.436
1.874	7.062	0.576
1.749	6.761	0.999
1.923	6.592	0.529
2.864	3.15	1.902
1.373	6.3	0.94
1.398	7.493	0.63
2.042	5.291	0.905
2.698	5.258	0.941
2.898	5.973	0.873
2.352	5.595	1.115
0.323	8.705	2.844
2.229	7.128	0.627
2.048	4.611	1.215
1.978	6.719	0.554
3.13	4.578	1.19
2.031	7.27	0.597
1.957	5.628	1.026
2.668	6.243	0.281
1.954	6.794	0.664
0.366	8.685	2.11
2.688	5.303	0.672
2.703	3.981	1.451
2.014	6.653	0.429
2.475	4.38	1.369
1.361	7.139	1.179
2.271	6.633	0.471
1.861	6.353	0.868
1.685	6.079	1.092
1.77	6.15	1.806
0.263	8.956	2.704
0.661	6.142	2.642
1.813	5.454	0.892
0.674	7.471	2.226
2.24	6.526	0.484
2.344	6.875	1.518
1.848	6.771	0.83
2.113	7.658	0.743
3.357	3.622	2.167
3.453	2.551	2.4
3.886	2.432	2.252
7.831	0.381	6.284
8.017	0.334	6.127
2.875	6.459	1.437
2.684	6.053	1.081
9.274	0.652	6.401
9.193	0.4	7.373
7.519	0.498	6.98
8.103	0.392	6.228
6.674	0.871	4.351
7.625	0.466	6.514
7.187	0.713	5.977
2.043	6.247	0.952
1.002	7.167	1.559
1.236	7.717	1.015
1.774	7.102	0.725
1.932	6.724	0.536
3.407	2.63	2.684
1.811	6.001	1.001
4.173	2.811	2.079
0.966	7.789	1.126
1.924	6.565	0.951
0.479	7.506	2.38
2.452	5.916	0.798
1.74	5.971	0.818
2.666	5.158	0.679
0.638	8.356	2.377
