Tetrahedral	Seesaw
0.277	7.724
0.433	8.341
0.757	7.967
0.191	8.263
0.556	8.534
0.187	8.88
0.284	8.832
0.33	7.488
0.441	7.75
0.518	6.655
1.277	6.594
0.549	7.351
0.799	6.027
0.583	7.78
1.013	5.807
0.248	7.567
0.803	5.762
0.235	8.054
0.869	8.361
0.245	8.336
0.367	8.395
0.615	7.619
1.082	7.013
0.314	8.339
0.49	8.026
0.649	6.478
0.503	7.748
0.387	7.429
0.746	7.749
0.453	7.903
0.17	8.083
0.656	6.668
0.23	8.361
0.137	8.857
0.274	8.444
0.429	8.167
0.518	7.677
0.186	9.122
0.563	7.139
0.516	6.324
0.292	7.651
0.66	6.373
0.809	5.976
0.223	8.246
0.466	8.425
0.721	7.792
0.741	7.64
0.404	8.106
0.769	6.766
0.082	9.136
0.187	7.929
0.258	7.665
0.434	6.861
0.533	8.289
0.229	8.52
0.281	8.088
0.371	7.313
0.423	8.512
0.315	7.575
0.398	8.444
0.246	7.803
0.351	8.539
0.778	6.609
0.621	7.759
0.168	8.585
0.918	7.694
0.481	8.347
0.311	7.645
0.346	8.274
0.389	7.835
0.49	8.103
0.249	8.151
0.449	8.472
0.185	7.943
0.798	7.785
0.384	7.715
0.727	7.088
1.044	6.263
0.249	7.932
1.067	6.866
0.245	8.629
0.181	8.362
0.393	6.87
0.421	8.079
1.512	6.205
0.252	7.965
1.579	5.527
0.522	8.423
0.253	8.464
0.815	7.0
0.174	8.723
0.896	6.039
0.142	8.009
0.725	7.019
0.83	6.87
0.377	7.129
0.259	8.922
0.513	8.096
0.355	8.44
0.374	8.053
0.785	7.406
1.562	6.996
0.351	8.435
0.565	7.773
0.421	8.215
0.808	7.16
0.466	8.156
0.647	6.746
0.287	7.692
0.606	7.638
0.6	7.94
0.387	7.232
0.395	6.943
0.8	7.106
0.538	8.344
0.344	7.712
0.453	7.236
1.118	7.018
0.33	7.226
0.753	7.82
1.103	7.316
1.591	4.789
0.695	8.191
0.357	7.354
0.563	7.628
0.755	8.003
0.49	8.165
1.162	5.913
0.318	7.74
0.821	7.749
0.777	7.008
0.869	6.424
0.393	8.146
0.383	8.255
0.677	8.157
0.871	6.65
0.451	8.22
0.228	8.239
0.114	9.232
0.357	8.481
0.703	7.38
1.186	5.819
1.214	4.991
0.849	7.607
1.001	7.412
0.354	7.909
0.722	7.782
1.892	4.856
0.737	8.509
0.776	7.98
0.76	6.348
0.286	8.233
1.157	6.927
0.211	8.384
0.684	8.234
0.322	7.932
0.558	8.501
0.204	8.646
0.476	6.869
0.41	8.197
0.236	8.424
1.061	8.115
0.304	7.775
0.664	8.121
0.321	8.013
0.182	9.035
1.25	5.171
0.974	6.189
1.171	7.067
1.047	6.683
0.262	8.445
0.258	8.414
0.466	7.199
1.248	5.892
0.35	7.493
0.316	8.124
0.293	8.244
0.411	8.078
0.486	7.15
0.749	6.996
0.14	8.888
0.791	7.061
0.594	6.223
0.678	6.757
0.427	7.065
0.685	5.923
0.408	8.25
0.256	8.458
0.819	7.95
0.645	8.485
0.375	8.7
0.715	7.769
0.398	7.741
