Tetrahedral	Seesaw
9.288	0.803
10.818	0.571
8.28	0.931
11.512	0.66
10.671	0.474
9.63	0.641
10.565	0.818
11.286	0.544
10.004	0.597
11.169	1.498
10.628	0.711
8.988	0.727
10.342	0.704
10.251	0.551
10.252	0.91
11.15	0.614
12.097	1.061
10.795	0.946
12.215	1.065
10.72	0.721
11.361	0.969
10.627	0.562
11.057	0.665
9.148	1.016
11.665	0.978
9.941	0.641
11.276	0.802
9.896	1.112
8.524	0.996
10.504	0.89
9.078	1.126
9.668	0.697
9.955	1.057
8.583	1.092
10.063	0.43
8.643	0.499
11.53	0.825
9.465	0.889
8.696	0.983
12.287	0.71
11.475	0.825
11.336	1.054
8.795	0.933
10.552	0.44
8.364	0.638
12.205	0.634
10.714	0.497
9.798	0.723
10.339	1.281
11.735	1.139
10.33	0.634
10.985	0.738
11.177	1.283
8.366	0.797
11.671	1.252
11.154	0.572
10.437	0.406
8.791	0.448
10.335	1.135
10.83	1.0
8.157	0.574
10.494	0.849
10.511	0.659
9.739	0.708
11.962	0.683
10.092	0.944
11.205	0.824
12.178	0.513
9.329	1.234
10.401	0.424
10.0	0.62
9.262	0.724
10.012	1.476
11.076	0.687
10.735	0.659
10.084	0.396
11.48	0.656
10.647	0.861
10.281	0.925
9.547	0.961
11.805	1.257
9.315	0.718
9.258	0.92
10.253	0.94
10.19	0.623
10.247	0.703
8.445	0.806
9.942	0.525
9.76	0.489
9.778	0.504
10.628	0.626
10.424	0.431
7.952	0.736
11.219	0.923
8.598	0.65
10.559	0.505
8.14	0.696
10.009	0.463
10.704	0.286
8.483	1.096
9.67	1.14
10.488	0.614
11.617	1.206
7.055	0.923
9.509	0.331
7.611	1.039
9.116	0.723
10.809	0.661
11.135	0.936
9.883	0.736
8.852	0.546
9.302	0.94
10.948	0.422
8.334	1.181
9.01	0.523
10.051	0.804
11.308	0.877
8.536	0.671
9.933	0.953
10.011	0.866
11.247	0.468
9.87	0.842
13.376	1.225
9.974	0.512
9.417	0.311
10.243	0.447
9.758	0.732
10.073	0.746
10.543	0.536
11.334	1.427
11.443	1.128
11.966	0.904
10.437	0.531
8.817	0.916
9.496	0.477
12.115	1.095
10.651	0.477
13.05	0.939
9.051	0.859
10.03	1.088
11.338	0.486
9.16	0.52
9.737	0.59
10.887	0.576
8.294	0.874
9.902	0.724
10.537	1.194
9.721	0.327
10.052	0.838
11.0	0.993
10.787	0.76
9.101	0.547
11.104	0.564
10.524	0.839
9.967	0.466
10.24	1.068
12.298	1.115
9.306	0.42
9.796	0.672
10.849	0.954
9.271	0.683
7.777	1.078
8.679	1.126
8.909	0.996
8.573	0.852
11.191	0.557
8.608	1.103
8.927	1.164
7.533	0.717
10.013	0.76
7.597	1.32
10.544	0.568
10.65	0.763
10.074	0.692
9.543	0.829
9.527	0.909
9.464	0.811
11.043	0.404
12.314	0.664
10.254	0.767
10.046	0.605
10.582	0.779
10.621	0.804
11.717	1.162
10.038	0.565
11.819	0.673
10.673	0.398
7.195	0.805
10.319	0.794
10.54	1.07
9.279	0.883
9.575	0.423
10.769	0.634
10.383	0.711
7.487	0.706
8.089	0.998
7.907	0.939
9.876	0.836
10.575	0.817
10.08	0.67
9.414	0.745
8.898	0.669
9.113	0.651
9.232	0.699
7.744	1.11
11.376	0.758
10.915	1.198
7.33	1.571
8.064	1.067
9.903	1.176
12.374	1.682
9.172	1.297
8.426	1.049
8.375	1.657
11.564	1.169
11.179	1.901
10.047	1.616
11.189	1.05
10.201	0.925
8.807	1.016
10.288	1.326
10.281	0.788
8.421	1.17
9.98	0.657
10.381	1.05
8.97	1.111
7.207	1.429
10.441	0.727
9.989	0.651
8.506	1.66
8.719	0.585
9.441	1.016
9.6	1.176
10.812	1.993
10.819	0.613
9.091	0.868
10.023	1.976
9.139	1.208
11.08	1.419
9.959	0.729
8.991	1.168
9.067	1.667
8.998	0.854
8.332	1.025
9.513	2.293
8.345	1.018
9.443	2.179
10.26	1.375
9.354	0.861
9.917	1.48
8.969	0.52
10.019	0.709
9.032	1.055
10.669	0.742
8.854	1.303
9.4	1.1
10.229	0.38
11.208	1.691
9.489	0.793
8.261	1.804
8.556	0.79
9.856	0.847
9.876	1.914
10.292	1.184
10.066	1.132
8.118	1.403
9.551	2.304
9.935	0.81
9.883	0.443
9.747	0.923
9.089	2.419
10.059	1.708
9.508	0.721
11.343	1.03
9.581	0.691
9.976	1.492
8.186	1.739
10.225	0.951
9.685	0.708
10.405	1.986
8.283	0.928
10.462	0.331
11.504	0.67
9.545	1.356
9.758	0.783
10.386	0.446
11.782	0.851
11.341	1.035
11.84	0.679
10.3	0.363
9.796	0.914
9.426	0.66
8.959	0.856
9.87	0.611
10.567	0.829
9.942	0.691
10.72	0.57
11.297	0.996
10.166	0.764
9.989	0.604
9.769	1.192
9.255	0.443
11.907	1.012
9.592	0.572
8.907	0.818
8.427	0.655
9.468	0.938
8.667	0.533
11.265	0.558
10.731	0.447
9.841	0.883
10.664	0.676
9.78	0.518
9.772	0.522
9.863	0.413
9.45	0.435
9.877	0.618
12.203	0.786
8.229	0.61
10.084	0.53
15.437	2.252
10.639	0.856
11.454	0.815
11.231	0.634
10.862	0.456
10.204	0.419
9.836	0.409
9.897	0.331
9.231	0.692
10.69	0.265
8.4	0.501
12.185	0.784
11.191	0.803
11.002	0.667
10.505	0.407
8.793	0.244
10.596	0.683
11.174	0.661
9.568	0.737
7.817	1.161
10.418	0.571
10.159	0.705
7.082	0.674
10.167	0.497
9.05	0.517
9.038	0.972
10.727	0.19
11.001	0.682
11.016	1.113
9.164	0.515
8.515	1.065
13.68	0.985
15.113	1.515
10.509	0.943
10.151	0.372
9.992	0.348
11.246	0.857
9.721	0.447
9.827	0.815
12.088	0.849
9.594	0.6
9.008	0.419
11.272	0.443
10.616	0.857
13.429	1.324
8.785	0.9
9.436	0.733
10.266	1.332
9.502	1.307
11.254	0.773
13.541	1.037
10.676	0.645
11.094	0.804
11.523	0.966
11.847	0.864
11.087	0.378
9.352	0.825
10.557	0.518
10.01	0.681
7.363	0.63
12.11	0.894
9.957	0.604
9.495	0.751
11.556	0.378
10.78	0.711
12.543	0.634
7.863	0.608
9.876	0.432
13.301	1.171
11.948	0.983
14.49	1.195
13.65	1.129
10.52	0.582
10.565	0.935
11.478	0.595
9.846	0.653
12.01	1.011
8.652	0.506
9.808	0.39
9.747	0.541
13.172	0.702
13.285	1.328
10.92	0.816
10.501	0.412
10.774	0.414
11.449	0.637
10.932	1.262
10.098	0.3
11.683	0.754
10.968	0.577
9.441	0.193
10.967	0.663
9.274	0.427
11.684	0.798
8.236	0.436
9.83	0.383
11.037	0.602
11.414	0.83
9.981	0.978
9.896	0.57
10.243	0.524
10.982	0.39
9.701	0.441
11.525	0.557
11.413	0.576
10.218	0.644
10.306	0.979
9.854	0.489
10.046	0.227
11.833	0.914
9.794	0.501
8.506	0.668
7.425	0.642
9.186	0.822
10.771	0.577
10.126	0.676
11.171	0.908
9.5	0.725
9.821	0.504
11.657	1.128
9.067	0.679
9.426	0.382
9.762	0.922
9.071	1.209
8.14	0.597
13.146	0.896
11.202	0.781
10.61	0.836
9.577	0.969
12.103	0.597
12.041	1.21
9.586	1.17
9.932	0.609
10.99	0.412
10.97	0.846
11.428	0.676
7.76	0.683
7.945	0.993
10.342	0.404
11.404	0.544
12.582	0.711
10.968	0.377
10.715	0.501
9.458	0.62
10.549	0.848
9.254	0.691
11.731	1.093
10.399	0.657
10.035	0.794
11.499	0.792
10.484	0.766
9.498	0.38
8.299	1.068
9.24	0.4
11.281	0.946
9.847	0.727
10.175	0.468
10.659	0.896
9.025	0.585
10.356	0.365
10.137	0.278
11.88	0.662
11.048	0.847
8.783	0.258
9.645	1.026
12.541	0.653
11.451	0.66
10.449	0.372
10.608	0.282
9.766	0.77
10.777	0.913
7.87	0.813
10.291	0.297
10.905	0.443
10.762	0.54
10.264	0.369
8.468	0.763
10.989	1.061
7.488	0.903
8.495	0.742
8.61	0.395
9.839	0.545
12.487	0.813
11.977	0.368
8.396	0.522
9.935	0.331
8.771	0.674
9.623	0.679
10.846	0.994
10.496	1.044
12.194	0.778
12.443	0.795
10.355	0.522
11.766	0.939
9.222	0.511
8.429	0.872
10.136	0.923
10.899	0.678
9.257	0.687
9.281	0.542
9.774	0.666
9.726	0.862
8.707	0.612
12.529	0.652
10.351	0.741
11.381	0.426
9.226	0.731
11.572	0.611
11.722	1.058
11.861	0.518
9.184	0.663
10.06	0.834
10.551	0.707
12.492	1.52
10.99	0.812
11.426	0.885
8.482	0.733
11.705	0.501
11.428	0.499
9.256	0.867
9.977	0.537
9.647	0.619
9.894	0.491
10.422	0.7
11.822	1.171
9.643	0.385
8.486	1.119
11.547	0.77
11.944	0.552
10.665	1.025
11.264	0.75
8.492	0.456
9.896	0.525
8.408	0.991
9.171	0.696
9.132	0.745
9.418	0.657
9.883	0.831
12.403	1.041
11.562	0.447
12.075	1.039
9.317	0.735
11.292	0.913
9.153	0.699
11.603	0.876
11.21	0.72
13.111	0.741
8.637	0.349
10.783	0.56
10.109	0.412
12.679	1.131
10.322	1.054
10.474	0.363
12.443	0.707
10.857	0.883
13.058	0.989
8.809	0.475
9.545	0.72
9.792	0.604
8.169	0.765
11.671	0.71
10.712	0.491
10.114	0.963
11.404	1.132
13.031	0.678
10.407	0.565
8.435	0.672
7.585	2.195
10.206	0.66
8.306	0.598
9.617	0.298
8.984	0.52
8.387	0.852
7.199	1.145
9.108	1.178
10.548	0.836
11.228	0.572
8.738	0.44
10.184	0.718
11.15	0.838
9.742	0.944
7.991	0.738
12.872	0.696
