Tetrahedral	Seesaw	V-trigonal-bipyramid
0,7	8,189	1,964
1,007	7,237	2,286
0,635	7,91	1,821
0,612	8,662	2,268
1,422	7,351	1,308
1,128	6,641	1,832
0,512	8,673	2,099
0,941	8,285	1,723
0,955	7,742	2,997
0,918	7,313	2,638
0,757	7,868	2,405
0,722	7,741	2,226
0,862	7,047	1,853
0,767	8,12	2,452
0,522	8,103	2,921
0,517	8,777	2,919
0,963	8,19	2,37
0,918	7,856	1,67
0,653	8,068	2,046
0,644	8,541	2,105
0,744	7,77	1,851
0,656	7,771	2,134
0,639	8,112	1,838
0,977	7,919	1,922
0,748	9,043	2,402
0,51	8,094	2,393
0,491	7,52	2,458
1,079	8,114	1,687
0,642	8,683	2,024
0,889	7,874	2,577
0,706	7,867	1,996
0,446	9,432	3,104
0,843	7,024	2,006
0,805	8,667	1,908
0,51	7,773	2,091
0,471	8,663	3,056
0,699	8,667	2,278
0,668	8,93	2,372
0,788	8,461	1,975
0,695	8,615	2,509
0,499	8,251	2,296
0,579	8,235	2,623
0,541	9,096	2,277
0,877	8,075	2,03
1,195	6,67	1,803
0,708	8,727	2,646
0,464	8,725	2,639
0,524	8,29	2,389
0,349	9,274	3,449
0,597	8,917	2,428
0,732	7,37	3,07
0,755	7,257	2,09
1,425	7,675	1,314
0,664	8,969	2,132
1,229	8,395	1,111
0,426	8,451	2,557
1,876	5,106	2,073
0,861	8,596	1,914
0,946	7,516	3,208
0,595	8,605	1,93
0,632	7,701	2,522
0,759	7,684	2,362
0,785	8,919	1,884
1,302	6,226	3,234
0,893	7,513	2,094
0,775	6,916	1,934
0,835	7,705	2,628
0,906	8,084	2,027
1,142	7,812	1,412
1,158	5,894	2,44
0,729	7,708	3,084
0,6	6,81	2,707
0,926	8,072	1,664
0,695	8,023	1,641
0,802	7,461	2,089
0,924	7,199	2,164
0,968	6,873	2,662
0,679	7,624	1,804
0,502	7,656	2,778
0,913	7,108	2,086
1,258	6,5	2,697
0,751	8,248	1,598
0,356	8,746	3,103
0,707	6,917	2,798
0,989	7,012	1,609
0,878	7,595	2,368
0,964	6,476	2,764
0,497	7,647	2,438
1,237	6,655	1,527
0,775	8,2	2,22
1,351	7,692	1,355
1,145	6,341	1,746
0,753	8,039	1,624
0,719	8,242	2,68
0,591	9,022	2,408
0,609	8,701	2,322
0,688	7,086	2,258
0,696	8,623	1,937
0,987	5,986	2,052
0,741	7,386	2,271
0,484	8,309	2,593
0,449	8,846	3,16
0,355	9,232	3,108
0,568	8,46	1,852
0,638	7,838	1,983
0,67	8,022	2,114
0,594	8,26	2,147
0,929	7,321	2,015
0,973	8,496	1,641
0,886	7,548	1,915
0,641	7,992	2,531
0,577	8,506	2,323
0,853	7,129	1,648
0,408	9,11	2,805
0,276	7,937	2,686
0,719	8,358	2,006
0,752	7,508	2,155
1,338	6,819	1,736
0,782	7,923	2,179
0,624	7,19	2,328
0,544	8,43	2,95
