Tetrahedral	Seesaw	V-trigonal-bipyramid
0,848	9,358	2,358
0,97	8,096	2,651
0,502	8,717	2,466
0,865	7,45	1,712
0,813	8,532	2,122
0,618	7,084	2,547
0,865	6,756	1,901
0,564	9,022	2,311
1,095	8,165	1,544
0,369	8,739	2,751
0,836	7,855	1,614
0,829	9,033	2,054
0,541	8,736	2,674
1,103	8,227	2,174
0,667	8,174	1,661
0,689	8,742	2,241
0,736	8,049	2,825
0,575	7,736	2,312
0,607	8,748	2,934
1,148	7,747	1,72
1,09	7,456	3,245
0,53	8,171	2,274
0,775	7,727	2,274
0,648	7,687	2,617
0,536	8,429	2,007
0,475	7,793	3,162
0,9	8,513	2,46
0,573	8,093	2,753
0,554	8,257	2,835
0,584	8,241	2,61
0,609	7,714	2,511
0,407	9,524	2,848
0,94	8,204	2,685
0,591	8,843	2,355
0,387	8,964	3,245
0,571	8,632	2,397
0,846	6,54	2,392
0,698	7,43	2,359
0,5	7,976	1,967
0,612	8,418	3,059
0,81	6,528	3,052
0,624	7,82	3,035
0,462	9,465	2,903
1,027	6,814	2,249
0,765	7,404	2,062
0,411	8,853	2,312
0,903	8,274	1,592
0,752	8,514	1,881
0,98	8,535	1,37
0,478	9,019	2,411
0,576	9,144	2,553
0,645	7,735	2,428
0,602	8,291	2,18
0,948	7,478	2,24
1,094	8,724	2,484
0,315	9,238	2,645
1,062	8,256	1,899
0,555	8,128	2,483
0,517	8,184	2,403
0,312	8,955	2,685
0,856	7,469	2,0
0,532	7,897	2,349
0,575	8,633	2,327
0,522	8,221	3,206
0,897	7,816	2,429
0,887	7,977	1,767
0,877	7,404	2,13
0,652	7,843	2,473
0,666	8,413	2,018
0,496	8,742	2,702
0,391	8,348	2,407
0,415	8,611	2,167
0,791	7,713	2,384
0,929	8,146	1,159
0,932	9,042	1,839
1,02	7,014	2,279
0,636	7,486	2,87
0,772	7,734	2,09
0,914	8,586	1,857
0,75	8,803	2,166
0,817	8,85	1,849
0,715	8,204	2,214
0,72	8,723	1,892
0,855	8,325	1,706
0,642	8,272	2,139
0,472	9,01	2,345
0,791	8,39	1,803
0,684	7,69	1,937
0,982	7,86	1,528
0,737	8,547	2,573
0,931	8,245	1,787
