Tetrahedral	Seesaw	V-trigonal-bipyramid
0.237	8.0	3.042
0.443	8.69	2.182
0.652	7.06	3.58
0.071	9.421	3.345
0.404	8.345	2.174
0.339	9.165	2.49
0.219	7.997	2.809
0.485	7.339	2.628
0.59	7.925	2.783
0.433	8.605	2.164
0.731	7.274	2.43
0.315	8.413	3.195
1.046	6.31	2.472
0.469	7.18	2.765
0.54	7.241	3.12
0.107	8.872	3.085
0.398	7.786	3.101
0.68	7.55	1.678
0.522	7.222	2.142
0.8	7.242	2.302
0.697	7.516	2.448
0.702	7.112	3.729
0.298	7.753	2.992
1.014	5.629	2.607
0.428	7.809	2.412
0.413	8.376	2.023
1.118	6.315	2.879
1.17	6.804	2.167
0.263	7.363	2.943
0.754	7.505	2.169
0.269	7.832	2.417
0.602	7.841	3.201
0.765	7.903	2.585
0.489	7.074	2.684
0.418	8.382	3.014
0.386	8.289	2.629
0.709	8.161	3.01
0.607	7.064	1.74
0.212	8.621	2.428
0.783	7.794	1.737
0.338	8.062	2.629
0.872	5.546	2.93
0.12	8.94	3.063
0.507	7.302	2.027
0.625	6.899	1.861
0.403	7.252	2.104
0.667	8.555	3.001
0.587	8.417	2.378
0.701	7.705	2.78
0.504	6.819	2.209
0.318	7.819	3.778
0.251	8.538	2.357
0.844	7.205	1.646
0.523	7.088	2.132
0.372	8.031	2.782
0.86	5.814	2.083
0.459	7.744	3.133
1.934	5.463	3.608
0.199	8.886	2.4
0.475	7.747	2.335
0.366	7.844	2.61
0.619	7.182	1.809
0.967	7.501	3.336
0.501	7.854	1.739
0.831	7.536	1.948
0.338	8.006	2.728
0.748	6.514	3.534
0.327	8.317	2.434
1.244	6.121	2.457
0.526	8.535	2.752
0.278	8.478	2.592
0.103	8.779	2.962
0.526	7.174	2.241
0.186	8.653	2.847
0.341	7.62	2.696
0.378	8.366	3.112
0.234	8.097	3.033
0.326	7.77	2.617
0.97	6.582	2.537
0.491	8.229	1.852
0.593	7.718	2.719
0.502	8.109	2.532
0.302	8.374	3.083
0.495	7.162	2.917
0.267	8.428	3.36
1.111	8.022	2.727
0.666	8.667	1.64
0.197	8.142	3.323
0.254	8.729	3.052
1.377	7.998	2.741
0.595	7.617	2.871
0.783	6.954	1.709
0.343	8.43	1.986
0.727	6.523	2.443
0.626	6.534	2.504
1.354	6.867	1.478
0.463	7.2	2.638
0.481	8.062	3.233
0.359	8.773	2.706
0.88	6.803	2.452
0.726	6.944	3.34
0.354	8.736	2.727
0.426	7.768	2.915
0.631	7.666	2.324
0.338	7.217	3.153
0.619	8.32	2.32
0.266	9.309	3.11
0.337	7.904	2.795
0.951	7.211	3.358
0.783	8.134	2.513
0.266	8.613	2.133
0.314	8.319	2.3
0.327	8.327	2.83
0.316	8.518	2.365
0.473	8.757	1.837
1.558	5.897	4.458
0.401	7.26	2.613
0.959	6.95	2.16
0.434	8.474	2.36
0.436	7.603	2.875
0.322	7.856	2.597
0.735	6.682	1.73
0.416	8.704	3.015
0.774	8.151	1.582
1.002	7.957	3.188
0.886	8.058	2.811
0.455	7.651	3.292
0.101	9.423	3.355
0.302	7.479	3.295
0.713	7.651	2.925
0.156	8.439	2.915
0.509	6.43	2.734
0.514	8.601	2.74
0.776	8.495	2.485
0.441	7.746	2.703
0.676	7.442	3.431
1.139	6.252	3.053
0.526	6.975	2.014
0.277	8.184	2.421
0.991	6.592	1.671
0.575	6.789	2.075
0.954	7.022	1.473
0.956	6.834	3.577
0.525	7.902	2.145
0.413	6.979	2.966
0.477	7.483	2.946
0.236	8.547	3.139
1.029	7.55	2.388
0.407	7.482	2.822
0.711	6.872	2.465
0.531	7.815	1.794
1.175	6.514	2.487
0.4	8.512	2.223
0.723	7.347	2.11
1.205	6.05	3.142
0.421	7.429	3.155
0.361	7.879	3.48
1.113	6.444	1.925
0.469	7.906	2.242
0.537	8.497	2.293
0.607	7.387	2.87
0.269	8.161	2.761
0.291	8.047	2.417
0.71	8.035	2.994
0.843	6.998	3.122
0.537	7.775	2.131
0.338	8.363	2.936
0.944	6.881	2.997
0.677	7.519	3.141
1.22	6.824	1.659
0.29	9.009	2.835
0.356	8.935	2.53
0.31	8.381	2.753
0.718	6.509	3.004
0.445	7.338	2.434
0.776	6.547	2.38
1.268	5.843	3.299
1.319	6.25	1.387
0.262	7.779	3.161
0.281	7.754	3.466
0.29	8.807	3.091
0.606	7.53	3.059
0.501	8.358	2.575
0.948	6.102	2.929
0.416	7.148	2.669
0.765	8.387	1.638
0.802	8.21	1.62
0.32	7.539	2.397
0.382	7.479	2.956
0.652	7.499	3.054
0.684	7.302	1.687
0.512	8.201	2.282
0.509	8.967	2.353
0.153	8.319	3.097
0.455	7.936	2.56
0.796	7.215	2.244
0.76	7.016	3.015
0.652	8.519	2.674
0.679	6.224	2.009
0.357	8.027	2.928
0.801	7.518	2.813
1.1	5.171	3.143
0.94	6.496	2.361
0.274	8.78	3.16
0.863	6.521	1.855
0.437	8.105	2.904
0.483	7.765	2.005
0.166	8.684	2.677
0.849	8.004	2.792
0.425	8.308	2.382
0.708	7.904	2.5
0.57	7.67	2.355
0.692	6.515	3.01
2.76	5.492	1.665
0.737	8.038	1.328
1.161	6.93	2.68
0.244	8.243	2.537
0.705	7.56	3.633
0.206	8.733	3.117
0.47	8.471	2.741
0.441	8.002	2.589
0.19	8.584	2.438
0.233	7.726	3.234
0.402	7.945	3.154
0.499	8.439	2.259
0.965	5.946	3.896
0.319	7.63	2.871
0.42	7.452	3.529
0.155	8.676	3.061
0.623	8.847	2.331
0.342	7.798	2.734
0.451	7.415	2.973
0.587	8.032	2.45
0.423	8.254	2.003
0.093	9.151	3.235
0.673	7.112	3.187
0.148	9.144	2.965
0.706	7.393	2.236
0.575	7.101	2.917
0.257	8.814	2.948
0.177	9.006	3.123
0.841	7.734	2.404
1.236	6.051	2.199
0.378	8.535	2.236
0.7	6.917	2.961
0.745	6.445	2.066
0.417	8.179	3.194
0.719	5.879	2.85
0.684	7.513	2.515
0.669	7.994	1.759
0.602	7.797	2.844
0.262	8.759	2.304
0.423	8.482	1.844
0.217	8.266	2.964
0.675	7.234	1.479
0.921	7.398	3.295
0.448	8.193	1.835
0.378	7.785	2.218
1.095	5.136	2.914
0.29	7.884	2.344
0.579	8.718	2.353
0.491	7.935	1.914
0.77	7.76	1.924
0.397	7.564	3.273
1.039	7.635	1.713
0.425	7.63	2.59
0.299	8.406	2.23
0.324	8.177	2.213
0.523	6.893	2.76
0.682	8.001	2.597
0.256	9.012	2.268
1.06	7.389	2.355
0.203	8.947	3.081
0.241	8.603	2.56
0.172	8.319	3.454
1.04	7.841	3.168
0.765	6.659	2.871
0.71	7.002	3.155
0.226	7.549	2.806
1.777	5.503	1.391
0.455	8.085	2.384
1.243	5.355	2.317
0.725	6.541	2.136
0.561	7.714	2.603
0.484	8.021	2.105
0.717	7.365	3.156
0.39	8.369	2.285
1.099	5.787	3.606
0.611	7.047	2.23
0.572	6.454	2.691
0.529	8.381	1.788
0.916	7.042	2.658
0.301	8.945	3.589
0.394	7.863	3.452
0.429	7.982	2.297
0.261	8.066	3.266
1.588	6.371	2.815
0.335	7.523	2.921
0.608	7.502	3.256
0.594	7.27	2.8
0.638	7.307	2.439
0.465	8.164	2.774
0.188	7.954	3.152
0.295	7.983	3.174
0.229	7.88	2.596
0.471	8.439	2.037
1.309	5.959	2.868
0.887	7.193	2.546
0.862	6.561	2.56
0.641	8.678	2.723
1.135	5.788	1.441
0.48	8.027	3.013
1.019	5.638	2.303
0.376	8.365	2.852
0.333	8.39	2.938
0.59	8.178	1.61
0.139	8.601	3.388
0.477	7.278	3.189
0.64	7.713	2.802
0.603	8.325	2.163
0.341	8.378	2.439
0.785	5.581	2.358
0.142	8.855	2.975
0.503	7.521	2.515
0.393	7.947	2.531
1.111	5.185	3.431
0.234	8.02	3.335
0.579	6.767	2.17
0.775	7.344	3.258
0.811	6.241	1.981
0.137	8.864	2.621
0.66	7.194	1.997
0.29	8.884	2.447
0.813	5.748	2.79
0.227	8.568	2.808
0.306	8.801	2.448
0.462	7.155	3.083
1.109	6.733	4.343
0.661	7.104	2.512
0.981	6.099	1.513
0.45	7.349	2.257
0.623	7.228	1.923
0.715	8.273	2.485
1.226	5.258	2.588
0.741	8.672	2.033
0.357	6.965	2.532
1.584	6.309	0.912
0.582	7.167	2.684
1.188	5.939	2.799
0.574	6.939	2.954
0.564	8.638	2.828
0.583	7.88	2.97
1.229	6.733	2.241
0.681	7.888	1.579
0.129	8.782	3.072
0.778	8.035	2.502
0.372	7.61	2.699
0.561	8.149	2.941
0.417	8.311	1.899
0.373	8.12	3.297
0.466	8.062	2.055
0.363	8.372	2.853
0.371	7.987	2.407
0.243	8.699	2.812
0.799	8.049	2.371
0.448	7.494	2.278
0.349	8.296	2.698
0.978	6.863	1.384
0.487	7.371	2.558
0.205	8.531	3.538
0.624	7.603	2.962
0.164	8.638	2.658
0.364	8.283	2.641
0.313	8.553	3.331
0.321	7.433	2.781
0.4	7.759	3.177
0.597	7.988	1.955
0.393	8.258	2.603
0.59	7.829	1.988
0.145	9.386	3.161
0.46	7.404	3.103
0.453	8.71	2.537
0.774	7.756	3.155
0.23	8.513	3.544
0.428	7.083	2.601
0.844	6.658	2.545
0.809	8.478	2.003
0.293	7.77	3.014
1.083	6.636	3.721
1.179	6.767	1.228
0.231	8.861	3.097
0.422	7.905	3.099
0.155	8.4	2.691
0.587	7.528	1.906
0.316	8.22	3.344
0.131	8.757	3.327
0.358	8.473	2.714
0.441	8.302	2.796
0.295	8.201	2.197
0.748	7.365	2.079
0.674	8.246	1.851
0.476	7.756	3.092
0.705	6.695	3.428
0.197	8.306	2.677
0.554	8.532	2.495
1.307	5.596	1.906
0.321	7.59	2.224
0.152	8.808	3.185
0.415	7.942	2.069
1.151	6.464	2.395
0.309	8.916	2.71
0.365	7.48	2.642
0.389	7.347	2.801
0.198	7.72	2.679
0.607	7.816	1.747
0.403	7.931	2.625
0.577	8.424	2.608
0.632	8.112	2.104
0.456	7.64	2.749
0.827	5.774	2.25
